model,dataset,id,question,assistive_answer,open_answer,gold_answer,assistive_intermediate_questions,assistive_intermediate_answers,assistive_dsl,assistive_raw_response,open_raw_response,equivalence_reasoning,equivalence_raw_response
gpt-5-1,hotpotqa,5a8d69d6554299441c6b9fd6,Anti-Semetism in the 21st Century: The Resurgence was hosted by a journalist and writer who is an anchor of what show?,PBS NewsHour,Fareed Zakaria GPS,PBS NewsHour,"[""Who hosted 'Anti-Semetism in the 21st Century: The Resurgence'?"", ""What show is {answer_1} an anchor of?""]","{""answer_1"": ""Judy Woodruff"", ""answer_2"": ""PBS NewsHour""}","answer_1: str = qa_model(""Who hosted 'Anti-Semetism in the 21st Century: The Resurgence'?"")
answer_2: str = qa_model(""What show is {answer_1} an anchor of?"", answer_1=answer_1)","{
  ""answer_1"": ""Judy Woodruff"",
  ""answer_2"": ""PBS NewsHour""
}","answer:
Fareed Zakaria GPS","The two answers refer to different television shows with different anchors. Judy Woodruff anchors PBS NewsHour, while Fareed Zakaria anchors Fareed Zakaria GPS.","equivalent: 0
reasoning: The two answers refer to different television shows with different anchors. Judy Woodruff anchors PBS NewsHour, while Fareed Zakaria anchors Fareed Zakaria GPS."
gpt-5-1,hotpotqa,5a8f938a55429918e830d275,Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,0.15,0.15%,17%,"[""Which ethnic group was the opera Princess Fragrant produced to improve relations with?"", ""What is the population of the {answer_1} ethnic group?"", ""What is the total global population?"", ""What is {answer_2} as a percentage of {answer_3}?""]","{""answer_1"": ""Uyghurs"", ""answer_2"": ""12000000"", ""answer_3"": ""7800000000"", ""answer_4"": ""0.15""}","answer_1: str = qa_model(""Which ethnic group was the opera Princess Fragrant produced to improve relations with?"")
answer_2: str = qa_model(""What is the population of the {answer_1} ethnic group?"", answer_1=answer_1)
answer_3: str = qa_model(""What is the total global population?"")
answer_4: str = qa_model(""What is {answer_2} as a percentage of {answer_3}?"", answer_2=answer_2, answer_3=answer_3)","{
  ""answer_1"": ""Uyghurs"",
  ""answer_2"": ""12000000"",
  ""answer_3"": ""7800000000"",
  ""answer_4"": ""0.15""
}","answer:
0.15%","Answer A (0.15) represents 15%, while Answer B (0.15%) represents 0.15%. These are different numerical values.","equivalent: 0
reasoning: Answer A (0.15) represents 15%, while Answer B (0.15%) represents 0.15%. These are different numerical values."
gpt-5-1,hotpotqa,5ab292e4554299545a2cf993,In what political party was the man who officially opened he Royal Spa Centre in 1972?,No political party,Conservative Party,Conservative,"[""Who officially opened the Royal Spa Centre in 1972?"", ""What was the political party of {answer_1}?""]","{""answer_1"": ""Katharine, Duchess of Kent"", ""answer_2"": ""No political party""}","answer_1: str = qa_model(""Who officially opened the Royal Spa Centre in 1972?"")
answer_2: str = qa_model(""What was the political party of {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Katharine, Duchess of Kent"",
  ""answer_2"": ""No political party""
}","answer:
Conservative Party","The answers directly contradict each other regarding the political party. Answer A states ""No political party"" while Answer B states ""Conservative Party"".","equivalent: 0
reasoning: The answers directly contradict each other regarding the political party. Answer A states ""No political party"" while Answer B states ""Conservative Party""."
gpt-5-1,hotpotqa,5ab30bbb55429976abd1bc39,"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",Kingdom of Great Britain,None; neither ever became monarch of any kingdom,Great Britain,"[""Who was the wife of Prince George of Denmark and mother of Prince William, Duke of Gloucester?"", ""Which kingdom was {answer_1} the monarch of?""]","{""answer_1"": ""Anne"", ""answer_2"": ""Kingdom of Great Britain""}","answer_1: str = qa_model(""Who was the wife of Prince George of Denmark and mother of Prince William, Duke of Gloucester?"")
answer_2: str = qa_model(""Which kingdom was {answer_1} the monarch of?"", answer_1=answer_1)","{
  ""answer_1"": ""Anne"",
  ""answer_2"": ""Kingdom of Great Britain""
}",None; neither ever became monarch of any kingdom,"Answer A incorrectly states they became monarchs of the Kingdom of Great Britain, while Answer B correctly states neither became a monarch, creating a direct contradiction.","equivalent: 0
reasoning: Answer A incorrectly states they became monarchs of the Kingdom of Great Britain, while Answer B correctly states neither became a monarch, creating a direct contradiction."
gpt-5-1,hotpotqa,5ab6ad2855429953192ad35e,"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",The Fantastic The,Portugal. The Man,The Fantastic The,"[""What is the name of the rock band from Portland, Oregon with members John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk?"", ""Who is the lead singer and guitarist for {answer_1}?"", ""What alias does {answer_2} go by?""]","{""answer_1"": ""Portugal. The Man"", ""answer_2"": ""John Gourley"", ""answer_3"": ""The Fantastic The""}","answer_1: str = qa_model(""What is the name of the rock band from Portland, Oregon with members John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk?"")
answer_2: str = qa_model(""Who is the lead singer and guitarist for {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What alias does {answer_2} go by?"", answer_2=answer_2)","{
  ""answer_1"": ""Portugal. The Man"",
  ""answer_2"": ""John Gourley"",
  ""answer_3"": ""The Fantastic The""
}","answer:
Portugal. The Man","The answers provide different information. Neither answer correctly identifies an alias for the lead singer and guitarist, John Gourley. Answer B provides the band name, not an alias for the individual.","equivalent: 0
reasoning: The answers provide different information. Neither answer correctly identifies an alias for the lead singer and guitarist, John Gourley. Answer B provides the band name, not an alias for the individual."
gpt-5-1,hotpotqa,5ab8f5685542991b5579f096,What year was the thesis supervisor of Jocelyn Bell Burnell awarded the Eddington Medal?,1977,1969,1969,"[""Who was the thesis supervisor of Jocelyn Bell Burnell?"", ""In what year was {answer_1} awarded the Eddington Medal?""]","{""answer_1"": ""Antony Hewish"", ""answer_2"": ""1977""}","answer_1: str = qa_model(""Who was the thesis supervisor of Jocelyn Bell Burnell?"")
answer_2: str = qa_model(""In what year was {answer_1} awarded the Eddington Medal?"", answer_1=answer_1)","{
  ""answer_1"": ""Antony Hewish"",
  ""answer_2"": ""1977""
}",1969,"The years provided, 1977 and 1969, are different. Calendar dates and years must match exactly.","equivalent: 0
reasoning: The years provided, 1977 and 1969, are different. Calendar dates and years must match exactly."
gpt-5-1,hotpotqa,5abd40585542993062266c3e,West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road? ,Castle Road,Gamel Abdul Nasser Avenue,Castle Road,"[""Which ridge has Independence Avenue/Liberation Avenue as its eastern boundary?"", ""What road separates West Ridge and {answer_1}?""]","{""answer_1"": ""North Ridge"", ""answer_2"": ""Castle Road""}","answer_1: str = qa_model(""Which ridge has Independence Avenue/Liberation Avenue as its eastern boundary?"")
answer_2: str = qa_model(""What road separates West Ridge and {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""North Ridge"",
  ""answer_2"": ""Castle Road""
}","answer:
Gamel Abdul Nasser Avenue","The two answers provide different road names, ""Castle Road"" and ""Gamel Abdul Nasser Avenue"", which are distinct and contradictory.","equivalent: 0
reasoning: The two answers provide different road names, ""Castle Road"" and ""Gamel Abdul Nasser Avenue"", which are distinct and contradictory."
gpt-5-1,hotpotqa,5abdbeed5542993062266cdd,"The airline operating in Whitehorse, Yukon handled how many passengers in 2012?",220000,105000,"294,000","[""What is the main airline operating in Whitehorse, Yukon?"", ""How many passengers did {answer_1} handle in 2012?""]","{""answer_1"": ""Air North"", ""answer_2"": ""220000""}","answer_1: str = qa_model(""What is the main airline operating in Whitehorse, Yukon?"")
answer_2: str = qa_model(""How many passengers did {answer_1} handle in 2012?"", answer_1=answer_1)","{
  ""answer_1"": ""Air North"",
  ""answer_2"": ""220000""
}","answer:
105000",The numerical values 220000 and 105000 are significantly different and do not fall within the allowed tolerance for numerical expressions.,"equivalent: 0
reasoning: The numerical values 220000 and 105000 are significantly different and do not fall within the allowed tolerance for numerical expressions."
gpt-5-1,hotpotqa,5ac0551b5542997d64295a07,St James Street appears as a segment of Whitecross Street on the 1610 map of the Monmouth by an English historian best known as a mapmaker of what perior?,early 17th century,the Tudor period,Stuart period,"[""Who created the 1610 map of Monmouth?"", ""What period is the mapmaker {answer_1} best known for?""]","{""answer_1"": ""John Speed"", ""answer_2"": ""early 17th century""}","answer_1: str = qa_model(""Who created the 1610 map of Monmouth?"")
answer_2: str = qa_model(""What period is the mapmaker {answer_1} best known for?"", answer_1=answer_1)","{
  ""answer_1"": ""John Speed"",
  ""answer_2"": ""early 17th century""
}","answer:
the Tudor period","The Tudor period ended in 1603, while the early 17th century refers to the period starting in 1600, and specifically includes 1610 mentioned in the question. These are distinct historical periods.","equivalent: 0
reasoning: The Tudor period ended in 1603, while the early 17th century refers to the period starting in 1600, and specifically includes 1610 mentioned in the question. These are distinct historical periods."
gpt-5-1,hotpotqa,5ac1b7495542994ab5c67dd9,What genre of music is the solo artist that contributed to Real Damage a variant of?,folk punk,punk rock,synth-pop,"[""Which solo artist contributed to the music group Real Damage?"", ""What is the music genre of {answer_1}?""]","{""answer_1"": ""Frank Turner"", ""answer_2"": ""folk punk""}","answer_1: str = qa_model(""Which solo artist contributed to the music group Real Damage?"")
answer_2: str = qa_model(""What is the music genre of {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Frank Turner"",
  ""answer_2"": ""folk punk""
}","answer:
punk rock","""Folk punk"" is a specific subgenre, while ""punk rock"" is the broader genre from which ""folk punk"" is a variant. The question asks what genre the artist's music is a variant *of*, implying the broader category. Therefore, these are distinct answers.","equivalent: 0
reasoning: ""Folk punk"" is a specific subgenre, while ""punk rock"" is the broader genre from which ""folk punk"" is a variant. The question asks what genre the artist's music is a variant *of*, implying the broader category. Therefore, these are distinct answers."
gpt-5-1,hotpotqa,5ac1bfd85542994ab5c67dfb,"How many German scientists, engineers, and technicians, were recruited in post-Nazi Germany as a result of the clandestine operation where Arthur Rudolph became one of the main developers of the U.S. ?space program","more than 1,600",1600,"more than 1,600","[""What was the clandestine operation in which Arthur Rudolph was recruited to the U.S. space program?"", ""How many German scientists, engineers, and technicians were recruited as part of {answer_1}?""]","{""answer_1"": ""Operation Paperclip"", ""answer_2"": ""more than 1,600""}","answer_1: str = qa_model(""What was the clandestine operation in which Arthur Rudolph was recruited to the U.S. space program?"")
answer_2: str = qa_model(""How many German scientists, engineers, and technicians were recruited as part of {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Operation Paperclip"",
  ""answer_2"": ""more than 1,600""
}","answer:
1600","Answer A states ""more than 1,600"" while Answer B states ""1600"", which are contradictory as ""more than 1,600"" excludes the value 1,600.","equivalent: 0
reasoning: Answer A states ""more than 1,600"" while Answer B states ""1600"", which are contradictory as ""more than 1,600"" excludes the value 1,600."
gpt-5-1,hotpotqa,5ac28a21554299677310256e,"The character portrayed in ""Giuliani Time"" is a real-life informal adviser to the White House in which area?",cybersecurity,homeland security,cybersecurity,"[""Who is the character portrayed in 'Giuliani Time'?"", ""In which area is {answer_1} an informal adviser to the White House?""]","{""answer_1"": ""Rudy Giuliani"", ""answer_2"": ""cybersecurity""}","answer_1: str = qa_model(""Who is the character portrayed in 'Giuliani Time'?"")
answer_2: str = qa_model(""In which area is {answer_1} an informal adviser to the White House?"", answer_1=answer_1)","{
  ""answer_1"": ""Rudy Giuliani"",
  ""answer_2"": ""cybersecurity""
}","answer:
homeland security",The answers refer to two distinct areas of expertise: cybersecurity and homeland security. They are not equivalent.,"equivalent: 0
reasoning: The answers refer to two distinct areas of expertise: cybersecurity and homeland security. They are not equivalent."
gpt-5-1,hotpotqa,5ac3983a554299657fa290f5,"At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?","15,963",10037,"6,960","[""In which city was Kerry Saxby-Junna born?"", ""What was the population of {answer_1} at the 2011 census?""]","{""answer_1"": ""Ballina"", ""answer_2"": ""15,963""}","answer_1: str = qa_model(""In which city was Kerry Saxby-Junna born?"")
answer_2: str = qa_model(""What was the population of {answer_1} at the 2011 census?"", answer_1=answer_1)","{
  ""answer_1"": ""Ballina"",
  ""answer_2"": ""15,963""
}",10037,"The numerical values 15,963 and 10,037 are significantly different, exceeding the allowed tolerance for numerical equivalence (37.12% difference vs. 1-5.5% window).","equivalent: 0
reasoning: The numerical values 15,963 and 10,037 are significantly different, exceeding the allowed tolerance for numerical equivalence (37.12% difference vs. 1-5.5% window)."
gpt-5-1,hotpotqa,5ac3bf5e5542995ef918c20f,The Rossendale Free Press serves the town how far north of Manchester?,15 mi,17 mi,19 mi,"[""What town does the Rossendale Free Press serve?"", ""How far north of Manchester is {answer_1}?""]","{""answer_1"": ""Rawtenstall"", ""answer_2"": ""15 mi""}","answer_1: str = qa_model(""What town does the Rossendale Free Press serve?"")
answer_2: str = qa_model(""How far north of Manchester is {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Rawtenstall"",
  ""answer_2"": ""15 mi""
}",17 mi,"The numerical values 15 and 17 differ by more than the allowed tolerance of max(0.5, 1% of reference).","equivalent: 0
reasoning: The numerical values 15 and 17 differ by more than the allowed tolerance of max(0.5, 1% of reference)."
gpt-5-1,hotpotqa,5ade8f5e55429975fa854f11,"What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?",Dance with a Stranger,Let Him Have It,10 Rillington Place,"[""Who executed William Joyce and John Amery?"", ""In which movie did Edwin Brown play {answer_1}?""]","{""answer_1"": ""Albert Pierrepoint"", ""answer_2"": ""Dance with a Stranger""}","answer_1: str = qa_model(""Who executed William Joyce and John Amery?"")
answer_2: str = qa_model(""In which movie did Edwin Brown play {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Albert Pierrepoint"",
  ""answer_2"": ""Dance with a Stranger""
}","answer:
Let Him Have It","The two answers refer to different movies. ""Let Him Have It"" features Edwin Brown as Albert Pierrepoint, the executioner mentioned in the question, while ""Dance with a Stranger"" does not.","equivalent: 0
reasoning: The two answers refer to different movies. ""Let Him Have It"" features Edwin Brown as Albert Pierrepoint, the executioner mentioned in the question, while ""Dance with a Stranger"" does not."
gpt-5-1,hotpotqa,5adf44985542993a75d2646d,Which genus of moth in the world's seventh-largest country contains only one species?,Khasia,India,Crambidae,"[""What is the world's seventh-largest country?"", ""Which genus of moth in {answer_1} contains only one species?""]","{""answer_1"": ""India"", ""answer_2"": ""Khasia""}","answer_1: str = qa_model(""What is the world's seventh-largest country?"")
answer_2: str = qa_model(""Which genus of moth in {answer_1} contains only one species?"", answer_1=answer_1)","{
  ""answer_1"": ""India"",
  ""answer_2"": ""Khasia""
}","answer:
India","Answer A identifies the genus of moth as requested, while Answer B identifies the country, which is only part of the contextual information in the question.","equivalent: 0
reasoning: Answer A identifies the genus of moth as requested, while Answer B identifies the country, which is only part of the contextual information in the question."
gpt-5-1,hotpotqa,5adf698f5542993a75d264e2,Who directed a film that included Sarah Manninen?,Martha Coolidge,Paul Gross,Martha Coolidge,"[""Which film included Sarah Manninen?"", ""Who directed the film {answer_1}?""]","{""answer_1"": ""The Prince and Me"", ""answer_2"": ""Martha Coolidge""}","answer_1: str = qa_model(""Which film included Sarah Manninen?"")
answer_2: str = qa_model(""Who directed the film {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""The Prince and Me"",
  ""answer_2"": ""Martha Coolidge""
}",Paul Gross,"The answers provide different names for the director, which are not equivalent.","equivalent: 0
reasoning: The answers provide different names for the director, which are not equivalent."
gpt-5-1,hotpotqa,5ae27edc5542992decbdcd2d,Jake David Shapiro was best know for being the screenwriter of a film directed by who?,Unknown,Steven Spielberg,Roger Christian,"[""What film is Jake David Shapiro best known for being the screenwriter of?"", ""Who directed the film {answer_1}?""]","{""answer_1"": ""Unknown"", ""answer_2"": ""Unknown""}","answer_1: str = qa_model(""What film is Jake David Shapiro best known for being the screenwriter of?"")
answer_2: str = qa_model(""Who directed the film {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Unknown"",
  ""answer_2"": ""Unknown""
}",Steven Spielberg,"Answer A states the director is unknown, while Answer B provides a specific name (Steven Spielberg), which is a direct contradiction.","equivalent: 0
reasoning: Answer A states the director is unknown, while Answer B provides a specific name (Steven Spielberg), which is a direct contradiction."
gpt-5-1,hotpotqa,5ae3dde35542992f92d823a4, Benjamin Halfpenny was a footballer for a club that plays its home matches where?,Coventry Building Society Arena,St Andrew’s,Select Security Stadium,"[""Which football club did Benjamin Halfpenny play for?"", ""Where does {answer_1} play its home matches?""]","{""answer_1"": ""Coventry City"", ""answer_2"": ""Coventry Building Society Arena""}","answer_1: str = qa_model(""Which football club did Benjamin Halfpenny play for?"")
answer_2: str = qa_model(""Where does {answer_1} play its home matches?"", answer_1=answer_1)","{
  ""answer_1"": ""Coventry City"",
  ""answer_2"": ""Coventry Building Society Arena""
}","answer:
St Andrew’s","The answers refer to two different stadiums/locations (Coventry Building Society Arena vs. St Andrew's), which is a direct contradiction.","equivalent: 0
reasoning: The answers refer to two different stadiums/locations (Coventry Building Society Arena vs. St Andrew's), which is a direct contradiction."
gpt-5-1,hotpotqa,5ae546be5542990ba0bbb251,Which Lightweight division mixed martial artist founded the American Combat Association?,Light heavyweight,Joe Stevenson,Kamal Shalorus,"[""Who founded the American Combat Association?"", ""In which weight division does the mixed martial artist {answer_1} compete?""]","{""answer_1"": ""Ken Shamrock"", ""answer_2"": ""Light heavyweight""}","answer_1: str = qa_model(""Who founded the American Combat Association?"")
answer_2: str = qa_model(""In which weight division does the mixed martial artist {answer_1} compete?"", answer_1=answer_1)","{
  ""answer_1"": ""Ken Shamrock"",
  ""answer_2"": ""Light heavyweight""
}","answer:
Joe Stevenson","Answer A provides a weight class, not a person's name, and it's a different weight class than specified in the question. Answer B provides the correct person's name.","equivalent: 0
reasoning: Answer A provides a weight class, not a person's name, and it's a different weight class than specified in the question. Answer B provides the correct person's name."
