model,dataset,id,question,assistive_answer,open_answer,gold_answer,assistive_correct,open_correct,assistive_intermediate_questions,assistive_intermediate_answers,assistive_dsl,assistive_raw_response,open_raw_response,equivalence_reasoning,equivalence_raw_response,label_cause,label_notes
google-gemini-2-5-pro,hotpotqa,5a76353d5542994ccc918715,When was the artist who did the cover art of The Savage Frontier born?,1958-10-22,1948-08-05,"August 5, 1948",0,1,"[""Who did the cover art for 'The Savage Frontier'?"", ""When was {answer_1} born?""]","{""answer_1"": ""Keith Parkinson"", ""answer_2"": ""1958-10-22""}","answer_1: str = qa_model(""Who did the cover art for 'The Savage Frontier'?"")
answer_2: str = qa_model(""When was {answer_1} born?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Keith Parkinson"",
  ""answer_2"": ""1958-10-22""
}
```",1948-08-05,The birth dates provided are different and calendar dates must match exactly.,"equivalent: 0
reasoning: The birth dates provided are different and calendar dates must match exactly.",,
google-gemini-2-5-pro,hotpotqa,5a7722d655429966f1a36c99,Where did the form of music played by Die Rhöner Säuwäntzt originate?,Germany; Austria; Switzerland,Rhön,United States,0,0,"[""What form of music do Die Rh\u00c3\u00b6ner S\u00c3\u00a4uw\u00c3\u00a4ntzt play?"", ""Where did the music form {answer_1} originate?""]","{""answer_1"": ""Volksmusik"", ""answer_2"": ""Germany; Austria; Switzerland""}","answer_1: str = qa_model(""What form of music do Die Rhöner Säuwäntzt play?"")
answer_2: str = qa_model(""Where did the music form {answer_1} originate?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Volksmusik"",
  ""answer_2"": ""Germany; Austria; Switzerland""
}
```",Rhön,"Answer B specifies a region (Rhön, which is in Germany), while Answer A lists three countries (Germany, Austria, Switzerland). If the music originated specifically in Rhön, then stating Austria and Switzerland as origins (as in Answer A) would be a contradiction.","equivalent: 0
reasoning: Answer B specifies a region (Rhön, which is in Germany), while Answer A lists three countries (Germany, Austria, Switzerland). If the music originated specifically in Rhön, then stating Austria and Switzerland as origins (as in Answer A) would be a contradiction.",,
google-gemini-2-5-pro,hotpotqa,5a7a61d355429941d65f25fd,Who directed the movie that Jack Covin played Dr. Ardmore in?,Miloš Forman,Joseph Green,Tom Holland,0,0,"[""What movie did Jack Covin play Dr. Ardmore in?"", ""Who directed '{answer_1}'?""]","{""answer_1"": ""One Flew Over the Cuckoo's Nest"", ""answer_2"": ""Milo\u0161 Forman""}","answer_1: str = qa_model(""What movie did Jack Covin play Dr. Ardmore in?"")
answer_2: str = qa_model(""Who directed '{answer_1}'?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""One Flew Over the Cuckoo's Nest"",
  ""answer_2"": ""Miloš Forman""
}
```",Joseph Green,"The two answers provide different names for the director, indicating a contradiction.","equivalent: 0
reasoning: The two answers provide different names for the director, indicating a contradiction.",,
google-gemini-2-5-pro,hotpotqa,5a7ca54c55429935c91b527f,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",Producer,CEO of Marv Group,CEO of Lionsgate UK & Europe,0,0,"[""What is the 2016 American action thriller film directed by Babak Najafi?"", ""Who was the executive producer for {answer_1}?"", ""What position does {answer_2} currently hold?""]","{""answer_1"": ""London Has Fallen"", ""answer_2"": ""Avi Lerner; Trevor Short; Boaz Davidson; John Thompson; Christine Otal; Heidi Jo Markel"", ""answer_3"": ""Producer""}","answer_1: str = qa_model(""What is the 2016 American action thriller film directed by Babak Najafi?"")
answer_2: str = qa_model(""Who was the executive producer for {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What position does {answer_2} currently hold?"", answer_2=answer_2)","```json
{
  ""answer_1"": ""London Has Fallen"",
  ""answer_2"": ""Avi Lerner; Trevor Short; Boaz Davidson; John Thompson; Christine Otal; Heidi Jo Markel"",
  ""answer_3"": ""Producer""
}
```",CEO of Marv Group,"Answer A describes a general functional role, while Answer B describes a specific executive position within a company. These are distinct facts, not one being a more specific version of the other.","equivalent: 0
reasoning: Answer A describes a general functional role, while Answer B describes a specific executive position within a company. These are distinct facts, not one being a more specific version of the other.",,
google-gemini-2-5-pro,mintaka,19c7c396,Who was MLB Commissioner during World Series of 1984?,Bowie Kuhn,Peter Ueberroth,Peter Ueberroth,0,1,"[""What organization oversees the World Series?"", ""Who was the commissioner of {answer_1} in 1984?""]","{""answer_1"": ""Major League Baseball"", ""answer_2"": ""Bowie Kuhn""}","answer_1: str = qa_model(""What organization oversees the World Series?"")
answer_2: str = qa_model(""Who was the commissioner of {answer_1} in 1984?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Major League Baseball"",
  ""answer_2"": ""Bowie Kuhn""
}
```","answer:
Peter Ueberroth","The answers provide different names for the MLB Commissioner during the 1984 World Series, which is a factual contradiction. Peter Ueberroth was the commissioner during that period.","equivalent: 0
reasoning: The answers provide different names for the MLB Commissioner during the 1984 World Series, which is a factual contradiction. Peter Ueberroth was the commissioner during that period.",,
google-gemini-2-5-pro,mintaka,286d66d0,Who was the last wife of the main character featured in the Last Samurai?,Katie Holmes,Taka,Katie Holmes,1,0,"[""Who is the main character in the movie 'The Last Samurai'?"", ""Who was the last wife of {answer_1}?""]","{""answer_1"": ""Tom Cruise"", ""answer_2"": ""Katie Holmes""}","answer_1: str = qa_model(""Who is the main character in the movie 'The Last Samurai'?"")
answer_2: str = qa_model(""Who was the last wife of {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Tom Cruise"",
  ""answer_2"": ""Katie Holmes""
}
```","answer:
Taka",Answer A is incorrect; Katie Holmes is an actress and not a character in the movie. Answer B correctly identifies Taka as the last wife of the main character.,"equivalent: 0
reasoning: Answer A is incorrect; Katie Holmes is an actress and not a character in the movie. Answer B correctly identifies Taka as the last wife of the main character.",,
google-gemini-2-5-pro,mintaka,30880c95,When did the director of Avengers divorce his wife?,2016,2017,2016,1,0,"[""Who is the director of the movie 'The Avengers'?"", ""When did {answer_1} divorce his wife?""]","{""answer_1"": ""Joss Whedon"", ""answer_2"": ""2016""}","answer_1: str = qa_model(""Who is the director of the movie 'The Avengers'?"")
answer_2: str = qa_model(""When did {answer_1} divorce his wife?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Joss Whedon"",
  ""answer_2"": ""2016""
}
```",2017,Calendar years must match exactly; 2016 is not 2017.,"equivalent: 0
reasoning: Calendar years must match exactly; 2016 is not 2017.",,
google-gemini-2-5-pro,mintaka,33a4d66e,When was the final game in Kingdom Hearts' Xehanort Saga released?,2019-01-25,2019-01-29,25-Jan-19,1,0,"[""What is the final game in the Kingdom Hearts Xehanort Saga?"", ""When was '{answer_1}' released?""]","{""answer_1"": ""Kingdom Hearts III"", ""answer_2"": ""2019-01-25""}","answer_1: str = qa_model(""What is the final game in the Kingdom Hearts Xehanort Saga?"")
answer_2: str = qa_model(""When was '{answer_1}' released?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Kingdom Hearts III"",
  ""answer_2"": ""2019-01-25""
}
```",2019-01-29,Calendar dates must match exactly; 2019-01-25 is not equivalent to 2019-01-29.,"equivalent: 0
reasoning: Calendar dates must match exactly; 2019-01-25 is not equivalent to 2019-01-29.",,
google-gemini-2-5-pro,mintaka,3c79e320,What is the name of the kingdom that the love interest to Luigi's younger brother rules over?,Mushroom Kingdom,Sarasaland,Mushroom Kingdom,1,0,[],"{""answer_1"": ""Mario"", ""answer_2"": ""Princess Peach"", ""answer_3"": ""Mushroom Kingdom""}","answer_1: str = qa_model(""Who is Luigi's brother?"")
answer_2: str = qa_model(""Who is the love interest of {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What kingdom does {answer_2} rule over?"", answer_2=answer_2)","intermediate_answers:
{
  ""answer_1"": ""Mario"",
  ""answer_2"": ""Princess Peach"",
  ""answer_3"": ""Mushroom Kingdom""
}","answer:
Sarasaland","The answers provide two different, contradictory names for the kingdom. ""Mushroom Kingdom"" is not the same as ""Sarasaland"".","equivalent: 0
reasoning: The answers provide two different, contradictory names for the kingdom. ""Mushroom Kingdom"" is not the same as ""Sarasaland"".",,
google-gemini-2-5-pro,mintaka,447e31d9,Who was the first wife of Queen Elizabeth II's eldest son?,"{'answer_1': 'Charles III', 'answer_2': 'Diana, Princess of Wales'}","Diana, Princess of Wales",Diana Spencer,0,1,[],"{""answer_1"": ""Charles III"", ""answer_2"": ""Diana, Princess of Wales""}","answer_1: str = qa_model(""Who is the eldest son of Queen Elizabeth II?"")
answer_2: str = qa_model(""Who was the first wife of {answer_1}?"", answer_1=answer_1)","intermediate_answers:
{
  ""answer_1"": ""Charles III"",
  ""answer_2"": ""Diana, Princess of Wales""
}","Diana, Princess of Wales","Answer A includes ""Charles III"" as part of the answer, but he was the son, not the first wife. This is a factual contradiction, as Answer B correctly identifies only Diana, Princess of Wales.","equivalent: 0
reasoning: Answer A includes ""Charles III"" as part of the answer, but he was the son, not the first wife. This is a factual contradiction, as Answer B correctly identifies only Diana, Princess of Wales.",,
google-gemini-2-5-pro,mintaka,48e38631,How many actors played Sonny in Big Daddy?,"{'answer_1': 'Adam Sandler', 'answer_2': '1'}",2,2,0,1,[],{},"answer_1: str = qa_model(""Who played the character Sonny in the movie Big Daddy?"")
answer_2: str = qa_model(""How many actors are in the group '{answer_1}'?"", answer_1=answer_1)","```json
""intermediate_answers"": {
  ""answer_1"": ""Adam Sandler"",",2,"The answers provide contradictory numbers. Answer A states 1, while Answer B states 2.","equivalent: 0
reasoning: The answers provide contradictory numbers. Answer A states 1, while Answer B states 2.",,
google-gemini-2-5-pro,mintaka,4ded8418,What's the tallest building in the state where Yosemite National Park is located?,Salesforce Tower,Wilshire Grand Center,Wilshire Grand Center,0,1,[],"{""answer_1"": ""California"", ""answer_2"": ""Salesforce Tower""}","answer_1: str = qa_model(""In which state is Yosemite National Park located?"")
answer_2: str = qa_model(""What is the tallest building in {answer_1}?"", answer_1=answer_1)","intermediate_answers:
{
  ""answer_1"": ""California"",
  ""answer_2"": ""Salesforce Tower""
}",Wilshire Grand Center,"The answers provide two different building names, which is a direct contradiction.","equivalent: 0
reasoning: The answers provide two different building names, which is a direct contradiction.",,
google-gemini-2-5-pro,mintaka,4f324703,Who is the main character in the first GTA?,Bubba; Divine; Katie; Kivlov; Mikki; Travis; Troy; Ulrika,Travis; Katy; Nikki; Divine; Bubba; Troy; Kivlov; Ulrika,Tommy,0,0,"[""What is the first Grand Theft Auto game?"", ""Who is the main character in '{answer_1}'?""]","{""answer_1"": ""Grand Theft Auto"", ""answer_2"": ""Bubba; Divine; Katie; Kivlov; Mikki; Travis; Troy; Ulrika""}","answer_1: str = qa_model(""What is the first Grand Theft Auto game?"")
answer_2: str = qa_model(""Who is the main character in '{answer_1}'?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Grand Theft Auto"",
  ""answer_2"": ""Bubba; Divine; Katie; Kivlov; Mikki; Travis; Troy; Ulrika""
}
```",Travis; Katy; Nikki; Divine; Bubba; Troy; Kivlov; Ulrika,The lists contain different names ('Mikki' in A vs 'Nikki' in B). 'Katie' and 'Katy' are treated as equivalent due to common alternative spellings.,"equivalent: 0
reasoning: The lists contain different names ('Mikki' in A vs 'Nikki' in B). 'Katie' and 'Katy' are treated as equivalent due to common alternative spellings.",,
google-gemini-2-5-pro,mintaka,4f485cdf,Who is the most popular in the last NBA 2k game?,Devin Booker,Giannis Antetokounmpo,Kevin Durant,0,0,"[""What is the latest NBA 2k game?"", ""Who is the cover athlete for '{answer_1}'?""]","{""answer_1"": ""NBA 2K23"", ""answer_2"": ""Devin Booker""}","answer_1: str = qa_model(""What is the latest NBA 2k game?"")
answer_2: str = qa_model(""Who is the cover athlete for '{answer_1}'?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""NBA 2K23"",
  ""answer_2"": ""Devin Booker""
}
```",Giannis Antetokounmpo,"The answers name different players. Giannis Antetokounmpo was the cover athlete for the most recent NBA 2K24, while Devin Booker was for NBA 2K23.","equivalent: 0
reasoning: The answers name different players. Giannis Antetokounmpo was the cover athlete for the most recent NBA 2K24, while Devin Booker was for NBA 2K23.",,
gpt-5-1,bamboogle,bamboogle_0002_175308b7,What rocket was the first spacecraft that ever approached Uranus launched on?,Titan IIIE-Centaur,Titan IIIE,Titan IIIE,1,1,"[""What was the first spacecraft to approach Uranus?"", ""What rocket was {answer_1} launched on?""]","{""answer_1"": ""Voyager 2"", ""answer_2"": ""Titan IIIE-Centaur""}","answer_1: str = qa_model(""What was the first spacecraft to approach Uranus?"")
answer_2: str = qa_model(""What rocket was {answer_1} launched on?"", answer_1=answer_1)","{
  ""answer_1"": ""Voyager 2"",
  ""answer_2"": ""Titan IIIE-Centaur""
}","answer:
Titan IIIE","Answer B omits the ""Centaur"" upper stage, which is a critical component of the Titan IIIE-Centaur launch vehicle and essential for the mission's success. Therefore, Answer B is incomplete and not equivalent to Answer A.","equivalent: 0
reasoning: Answer B omits the ""Centaur"" upper stage, which is a critical component of the Titan IIIE-Centaur launch vehicle and essential for the mission's success. Therefore, Answer B is incomplete and not equivalent to Answer A.",,
gpt-5-1,bamboogle,bamboogle_0028_ec928c44,What is the third letter of the top level domain of the military?,i,l,l,0,1,"[""What is the top level domain of the military?"", ""What is the third letter of '{answer_1}'?""]","{""answer_1"": "".mil"", ""answer_2"": ""i""}","answer_1: str = qa_model(""What is the top level domain of the military?"")
answer_2: str = qa_model(""What is the third letter of '{answer_1}'?"", answer_1=answer_1)","{
  ""answer_1"": "".mil"",
  ""answer_2"": ""i""
}","answer:
l","Answer A states 'i' while Answer B states 'l'. The third letter of the military TLD (.mil) is 'l', making Answer A incorrect and Answer B correct. They are contradictory.","equivalent: 0
reasoning: Answer A states 'i' while Answer B states 'l'. The third letter of the military TLD (.mil) is 'l', making Answer A incorrect and Answer B correct. They are contradictory.",,
gpt-5-1,bamboogle,bamboogle_0035_f61df3cd,What is the maximum airspeed (in km/h) of the third fastest bird?,209 km/h,169,320 km/h,0,0,"[""What is the third fastest bird?"", ""What is the maximum airspeed of a {answer_1} in km/h?""]","{""answer_1"": ""gyrfalcon"", ""answer_2"": ""209 km/h""}","answer_1: str = qa_model(""What is the third fastest bird?"")
answer_2: str = qa_model(""What is the maximum airspeed of a {answer_1} in km/h?"", answer_1=answer_1)","{
  ""answer_1"": ""gyrfalcon"",
  ""answer_2"": ""209 km/h""
}","answer:
169",The numeric values (209 vs 169) are significantly different and do not fall within the allowed numeric tolerance.,"equivalent: 0
reasoning: The numeric values (209 vs 169) are significantly different and do not fall within the allowed numeric tolerance.",,
gpt-5-1,bamboogle,bamboogle_0043_d65a05e7,The most populous city in Punjab is how large (area wise)?,1772 km²,159 km²,310 square kilometers,0,0,"[""What is the most populous city in Punjab?"", ""What is the area of {answer_1}?""]","{""answer_1"": ""Lahore"", ""answer_2"": ""1772 km\u00b2""}","answer_1: str = qa_model(""What is the most populous city in Punjab?"")
answer_2: str = qa_model(""What is the area of {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Lahore"",
  ""answer_2"": ""1772 km²""
}",159 km²,The numerical values for the area (1772 km² vs 159 km²) are significantly different and do not fall within the allowed numeric tolerance.,"equivalent: 0
reasoning: The numerical values for the area (1772 km² vs 159 km²) are significantly different and do not fall within the allowed numeric tolerance.",,
gpt-5-1,bamboogle,bamboogle_0054_3ecff82e,When was the first location of the world's largest coffeehouse chain opened?,1971-03-30,1971-03-31,"March 30, 1971",1,0,"[""What is the world's largest coffeehouse chain?"", ""When was the first location of {answer_1} opened?""]","{""answer_1"": ""Starbucks"", ""answer_2"": ""1971-03-30""}","answer_1: str = qa_model(""What is the world's largest coffeehouse chain?"")
answer_2: str = qa_model(""When was the first location of {answer_1} opened?"", answer_1=answer_1)","{
  ""answer_1"": ""Starbucks"",
  ""answer_2"": ""1971-03-30""
}","answer:
1971-03-31","Calendar dates must match exactly, and 1971-03-30 is not equivalent to 1971-03-31.","equivalent: 0
reasoning: Calendar dates must match exactly, and 1971-03-30 is not equivalent to 1971-03-31.",,
gpt-5-1,bamboogle,bamboogle_0066_6b32e7f3,The most populous national capital city was established in what year?,1868,1457,1045 BC,0,0,"[""What is the most populous national capital city?"", ""In what year was {answer_1} established?""]","{""answer_1"": ""Tokyo"", ""answer_2"": ""1868""}","answer_1: str = qa_model(""What is the most populous national capital city?"")
answer_2: str = qa_model(""In what year was {answer_1} established?"", answer_1=answer_1)","{
  ""answer_1"": ""Tokyo"",
  ""answer_2"": ""1868""
}","answer:
1457",The years provided are different and calendar dates/years must match exactly.,"equivalent: 0
reasoning: The years provided are different and calendar dates/years must match exactly.",,
gpt-5-1,bamboogle,bamboogle_0080_d07f4725,In what year did work begin on the second longest road tunnel in the world?,1992,2002,1992,1,0,"[""What is the second longest road tunnel in the world?"", ""In what year did work begin on the {answer_1}?""]","{""answer_1"": ""Yamate Tunnel"", ""answer_2"": ""1992""}","answer_1: str = qa_model(""What is the second longest road tunnel in the world?"")
answer_2: str = qa_model(""In what year did work begin on the {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""Yamate Tunnel"",
  ""answer_2"": ""1992""
}",2002,"The years provided, 1992 and 2002, are distinct and contradict each other. Calendar dates/years must match exactly.","equivalent: 0
reasoning: The years provided, 1992 and 2002, are distinct and contradict each other. Calendar dates/years must match exactly.",,
gpt-5-1,bamboogle,bamboogle_0081_cfd7f8b7,What is the official color of the third oldest surviving university?,Cambridge Blue,St Andrews blue,Cambridge Blue,1,0,"[""What is the third oldest surviving university in the world?"", ""What is the official color of the {answer_1}?""]","{""answer_1"": ""University of Cambridge"", ""answer_2"": ""Cambridge Blue""}","answer_1: str = qa_model(""What is the third oldest surviving university in the world?"")
answer_2: str = qa_model(""What is the official color of the {answer_1}?"", answer_1=answer_1)","{
  ""answer_1"": ""University of Cambridge"",
  ""answer_2"": ""Cambridge Blue""
}","answer:
St Andrews blue","Answer A refers to the color of the University of Cambridge (second oldest), while Answer B refers to the color of the University of St Andrews (third oldest), which is what the question asks for. The answers contradict each other regarding the specific university.","equivalent: 0
reasoning: Answer A refers to the color of the University of Cambridge (second oldest), while Answer B refers to the color of the University of St Andrews (third oldest), which is what the question asks for. The answers contradict each other regarding the specific university.",,
gpt-5-1,bamboogle,bamboogle_0084_6694d7d9,Who produced the longest running video game franchise?,Minnesota Educational Computing Consortium (MECC),Nintendo,MECC,1,0,"[""What is the longest running video game franchise?"", ""Who produced the '{answer_1}' franchise?""]","{""answer_1"": ""The Oregon Trail"", ""answer_2"": ""Minnesota Educational Computing Consortium (MECC)""}","answer_1: str = qa_model(""What is the longest running video game franchise?"")
answer_2: str = qa_model(""Who produced the '{answer_1}' franchise?"", answer_1=answer_1)","{
  ""answer_1"": ""The Oregon Trail"",
  ""answer_2"": ""Minnesota Educational Computing Consortium (MECC)""
}","answer:
Nintendo","The answers refer to two different entities (MECC vs. Nintendo) as the producer of the longest-running video game franchise, making them contradictory.","equivalent: 0
reasoning: The answers refer to two different entities (MECC vs. Nintendo) as the producer of the longest-running video game franchise, making them contradictory.",,
