dataset	model	approach	total_comparison	consistent	inconsistent	consistency_rate
hotpotqa	qwen-3-8B	sequential	274	54	220	19.71
hotpotqa	qwen-3-8B	model_generated_plan	274	59	215	21.53
mintaka	gemini-2.5-flash	assistive	298	261	37	87.58
mintaka	gemini-2.5-flash	sequential	298	265	33	88.93
mintaka	gemini-2.5-flash	model_generated_plan	298	256	42	85.91
mintaka	gemini-2.5-pro	assistive	298	278	20	93.29
mintaka	gemini-2.5-pro	sequential	298	277	21	92.95
mintaka	gemini-2.5-pro	model_generated_plan	298	240	58	80.54
mintaka	gemma-3-4B-it	assistive	298	71	227	23.83
mintaka	gemma-3-4B-it	sequential	298	69	229	23.15
mintaka	gemma-3-4B-it	model_generated_plan	298	52	246	17.45
mintaka	gpt-5.1	assistive	298	279	19	93.62
mintaka	gpt-5.1	sequential	298	275	23	92.28
mintaka	gpt-5.1	model_generated_plan	298	257	41	86.24
mintaka	llama-3.1-8B-Instruct	assistive	298	112	186	37.58
mintaka	llama-3.1-8B-Instruct	sequential	298	114	184	38.26
mintaka	llama-3.1-8B-Instruct	model_generated_plan	298	74	224	24.83
mintaka	llama-3.3-70B-Instruct	assistive	298	177	121	59.4
mintaka	llama-3.3-70B-Instruct	sequential	298	197	101	66.11
mintaka	llama-3.3-70B-Instruct	model_generated_plan	298	195	103	65.44
mintaka	mistral-7B-Instruct-v0.3	assistive	298	121	177	40.6
mintaka	mistral-7B-Instruct-v0.3	sequential	298	108	190	36.24
mintaka	mistral-7B-Instruct-v0.3	model_generated_plan	298	86	212	28.86
mintaka	qwen-2.5-72B-Instruct	assistive	298	170	128	57.05
mintaka	qwen-2.5-72B-Instruct	sequential	298	175	123	58.72
mintaka	qwen-2.5-72B-Instruct	model_generated_plan	298	166	132	55.7
mintaka	qwen-3-32B	assistive	298	133	165	44.63
mintaka	qwen-3-32B	sequential	298	128	170	42.95
mintaka	qwen-3-32B	model_generated_plan	298	113	185	37.92
mintaka	qwen-3-8B	assistive	298	94	204	31.54
mintaka	qwen-3-8B	sequential	298	85	213	28.52
mintaka	qwen-3-8B	model_generated_plan	298	71	227	23.83
