dataset	model	approach	total_comparison	consistent	inconsistent	consistency_rate
mintaka	gpt-5.1	model_generated_plan	298	257	41	86.24
mintaka	llama-3.1-8B-Instruct	assistive	298	112	186	37.58
mintaka	llama-3.1-8B-Instruct	sequential	298	114	184	38.26
mintaka	llama-3.1-8B-Instruct	model_generated_plan	298	74	224	24.83
mintaka	llama-3.3-70B-Instruct	assistive	298	177	121	59.4
mintaka	llama-3.3-70B-Instruct	sequential	298	197	101	66.11
mintaka	llama-3.3-70B-Instruct	model_generated_plan	298	195	103	65.44
mintaka	mistral-7B-Instruct-v0.3	assistive	298	121	177	40.6
mintaka	mistral-7B-Instruct-v0.3	sequential	298	108	190	36.24
mintaka	mistral-7B-Instruct-v0.3	model_generated_plan	298	86	212	28.86
mintaka	qwen-2.5-72B-Instruct	assistive	298	170	128	57.05
mintaka	qwen-2.5-72B-Instruct	sequential	298	175	123	58.72
mintaka	qwen-2.5-72B-Instruct	model_generated_plan	298	166	132	55.7
mintaka	qwen-3-32B	assistive	298	133	165	44.63
mintaka	qwen-3-32B	sequential	298	128	170	42.95
mintaka	qwen-3-32B	model_generated_plan	298	113	185	37.92
mintaka	qwen-3-8B	assistive	298	94	204	31.54
mintaka	qwen-3-8B	sequential	298	85	213	28.52
mintaka	qwen-3-8B	model_generated_plan	298	71	227	23.83
frames	gemini-2.5-flash	assistive	291	180	111	61.9
frames	gemini-2.5-flash	sequential	291	170	121	58.4
frames	gemini-2.5-flash	model_generated_plan	293	153	140	52.2
frames	gemini-2.5-pro	assistive	293	231	62	78.8
frames	gemini-2.5-pro	sequential	292	209	83	71.6
frames	gemini-2.5-pro	model_generated_plan	293	193	100	65.9
frames	gpt-5.1	assistive	285	226	59	79.3
frames	gpt-5.1	sequential	277	193	84	69.7
frames	gpt-5.1	model_generated_plan	274	178	96	65
frames	llama-3.1-8B-Instruct	assistive	291	34	257	11.7
frames	llama-3.1-8B-Instruct	sequential	292	31	261	10.6
frames	llama-3.1-8B-Instruct	model_generated_plan	293	29	264	9.9
frames	llama-3.3-70B-Instruct	assistive	291	75	216	25.8
frames	llama-3.3-70B-Instruct	sequential	292	70	222	24
frames	llama-3.3-70B-Instruct	model_generated_plan	293	64	229	21.8
frames	mistral-7B-Instruct-v0.3	assistive	276	48	228	17.4
frames	mistral-7B-Instruct-v0.3	sequential	292	38	254	13
frames	mistral-7B-Instruct-v0.3	model_generated_plan	293	38	255	13
frames	qwen-2.5-72B-Instruct	assistive	288	64	224	22.2
frames	qwen-2.5-72B-Instruct	sequential	292	61	231	20.9
frames	qwen-2.5-72B-Instruct	model_generated_plan	293	44	249	15
frames	qwen-3-8B	assistive	288	40	248	13.9
frames	qwen-3-8B	sequential	291	29	262	10
frames	qwen-3-8B	model_generated_plan	293	33	260	11.3
frames	qwen-3-32B	assistive	293	52	241	17.7
frames	qwen-3-32B	sequential	292	37	255	12.7
frames	qwen-3-32B	model_generated_plan	293	40	253	13.7
musique	gemini-2.5-flash	assistive	282	134	148	47.5
musique	gemini-2.5-flash	sequential	282	122	160	43.3
musique	gemini-2.5-flash	model_generated_plan	282	132	150	46.8
musique	gemini-2.5-pro	assistive	282	165	117	58.5
musique	gemini-2.5-pro	sequential	281	155	126	55.2
musique	gemini-2.5-pro	model_generated_plan	282	84	198	29.8
musique	gpt-5.1	assistive	276	179	97	64.9
musique	gpt-5.1	sequential	278	166	112	59.7
musique	gpt-5.1	model_generated_plan	267	159	108	59.6
musique	llama-3.1-8B-Instruct	assistive	219	25	194	11.4
musique	llama-3.1-8B-Instruct	sequential	281	34	247	12.1
musique	llama-3.1-8B-Instruct	model_generated_plan	282	27	255	9.6
musique	llama-3.3-70B-Instruct	assistive	282	74	208	26.2
musique	llama-3.3-70B-Instruct	sequential	282	80	202	28.4
musique	llama-3.3-70B-Instruct	model_generated_plan	282	36	246	12.8
musique	mistral-7B-Instruct-v0.3	assistive	275	38	237	13.8
musique	mistral-7B-Instruct-v0.3	sequential	282	37	245	13.1
musique	mistral-7B-Instruct-v0.3	model_generated_plan	282	54	228	19.1
musique	qwen-2.5-72B-Instruct	assistive	282	82	200	29.1
musique	qwen-2.5-72B-Instruct	sequential	282	67	215	23.8
musique	qwen-2.5-72B-Instruct	model_generated_plan	282	57	225	20.2
musique	qwen-3-8B	assistive	274	35	239	12.8
musique	qwen-3-8B	sequential	282	47	235	16.7
musique	qwen-3-8B	model_generated_plan	282	48	234	17
musique	qwen-3-32B	assistive	279	54	225	19.4
musique	qwen-3-32B	sequential	281	60	221	21.4
musique	qwen-3-32B	model_generated_plan	282	65	217	23
