dataset,decomp_model,consistency_model,total,SS_count,SD_count,DS_count,DD_count,SS_rate,SD_rate,DS_rate,DD_rate,DD_both_wrong,DD_open_wrong_assistive_correct,DD_open_correct_assistive_wrong,DD_both_correct,DD_missing_label
hotpotqa,qwen-qwen3-32b,qwen-qwen3-32b,174,48,86,20,20,0.276,0.494,0.115,0.115,10,4,6,0,0
hotpotqa,qwen-qwen3-8b,qwen-qwen3-8b,182,30,96,18,38,0.165,0.527,0.099,0.209,30,3,5,0,0
mintaka,google-gemma-3-4b-it,google-gemma-3-4b-it,290,55,174,11,50,0.190,0.600,0.038,0.172,33,10,4,0,3
mintaka,meta-llama-llama-3-1-8b-instruct,meta-llama-llama-3-1-8b-instruct,288,62,113,46,67,0.215,0.392,0.160,0.233,36,22,7,0,2
mintaka,meta-llama-llama-3-3-70b-instruct,meta-llama-llama-3-3-70b-instruct,252,165,70,7,10,0.655,0.278,0.028,0.040,5,5,0,0,0
mintaka,mistralai-mistral-7b-instruct-v0-3,mistralai-mistral-7b-instruct-v0-3,265,91,105,26,43,0.343,0.396,0.098,0.162,19,11,10,0,3
mintaka,qwen-qwen2-5-72b-instruct,qwen-qwen2-5-72b-instruct,292,154,118,11,9,0.527,0.404,0.038,0.031,5,1,3,0,0
mintaka,qwen-qwen3-32b,qwen-qwen3-32b,288,123,143,5,17,0.427,0.497,0.017,0.059,7,8,2,0,0
mintaka,qwen-qwen3-8b,qwen-qwen3-8b,293,77,175,15,26,0.263,0.597,0.051,0.089,16,7,3,0,0
musique,meta-llama-llama-3-1-8b-instruct,llama-3.1-8B-Instruct,235,4,49,22,160,0.017,0.209,0.094,0.681,0,0,0,0,160
musique,meta-llama-llama-3-3-70b-instruct,llama-3.3-70B-Instruct,300,53,138,26,83,0.177,0.460,0.087,0.277,0,0,0,0,83
musique,mistralai-mistral-7b-instruct-v0-3,mistral-7B-Instruct-v0.3,292,17,78,25,172,0.058,0.267,0.086,0.589,0,0,0,0,172
musique,qwen-qwen2-5-72b-instruct,qwen-2.5-72B-Instruct,300,55,134,31,80,0.183,0.447,0.103,0.267,0,0,0,0,80
musique,qwen-qwen3-8b,qwen-3-8B,292,27,143,12,110,0.092,0.490,0.041,0.377,0,0,0,0,110
