dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc	AUROC
bamboogle	google-gemma-3-4b-it	pairwise_model_generated	28	2	9	84	0.933	0.25	0.394	0.756	0.097	0.073	0.301	0.5341
bamboogle	google-gemma-3-4b-it	self_consistency	1	0	11	111	1.0	0.009	0.018	0.992	0.09	0.089	0.098	0.5045
bamboogle	gpt-5-1	ays	7	4	100	12	0.636	0.368	0.467	0.911	0.893	0.813	0.87	0.665
bamboogle	gpt-5-1	idk	6	3	101	13	0.667	0.316	0.429	0.927	0.886	0.821	0.87	0.6435
bamboogle	gpt-5-1	pairwise_assistive	12	2	102	7	0.857	0.632	0.727	0.886	0.936	0.829	0.927	0.8062
bamboogle	gpt-5-1	pairwise_incremental	9	4	100	10	0.692	0.474	0.562	0.894	0.909	0.813	0.886	0.7176
bamboogle	gpt-5-1	pairwise_model_generated	10	10	94	9	0.5	0.526	0.513	0.837	0.913	0.764	0.846	0.7151
bamboogle	meta-llama-llama-3-1-8b-instruct	ays	48	4	23	48	0.923	0.5	0.649	0.577	0.324	0.187	0.577	0.6759
bamboogle	meta-llama-llama-3-1-8b-instruct	idk	5	1	25	92	0.833	0.052	0.097	0.951	0.214	0.203	0.244	0.5065
bamboogle	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	81	6	20	16	0.931	0.835	0.88	0.293	0.556	0.163	0.821	0.8021
bamboogle	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	67	5	21	30	0.931	0.691	0.793	0.415	0.412	0.171	0.715	0.7492
bamboogle	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	72	9	17	25	0.889	0.742	0.809	0.341	0.405	0.138	0.724	0.6981
bamboogle	meta-llama-llama-3-1-8b-instruct	self_consistency	7	0	26	90	1.0	0.072	0.135	0.943	0.224	0.211	0.268	0.5361
bamboogle	meta-llama-llama-3-3-70b-instruct	ays	25	6	50	42	0.806	0.373	0.51	0.748	0.543	0.407	0.61	0.633
bamboogle	meta-llama-llama-3-3-70b-instruct	idk	24	9	47	43	0.727	0.358	0.48	0.732	0.522	0.382	0.577	0.5987
bamboogle	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	60	4	52	7	0.938	0.896	0.916	0.48	0.881	0.423	0.911	0.912
bamboogle	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	54	7	49	13	0.885	0.806	0.844	0.504	0.79	0.398	0.837	0.8405
bamboogle	meta-llama-llama-3-3-70b-instruct	pairwise_model_generated	61	12	44	6	0.836	0.91	0.871	0.407	0.88	0.358	0.854	0.8481
bamboogle	meta-llama-llama-3-3-70b-instruct	self_consistency	1	0	56	66	1.0	0.015	0.029	0.992	0.459	0.455	0.463	0.5075
bamboogle	mistralai-mistral-7b-instruct-v0-3	ays	39	2	17	65	0.951	0.375	0.538	0.667	0.207	0.138	0.455	0.6349
bamboogle	mistralai-mistral-7b-instruct-v0-3	idk	23	2	17	81	0.92	0.221	0.357	0.797	0.173	0.138	0.325	0.5579
bamboogle	mistralai-mistral-7b-instruct-v0-3	pairwise_assistive	45	3	16	59	0.938	0.433	0.592	0.61	0.213	0.13	0.496	0.6374
bamboogle	mistralai-mistral-7b-instruct-v0-3	pairwise_incremental	42	4	15	62	0.913	0.404	0.56	0.626	0.195	0.122	0.463	0.5967
bamboogle	mistralai-mistral-7b-instruct-v0-3	pairwise_model_generated	33	4	15	71	0.892	0.317	0.468	0.699	0.174	0.122	0.39	0.5534
bamboogle	mistralai-mistral-7b-instruct-v0-3	self_consistency	15	1	18	89	0.938	0.144	0.25	0.87	0.168	0.146	0.268	0.5458
bamboogle	qwen-qwen2-5-72b-instruct	ays	53	8	31	31	0.869	0.631	0.731	0.504	0.5	0.252	0.683	0.7129
bamboogle	qwen-qwen2-5-72b-instruct	idk	73	20	19	11	0.785	0.869	0.825	0.244	0.633	0.154	0.748	0.6781
bamboogle	qwen-qwen2-5-72b-instruct	pairwise_assistive	69	4	35	15	0.945	0.821	0.879	0.407	0.7	0.285	0.846	0.8594
bamboogle	qwen-qwen2-5-72b-instruct	pairwise_incremental	61	2	37	23	0.968	0.726	0.83	0.488	0.617	0.301	0.797	0.8375
bamboogle	qwen-qwen2-5-72b-instruct	pairwise_model_generated	70	8	31	14	0.897	0.833	0.864	0.366	0.689	0.252	0.821	0.8141
bamboogle	qwen-qwen2-5-72b-instruct	self_consistency	15	2	37	69	0.882	0.179	0.297	0.862	0.349	0.301	0.423	0.5636
bamboogle	qwen-qwen3-32b	ays	56	6	17	44	0.903	0.56	0.691	0.496	0.279	0.138	0.593	0.6496
bamboogle	qwen-qwen3-32b	idk	15	1	22	85	0.938	0.15	0.259	0.87	0.206	0.179	0.301	0.5533
bamboogle	qwen-qwen3-32b	pairwise_assistive	89	5	18	11	0.947	0.89	0.918	0.236	0.621	0.146	0.87	0.8363
bamboogle	qwen-qwen3-32b	pairwise_incremental	89	6	17	11	0.937	0.89	0.913	0.228	0.607	0.138	0.862	0.8146
bamboogle	qwen-qwen3-32b	pairwise_model_generated	92	11	12	8	0.893	0.92	0.906	0.163	0.6	0.098	0.846	0.7209
bamboogle	qwen-qwen3-8b	ays	64	4	11	44	0.941	0.593	0.727	0.447	0.2	0.089	0.61	0.663
bamboogle	qwen-qwen3-8b	idk	47	3	12	61	0.94	0.435	0.595	0.593	0.164	0.098	0.48	0.6176
bamboogle	qwen-qwen3-8b	pairwise_assistive	97	4	11	11	0.96	0.898	0.928	0.179	0.5	0.089	0.878	0.8157
bamboogle	qwen-qwen3-8b	pairwise_incremental	72	1	14	36	0.986	0.667	0.796	0.407	0.28	0.114	0.699	0.8
bamboogle	qwen-qwen3-8b	pairwise_model_generated	96	2	13	12	0.98	0.889	0.932	0.203	0.52	0.106	0.886	0.8778
bamboogle	qwen-qwen3-8b	self_consistency	11	1	14	97	0.917	0.102	0.183	0.902	0.126	0.114	0.203	0.5176
crag	google-gemini-2-5-flash	ays	39	7	94	19	0.848	0.672	0.75	0.711	0.832	0.591	0.836	0.8016
crag	google-gemini-2-5-flash	ic_idk	16	9	92	42	0.64	0.276	0.386	0.843	0.687	0.579	0.679	0.5934
crag	google-gemini-2-5-flash	pairwise_assistive	33	10	94	25	0.767	0.569	0.653	0.735	0.79	0.58	0.784	0.7364
crag	google-gemini-2-5-flash	pairwise_incremental	33	12	92	25	0.733	0.569	0.641	0.722	0.786	0.568	0.772	0.7268
crag	google-gemini-2-5-flash	pairwise_model_generated	29	17	87	29	0.63	0.5	0.558	0.716	0.75	0.537	0.716	0.6683
crag	google-gemini-2-5-flash	self_consistency	2	2	14	2	0.5	0.5	0.5	0.8	0.875	0.7	0.8	0.6875
crag	google-gemini-2-5-pro	ays	32	8	94	25	0.8	0.561	0.66	0.748	0.79	0.591	0.792	0.7415
crag	google-gemini-2-5-pro	ic_idk	17	5	97	40	0.773	0.298	0.43	0.862	0.708	0.61	0.717	0.6246
crag	google-gemini-2-5-pro	pairwise_assistive	19	8	97	38	0.704	0.333	0.452	0.833	0.719	0.599	0.716	0.6286
crag	google-gemini-2-5-pro	pairwise_incremental	17	9	96	40	0.654	0.298	0.41	0.84	0.706	0.593	0.698	0.6063
crag	google-gemini-2-5-pro	pairwise_model_generated	16	17	88	41	0.485	0.281	0.356	0.796	0.682	0.543	0.642	0.5594
crag	google-gemini-2-5-pro	self_consistency	1	0	14	5	1.0	0.167	0.286	0.95	0.737	0.7	0.75	0.5833
crag	google-gemma-3-4b-it	ays	49	3	25	82	0.942	0.374	0.536	0.673	0.234	0.157	0.465	0.6335
crag	google-gemma-3-4b-it	ic_idk	30	3	25	101	0.909	0.229	0.366	0.792	0.198	0.157	0.346	0.5609
crag	google-gemma-3-4b-it	pairwise_assistive	100	14	15	33	0.877	0.752	0.81	0.296	0.312	0.093	0.71	0.6346
crag	google-gemma-3-4b-it	pairwise_incremental	107	16	13	26	0.87	0.805	0.836	0.241	0.333	0.08	0.741	0.6264
crag	google-gemma-3-4b-it	pairwise_model_generated	109	19	10	24	0.852	0.82	0.835	0.21	0.294	0.062	0.735	0.5822
crag	google-gemma-3-4b-it	self_consistency	0	0	2	18	0.0	0.0	0.0	1.0	0.1	0.1	0.1	0.5
crag	gpt-5-1	ays	33	11	92	23	0.75	0.589	0.66	0.723	0.8	0.579	0.786	0.7412
crag	gpt-5-1	ic_idk	29	12	91	27	0.707	0.518	0.598	0.742	0.771	0.572	0.755	0.7007
crag	gpt-5-1	idk	2	0	14	4	1.0	0.333	0.5	0.9	0.778	0.7	0.8	0.6667
crag	gpt-5-1	pairwise_assistive	2	0	14	4	1.0	0.333	0.5	0.9	0.778	0.7	0.8	0.6667
crag	gpt-5-1	pairwise_incremental	2	0	14	4	1.0	0.333	0.5	0.9	0.778	0.7	0.8	0.6667
crag	gpt-5-1	pairwise_model_generated	3	3	11	3	0.5	0.5	0.5	0.7	0.786	0.55	0.7	0.6429
crag	meta-llama-llama-3-1-8b-instruct	ays	62	10	34	53	0.861	0.539	0.663	0.547	0.391	0.214	0.604	0.6559
crag	meta-llama-llama-3-1-8b-instruct	ic_idk	29	3	41	86	0.906	0.252	0.395	0.799	0.323	0.258	0.44	0.592
crag	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	98	14	31	19	0.875	0.838	0.856	0.309	0.62	0.191	0.796	0.7632
crag	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	102	13	32	15	0.887	0.872	0.879	0.29	0.681	0.198	0.827	0.7915
crag	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	99	21	24	18	0.825	0.846	0.835	0.259	0.571	0.148	0.759	0.6897
crag	meta-llama-llama-3-1-8b-instruct	self_consistency	1	0	7	12	1.0	0.077	0.143	0.95	0.368	0.35	0.4	0.5385
crag	meta-llama-llama-3-3-70b-instruct	ays	36	8	59	56	0.818	0.391	0.529	0.723	0.513	0.371	0.597	0.636
crag	meta-llama-llama-3-3-70b-instruct	ic_idk	75	32	35	17	0.701	0.815	0.754	0.327	0.673	0.22	0.692	0.6688
crag	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	61	16	52	33	0.792	0.649	0.713	0.525	0.612	0.321	0.698	0.7068
crag	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	61	9	59	33	0.871	0.649	0.744	0.568	0.641	0.364	0.741	0.7583
crag	meta-llama-llama-3-3-70b-instruct	pairwise_model_generated	71	13	55	23	0.845	0.755	0.798	0.481	0.705	0.34	0.778	0.7821
crag	meta-llama-llama-3-3-70b-instruct	self_consistency	1	0	8	11	1.0	0.083	0.154	0.95	0.421	0.4	0.45	0.5417
crag	mistralai-mistral-7b-instruct-v0-3	ays	24	2	38	95	0.923	0.202	0.331	0.836	0.286	0.239	0.39	0.5758
crag	mistralai-mistral-7b-instruct-v0-3	ic_idk	61	7	33	58	0.897	0.513	0.652	0.572	0.363	0.208	0.591	0.6688
crag	mistralai-mistral-7b-instruct-v0-3	pairwise_assistive	98	13	28	23	0.883	0.81	0.845	0.315	0.549	0.173	0.778	0.7464
crag	mistralai-mistral-7b-instruct-v0-3	pairwise_incremental	103	16	25	18	0.866	0.851	0.858	0.265	0.581	0.154	0.79	0.7305
crag	mistralai-mistral-7b-instruct-v0-3	pairwise_model_generated	97	23	18	24	0.808	0.802	0.805	0.259	0.429	0.111	0.71	0.6203
crag	mistralai-mistral-7b-instruct-v0-3	self_consistency	3	0	6	11	1.0	0.214	0.353	0.85	0.353	0.3	0.45	0.6071
crag	qwen-qwen2-5-72b-instruct	ays	78	8	43	30	0.907	0.722	0.804	0.459	0.589	0.27	0.761	0.7827
crag	qwen-qwen2-5-72b-instruct	ic_idk	51	10	41	57	0.836	0.472	0.604	0.616	0.418	0.258	0.579	0.6381
crag	qwen-qwen2-5-72b-instruct	pairwise_assistive	91	9	43	19	0.91	0.827	0.867	0.383	0.694	0.265	0.827	0.8271
crag	qwen-qwen2-5-72b-instruct	pairwise_incremental	89	10	42	21	0.899	0.809	0.852	0.389	0.667	0.259	0.809	0.8084
crag	qwen-qwen2-5-72b-instruct	pairwise_model_generated	93	9	43	17	0.912	0.845	0.877	0.37	0.717	0.265	0.84	0.8362
crag	qwen-qwen2-5-72b-instruct	self_consistency	5	0	6	9	1.0	0.357	0.526	0.75	0.4	0.3	0.55	0.6786
crag	qwen-qwen3-32b	ays	71	8	35	46	0.899	0.607	0.724	0.506	0.432	0.219	0.662	0.7104
crag	qwen-qwen3-32b	ic_idk	38	6	34	82	0.864	0.317	0.463	0.725	0.293	0.212	0.45	0.5833
crag	qwen-qwen3-32b	pairwise_assistive	103	13	31	15	0.888	0.873	0.88	0.284	0.674	0.191	0.827	0.7887
crag	qwen-qwen3-32b	pairwise_incremental	102	12	32	16	0.895	0.864	0.879	0.296	0.667	0.198	0.827	0.7958
crag	qwen-qwen3-32b	pairwise_model_generated	101	18	26	17	0.849	0.856	0.852	0.265	0.605	0.16	0.784	0.7234
crag	qwen-qwen3-32b	self_consistency	2	0	8	8	1.0	0.2	0.333	0.889	0.5	0.444	0.556	0.6
crag	qwen-qwen3-8b	ays	82	9	22	46	0.901	0.641	0.749	0.428	0.324	0.138	0.654	0.6752
crag	qwen-qwen3-8b	ic_idk	87	14	17	41	0.861	0.68	0.76	0.365	0.293	0.107	0.654	0.614
crag	qwen-qwen3-8b	pairwise_assistive	116	14	18	14	0.892	0.892	0.892	0.198	0.562	0.111	0.827	0.7274
crag	qwen-qwen3-8b	pairwise_incremental	116	14	18	14	0.892	0.892	0.892	0.198	0.562	0.111	0.827	0.7274
crag	qwen-qwen3-8b	pairwise_model_generated	111	24	8	19	0.822	0.854	0.838	0.167	0.296	0.049	0.735	0.5519
crag	qwen-qwen3-8b	self_consistency	6	0	3	11	1.0	0.353	0.522	0.7	0.214	0.15	0.45	0.6765
frames	google-gemini-2-5-flash	ays	56	26	154	57	0.683	0.496	0.574	0.72	0.73	0.526	0.717	0.6756
frames	google-gemini-2-5-flash	IC-IDK	14	6	174	99	0.7	0.124	0.211	0.932	0.637	0.594	0.642	0.5453
frames	google-gemini-2-5-flash	pairwise_assistive	80	31	147	33	0.721	0.708	0.714	0.619	0.817	0.505	0.78	0.7669
frames	google-gemini-2-5-flash	pairwise_incremental	83	38	141	29	0.686	0.741	0.712	0.584	0.829	0.485	0.77	0.7644
frames	google-gemini-2-5-flash	pairwise_model_generated	78	62	118	35	0.557	0.69	0.617	0.522	0.771	0.403	0.669	0.6729
frames	google-gemini-2-5-flash	self_consistency	55	10	170	58	0.846	0.487	0.618	0.778	0.746	0.58	0.768	0.7156
frames	gemini-2.5-pro	ays	18	15	195	65	0.545	0.217	0.31	0.887	0.75	0.666	0.727	0.5727
frames	gemini-2.5-pro	IC-IDK	4	2	208	79	0.667	0.048	0.09	0.98	0.725	0.71	0.724	0.5193
frames	gemini-2.5-pro	pairwise_assistive	43	19	191	40	0.694	0.518	0.593	0.788	0.827	0.652	0.799	0.7138
frames	gemini-2.5-pro	pairwise_incremental	48	35	174	35	0.578	0.578	0.578	0.716	0.833	0.596	0.76	0.7054
frames	gemini-2.5-pro	pairwise_model_generated	52	48	162	31	0.52	0.627	0.568	0.659	0.839	0.553	0.73	0.699
frames	gemini-2.5-pro	self_consistency	28	3	207	55	0.903	0.337	0.491	0.894	0.79	0.706	0.802	0.6615
frames	gpt-5.1	ays	32	18	194	44	0.64	0.421	0.508	0.826	0.815	0.674	0.785	0.6681
frames	gpt-5.1	IC-IDK	11	4	207	67	0.733	0.141	0.237	0.948	0.755	0.716	0.754	0.561
frames	gpt-5.1	pairwise_assistive	39	20	190	36	0.661	0.52	0.582	0.793	0.841	0.667	0.804	0.7124
frames	gpt-5.1	pairwise_incremental	52	32	171	22	0.619	0.703	0.658	0.697	0.886	0.617	0.805	0.7725
frames	gpt-5.1	pairwise_model_generated	47	49	156	22	0.49	0.681	0.57	0.65	0.876	0.569	0.741	0.7211
frames	gpt-5.1	self_consistency	10	1	211	71	0.909	0.123	0.217	0.962	0.748	0.72	0.754	0.5594
frames	meta-llama-llama-3-1-8b-instruct	ays	108	3	23	159	0.973	0.404	0.571	0.621	0.126	0.078	0.447	0.6446
frames	meta-llama-llama-3-1-8b-instruct	IC-IDK	31	1	25	236	0.969	0.116	0.207	0.891	0.096	0.085	0.191	0.5388
frames	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	245	12	12	22	0.953	0.918	0.935	0.117	0.353	0.041	0.883	0.7088
frames	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	246	15	11	20	0.943	0.925	0.934	0.106	0.355	0.038	0.88	0.6739
frames	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	244	20	6	23	0.924	0.914	0.919	0.099	0.207	0.02	0.853	0.5723
frames	meta-llama-llama-3-1-8b-instruct	self_consistency	12	0	26	255	1.0	0.045	0.086	0.959	0.093	0.089	0.13	0.5225
frames	meta-llama-llama-3-3-70b-instruct	ays	131	19	59	84	0.873	0.609	0.718	0.488	0.413	0.201	0.648	0.6829
frames	meta-llama-llama-3-3-70b-instruct	IC-IDK	15	1	77	200	0.938	0.07	0.13	0.945	0.278	0.263	0.314	0.5285
frames	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	190	26	52	23	0.88	0.892	0.886	0.258	0.693	0.179	0.832	0.7793
frames	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	194	28	50	20	0.874	0.907	0.89	0.24	0.714	0.171	0.836	0.7738
frames	meta-llama-llama-3-3-70b-instruct	pairwise_model_generated	190	39	39	25	0.83	0.884	0.856	0.218	0.609	0.133	0.782	0.6919
frames	meta-llama-llama-3-3-70b-instruct	self_consistency	15	0	78	200	1.0	0.07	0.13	0.949	0.281	0.266	0.317	0.5349
frames	mistralai-mistral-7b-instruct-v0-3	ays	106	10	25	152	0.914	0.411	0.567	0.604	0.141	0.085	0.447	0.5626
frames	mistralai-mistral-7b-instruct-v0-3	IC-IDK	95	4	31	163	0.96	0.368	0.532	0.662	0.16	0.106	0.43	0.627
frames	mistralai-mistral-7b-instruct-v0-3	pairwise_assistive	212	16	17	31	0.93	0.872	0.9	0.174	0.354	0.062	0.83	0.6938
frames	mistralai-mistral-7b-instruct-v0-3	pairwise_incremental	231	23	12	26	0.909	0.899	0.904	0.13	0.316	0.041	0.832	0.6208
frames	mistralai-mistral-7b-instruct-v0-3	pairwise_model_generated	229	26	9	29	0.898	0.888	0.893	0.13	0.237	0.031	0.812	0.5724
frames	mistralai-mistral-7b-instruct-v0-3	self_consistency	15	0	35	243	1.0	0.058	0.11	0.949	0.126	0.119	0.171	0.5291
frames	qwen-qwen2-5-72b-instruct	ays	179	18	33	63	0.909	0.74	0.815	0.328	0.344	0.113	0.724	0.6934
frames	qwen-qwen2-5-72b-instruct	IC-IDK	61	2	49	181	0.968	0.252	0.4	0.785	0.213	0.167	0.375	0.6064
frames	qwen-qwen2-5-72b-instruct	pairwise_assistive	204	20	29	35	0.911	0.854	0.881	0.222	0.453	0.101	0.809	0.7227
frames	qwen-qwen2-5-72b-instruct	pairwise_incremental	215	16	35	26	0.931	0.892	0.911	0.209	0.574	0.12	0.856	0.7892
frames	qwen-qwen2-5-72b-instruct	pairwise_model_generated	223	26	25	19	0.896	0.921	0.908	0.15	0.568	0.085	0.846	0.7058
frames	qwen-qwen2-5-72b-instruct	self_consistency	56	6	45	186	0.903	0.231	0.368	0.788	0.195	0.154	0.345	0.5569
frames	qwen-qwen3-8b	ays	216	14	20	43	0.939	0.834	0.883	0.215	0.317	0.068	0.805	0.7111
frames	qwen-qwen3-8b	IC-IDK	75	5	29	184	0.938	0.29	0.442	0.727	0.136	0.099	0.355	0.5713
frames	qwen-qwen3-8b	pairwise_assistive	233	15	19	21	0.94	0.917	0.928	0.139	0.475	0.066	0.875	0.7381
frames	qwen-qwen3-8b	pairwise_incremental	245	17	17	12	0.935	0.953	0.944	0.1	0.586	0.058	0.9	0.7267
frames	qwen-qwen3-8b	pairwise_model_generated	234	26	8	25	0.9	0.903	0.902	0.113	0.242	0.027	0.826	0.5694
frames	qwen-qwen3-8b	self_consistency	98	4	30	161	0.961	0.378	0.543	0.652	0.157	0.102	0.437	0.6304
frames	qwen-qwen3-32b	ays	185	13	29	66	0.934	0.737	0.824	0.324	0.305	0.099	0.73	0.7138
frames	qwen-qwen3-32b	IC-IDK	24	2	40	227	0.923	0.096	0.173	0.911	0.15	0.137	0.218	0.524
frames	qwen-qwen3-32b	pairwise_assistive	223	18	24	28	0.925	0.888	0.907	0.177	0.462	0.082	0.843	0.7299
frames	qwen-qwen3-32b	pairwise_incremental	234	21	21	16	0.918	0.936	0.927	0.127	0.568	0.072	0.873	0.718
frames	qwen-qwen3-32b	pairwise_model_generated	227	26	16	24	0.897	0.904	0.901	0.137	0.4	0.055	0.829	0.6427
frames	qwen-qwen3-32b	self_consistency	112	3	39	139	0.974	0.446	0.612	0.608	0.219	0.133	0.515	0.6874
hotpotqa	google-gemini-2-5-flash	ays	33	12	150	79	0.733	0.295	0.42	0.836	0.655	0.547	0.668	0.6103
hotpotqa	google-gemini-2-5-flash	ic_idk	26	4	158	86	0.867	0.232	0.366	0.891	0.648	0.577	0.672	0.6037
hotpotqa	google-gemini-2-5-flash	pairwise_assistive	72	25	137	40	0.742	0.643	0.689	0.646	0.774	0.5	0.763	0.7443
hotpotqa	google-gemini-2-5-flash	pairwise_incremental	79	40	122	33	0.664	0.705	0.684	0.566	0.787	0.445	0.734	0.7292
hotpotqa	google-gemini-2-5-flash	pairwise_model_generated	71	48	114	41	0.597	0.634	0.615	0.566	0.735	0.416	0.675	0.6688
hotpotqa	google-gemini-2-5-flash	self_consistency	35	8	104	38	0.814	0.479	0.603	0.768	0.732	0.562	0.751	0.704
hotpotqa	google-gemini-2-5-pro	ays	20	7	173	72	0.741	0.217	0.336	0.901	0.706	0.636	0.71	0.5893
hotpotqa	google-gemini-2-5-pro	ic_idk	18	3	177	74	0.857	0.196	0.319	0.923	0.705	0.651	0.717	0.5895
hotpotqa	google-gemini-2-5-pro	pairwise_assistive	61	14	168	31	0.813	0.663	0.731	0.726	0.844	0.613	0.836	0.7931
hotpotqa	google-gemini-2-5-pro	pairwise_incremental	54	21	161	38	0.72	0.587	0.647	0.726	0.809	0.588	0.785	0.7358
hotpotqa	google-gemini-2-5-pro	pairwise_model_generated	65	62	120	27	0.512	0.707	0.594	0.536	0.816	0.438	0.675	0.6829
hotpotqa	google-gemini-2-5-pro	self_consistency	20	4	118	43	0.833	0.317	0.46	0.87	0.733	0.638	0.746	0.6423
hotpotqa	google-gemma-3-4b-it	ays	64	5	38	167	0.928	0.277	0.427	0.748	0.185	0.139	0.372	0.5804
hotpotqa	google-gemma-3-4b-it	ic_idk	32	1	43	198	0.97	0.139	0.243	0.88	0.178	0.157	0.274	0.5582
hotpotqa	google-gemma-3-4b-it	pairwise_assistive	111	10	33	120	0.917	0.481	0.631	0.558	0.216	0.12	0.526	0.624
hotpotqa	google-gemma-3-4b-it	pairwise_incremental	102	9	34	129	0.919	0.442	0.596	0.595	0.209	0.124	0.496	0.6161
hotpotqa	google-gemma-3-4b-it	pairwise_model_generated	127	14	29	104	0.901	0.55	0.683	0.485	0.218	0.106	0.569	0.6121
hotpotqa	google-gemma-3-4b-it	self_consistency	1	0	30	154	1.0	0.006	0.013	0.995	0.163	0.162	0.168	0.5032
hotpotqa	gpt-5-1	ays	26	4	198	46	0.867	0.361	0.51	0.891	0.811	0.723	0.818	0.6707
hotpotqa	gpt-5-1	ic_idk	34	12	190	38	0.739	0.472	0.576	0.832	0.833	0.693	0.818	0.7064
hotpotqa	gpt-5-1	pairwise_assistive	33	11	122	19	0.75	0.635	0.688	0.762	0.865	0.659	0.838	0.776
hotpotqa	gpt-5-1	pairwise_incremental	31	8	125	21	0.795	0.596	0.681	0.789	0.856	0.676	0.843	0.768
hotpotqa	gpt-5-1	pairwise_model_generated	33	18	115	19	0.647	0.635	0.641	0.724	0.858	0.622	0.8	0.7496
hotpotqa	meta-llama-llama-3-1-8b-instruct	ays	108	14	54	98	0.885	0.524	0.659	0.555	0.355	0.197	0.591	0.6592
hotpotqa	meta-llama-llama-3-1-8b-instruct	ic_idk	4	0	70	200	1.0	0.02	0.038	0.985	0.259	0.255	0.27	0.5098
hotpotqa	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	159	16	52	47	0.909	0.772	0.835	0.361	0.525	0.19	0.77	0.7683
hotpotqa	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	160	21	47	46	0.884	0.777	0.827	0.339	0.505	0.172	0.755	0.7339
hotpotqa	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	170	36	32	36	0.825	0.825	0.825	0.248	0.471	0.117	0.737	0.6479
hotpotqa	meta-llama-llama-3-1-8b-instruct	self_consistency	9	0	49	127	1.0	0.066	0.124	0.951	0.278	0.265	0.314	0.5331
hotpotqa	meta-llama-llama-3-3-70b-instruct	ays	64	17	94	98	0.79	0.395	0.527	0.703	0.49	0.344	0.579	0.621
hotpotqa	meta-llama-llama-3-3-70b-instruct	ic_idk	115	32	79	47	0.782	0.71	0.744	0.462	0.627	0.289	0.711	0.7108
hotpotqa	meta-llama-llama-3-3-70b-instruct	pairwise_assistive	137	25	86	26	0.846	0.84	0.843	0.409	0.768	0.314	0.814	0.8076
hotpotqa	meta-llama-llama-3-3-70b-instruct	pairwise_incremental	130	26	85	33	0.833	0.798	0.815	0.431	0.72	0.31	0.785	0.7817
