model,dataset,id,question,assistive_answer,open_answer,gold_answer,assistive_correct,open_correct,assistive_intermediate_questions,assistive_intermediate_answers,assistive_dsl,assistive_raw_response,open_raw_response,equivalence_reasoning,equivalence_raw_response,label_cause,label_notes
google-gemini-2-5-pro,crag,551d685a-1536-4c51-87f5-a73dc1f8b3c5,how long is the longest river in alabama?,1049 km,512.6 km,"the longest river that flows through alabama, the tennessee river, is 652 miles long.",1,0,"[""What is the longest river in Alabama?"", ""How long is {answer_1}?""]","{""answer_1"": ""Tennessee River"", ""answer_2"": ""1049 km""}","answer_1: str = qa_model(""What is the longest river in Alabama?"")
answer_2: str = qa_model(""How long is {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Tennessee River"",
  ""answer_2"": ""1049 km""
}
```",512.6 km,The numeric values 1049 km and 512.6 km are significantly different and fall outside the 1% tolerance for numeric expressions.,"equivalent: 0
reasoning: The numeric values 1049 km and 512.6 km are significantly different and fall outside the 1% tolerance for numeric expressions.",,
google-gemini-2-5-pro,crag,7d02db15-45be-4168-99da-a5e0a48fbd9e,what is the top artist in the most popular music genre in 2015?,Drake,Taylor Swift,taylor swift was the top artist in pop in 2015.,0,1,"[""What was the most popular music genre in 2015?"", ""Who was the top artist in the {answer_1} genre in 2015?""]","{""answer_1"": ""Hip-Hop/R&B"", ""answer_2"": ""Drake""}","answer_1: str = qa_model(""What was the most popular music genre in 2015?"")
answer_2: str = qa_model(""Who was the top artist in the {answer_1} genre in 2015?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Hip-Hop/R&B"",
  ""answer_2"": ""Drake""
}
```",Taylor Swift,"The answers provide different artists (Drake vs. Taylor Swift) for the same question, which are distinct facts.","equivalent: 0
reasoning: The answers provide different artists (Drake vs. Taylor Swift) for the same question, which are distinct facts.",,
google-gemini-2-5-pro,crag,8f44d279-42b0-490f-ab04-24dd1a7a47f5,what was henry rollins's age when he/she made an appearance in henry rollins: henry rollins goes to london?,34,43,33,1,0,"[""When was Henry Rollins born?"", ""When was 'Henry Rollins: Henry Rollins Goes to London' released?"", ""How old was Henry Rollins, born on {answer_1}, when 'Henry Rollins: Henry Rollins Goes to London' was released on {answer_2}?""]","{""answer_1"": ""1961-02-13"", ""answer_2"": ""1995"", ""answer_3"": ""34""}","answer_1: str = qa_model(""When was Henry Rollins born?"")
answer_2: str = qa_model(""When was 'Henry Rollins: Henry Rollins Goes to London' released?"")
answer_3: str = qa_model(""How old was Henry Rollins, born on {answer_1}, when 'Henry Rollins: Henry Rollins Goes to London' was released on {answer_2}?"", answer_1=answer_1, answer_2=answer_2)","```json
{
  ""answer_1"": ""1961-02-13"",
  ""answer_2"": ""1995"",
  ""answer_3"": ""34""
}
```",43,The numerical values 34 and 43 are significantly different and do not fall within the allowed numeric tolerance.,"equivalent: 0
reasoning: The numerical values 34 and 43 are significantly different and do not fall within the allowed numeric tolerance.",,
google-gemini-2-5-pro,crag,cdc413a0-1cb3-4100-b841-71ef9224808f,at what age was lorne michaels when he produced his first film?,"{'answer_1': 'Gilda Live', 'answer_2': '35'}",34,he was 35,1,0,"[""What was the first film produced by Lorne Michaels?"", ""How old was Lorne Michaels when '{answer_1}' was released?""]","{""intermediate_answers"": {""answer_1"": ""Gilda Live"", ""answer_2"": ""35""}}","answer_1: str = qa_model(""What was the first film produced by Lorne Michaels?"")
answer_2: str = qa_model(""How old was Lorne Michaels when '{answer_1}' was released?"", answer_1=answer_1)","```json
{
  ""intermediate_answers"": {
    ""answer_1"": ""Gilda Live"",
    ""answer_2"": ""35""
  }
}
```",34,The numeric values 35 and 34 differ by more than the allowed tolerance of 0.5.,"equivalent: 0
reasoning: The numeric values 35 and 34 differ by more than the allowed tolerance of 0.5.",,
google-gemini-2-5-pro,crag,cfc875b9-4cac-456b-a7a8-df23c9dab754,who was the first actress and what year to play the role of catwoman in a live-action movie?,1966,Lee Meriwether; 1966,"lee meriwether was the first actress to play the role of catwoman in a live-action movie, in the 1966 film batman.",1,1,"[""Who was the first actress to play Catwoman in a live-action movie?"", ""In what year was the first live-action movie starring {answer_1} as Catwoman released?""]","{""answer_1"": ""Lee Meriwether"", ""answer_2"": ""1966""}","answer_1: str = qa_model(""Who was the first actress to play Catwoman in a live-action movie?"")
answer_2: str = qa_model(""In what year was the first live-action movie starring {answer_1} as Catwoman released?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Lee Meriwether"",
  ""answer_2"": ""1966""
}
```",Lee Meriwether; 1966,"Answer A is incomplete as it only provides the year, while the question asks for both the actress and the year. Answer B provides both requested facts.","equivalent: 0
reasoning: Answer A is incomplete as it only provides the year, while the question asks for both the actress and the year. Answer B provides both requested facts.",,
google-gemini-2-5-pro,crag,e042412e-c4f6-4a2e-b8c2-e550cbb3a144,who was the first actress to play the role of a female assassin in a live-action movie?,Anne Parillaud,Musidora,"meiko kaji was the first actress to play the role of a female assassin in a live-action movie, in her portrayal of yuki kashima in the 1973 film lady snowblood.",0,0,"[""What was the first live-action movie to feature a female assassin?"", ""Who played the female assassin in {answer_1}?""]","{""answer_1"": ""La Femme Nikita"", ""answer_2"": ""Anne Parillaud""}","answer_1: str = qa_model(""What was the first live-action movie to feature a female assassin?"")
answer_2: str = qa_model(""Who played the female assassin in {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""La Femme Nikita"",
  ""answer_2"": ""Anne Parillaud""
}
```",Musidora,"The answers refer to two different actresses, Musidora (active in the 1910s) and Anne Parillaud (active from the 1970s), who played different roles in different eras. They cannot both be the ""first"" actress for the specified role.","equivalent: 0
reasoning: The answers refer to two different actresses, Musidora (active in the 1910s) and Anne Parillaud (active from the 1970s), who played different roles in different eras. They cannot both be the ""first"" actress for the specified role.",,
google-gemini-2-5-pro,crag,e06676aa-efc3-4763-b196-e105596cc643,can you tell me what other songs the same artist released in the same year as my time?,On; Black Swan; Dynamite; Life Goes On,miss you; i'll fall; friends; every day; money won't pay; be okay; winter valentine; sometimes; pale machine; if,"throw it in the bag, ""everything, everyday, every where""",0,0,"[""Who is the artist of the song 'my time'?"", ""When was the song 'my time' released?"", ""What other songs did {answer_1} release in {answer_2}?""]","{""answer_1"": ""BTS"", ""answer_2"": ""2020-02-21"", ""answer_3"": ""On; Black Swan; Dynamite; Life Goes On""}","answer_1: str = qa_model(""Who is the artist of the song 'my time'?"")
answer_2: str = qa_model(""When was the song 'my time' released?"")
answer_3: str = qa_model(""What other songs did {answer_1} release in {answer_2}?"", answer_1=answer_1, answer_2=answer_2)","```json
{
  ""answer_1"": ""BTS"",
  ""answer_2"": ""2020-02-21"",
  ""answer_3"": ""On; Black Swan; Dynamite; Life Goes On""
}
```",miss you; i'll fall; friends; every day; money won't pay; be okay; winter valentine; sometimes; pale machine; if,The two answers provide completely different lists of songs.,"equivalent: 0
reasoning: The two answers provide completely different lists of songs.",,
google-gemini-2-5-pro,hotpotqa,5a76059155429976ec32bce6,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",Mall del Norte,La Plaza Mall,La Plaza Mall,0,1,"[""What is the size of Mall del Norte?"", ""What is the size of La Plaza Mall?"", ""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?""]","{""answer_1"": ""1,212,515 sq ft"", ""answer_2"": ""1,200,000 sq ft"", ""answer_3"": ""Mall del Norte""}","answer_1: str = qa_model(""What is the size of Mall del Norte?"")
answer_2: str = qa_model(""What is the size of La Plaza Mall?"")
answer_3: str = qa_model(""Which is larger, Mall del Norte at {answer_1} or La Plaza Mall at {answer_2}?"", answer_1=answer_1, answer_2=answer_2)","```json
{
  ""answer_1"": ""1,212,515 sq ft"",
  ""answer_2"": ""1,200,000 sq ft"",
  ""answer_3"": ""Mall del Norte""
}
```","answer:
La Plaza Mall",The answers contradict each other regarding which mall is the largest.,"equivalent: 0
reasoning: The answers contradict each other regarding which mall is the largest.",,
google-gemini-2-5-pro,hotpotqa,5a760f6855429976ec32bcf9,What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,Target,Amazon,Target Corporation,1,0,"[""Who was the 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?"", ""Which retailer, the second-largest in the United States, has a commercial featuring {answer_1}?""]","{""answer_1"": ""Taylor Swift"", ""answer_2"": ""Target""}","answer_1: str = qa_model(""Who was the 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?"")
answer_2: str = qa_model(""Which retailer, the second-largest in the United States, has a commercial featuring {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Taylor Swift"",
  ""answer_2"": ""Target""
}
```",Amazon,"The answers contradict each other. Amazon is generally considered the second-largest retailer in the US, not Target.","equivalent: 0
reasoning: The answers contradict each other. Amazon is generally considered the second-largest retailer in the US, not Target.",,
google-gemini-2-5-pro,hotpotqa,5a76353d5542994ccc918715,When was the artist who did the cover art of The Savage Frontier born?,1958-10-22,1948-08-05,"August 5, 1948",0,1,"[""Who did the cover art for 'The Savage Frontier'?"", ""When was {answer_1} born?""]","{""answer_1"": ""Keith Parkinson"", ""answer_2"": ""1958-10-22""}","answer_1: str = qa_model(""Who did the cover art for 'The Savage Frontier'?"")
answer_2: str = qa_model(""When was {answer_1} born?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Keith Parkinson"",
  ""answer_2"": ""1958-10-22""
}
```",1948-08-05,The birth dates provided are different and calendar dates must match exactly.,"equivalent: 0
reasoning: The birth dates provided are different and calendar dates must match exactly.",,
google-gemini-2-5-pro,hotpotqa,5a7722d655429966f1a36c99,Where did the form of music played by Die Rhöner Säuwäntzt originate?,Germany; Austria; Switzerland,Rhön,United States,0,0,"[""What form of music do Die Rh\u00c3\u00b6ner S\u00c3\u00a4uw\u00c3\u00a4ntzt play?"", ""Where did the music form {answer_1} originate?""]","{""answer_1"": ""Volksmusik"", ""answer_2"": ""Germany; Austria; Switzerland""}","answer_1: str = qa_model(""What form of music do Die Rhöner Säuwäntzt play?"")
answer_2: str = qa_model(""Where did the music form {answer_1} originate?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Volksmusik"",
  ""answer_2"": ""Germany; Austria; Switzerland""
}
```",Rhön,"Answer B specifies a region (Rhön, which is in Germany), while Answer A lists three countries (Germany, Austria, Switzerland). If the music originated specifically in Rhön, then stating Austria and Switzerland as origins (as in Answer A) would be a contradiction.","equivalent: 0
reasoning: Answer B specifies a region (Rhön, which is in Germany), while Answer A lists three countries (Germany, Austria, Switzerland). If the music originated specifically in Rhön, then stating Austria and Switzerland as origins (as in Answer A) would be a contradiction.",,
google-gemini-2-5-pro,hotpotqa,5a7a61d355429941d65f25fd,Who directed the movie that Jack Covin played Dr. Ardmore in?,Miloš Forman,Joseph Green,Tom Holland,0,0,"[""What movie did Jack Covin play Dr. Ardmore in?"", ""Who directed '{answer_1}'?""]","{""answer_1"": ""One Flew Over the Cuckoo's Nest"", ""answer_2"": ""Milo\u0161 Forman""}","answer_1: str = qa_model(""What movie did Jack Covin play Dr. Ardmore in?"")
answer_2: str = qa_model(""Who directed '{answer_1}'?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""One Flew Over the Cuckoo's Nest"",
  ""answer_2"": ""Miloš Forman""
}
```",Joseph Green,"The two answers provide different names for the director, indicating a contradiction.","equivalent: 0
reasoning: The two answers provide different names for the director, indicating a contradiction.",,
google-gemini-2-5-pro,hotpotqa,5a7ca54c55429935c91b527f,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",Producer,CEO of Marv Group,CEO of Lionsgate UK & Europe,0,0,"[""What is the 2016 American action thriller film directed by Babak Najafi?"", ""Who was the executive producer for {answer_1}?"", ""What position does {answer_2} currently hold?""]","{""answer_1"": ""London Has Fallen"", ""answer_2"": ""Avi Lerner; Trevor Short; Boaz Davidson; John Thompson; Christine Otal; Heidi Jo Markel"", ""answer_3"": ""Producer""}","answer_1: str = qa_model(""What is the 2016 American action thriller film directed by Babak Najafi?"")
answer_2: str = qa_model(""Who was the executive producer for {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What position does {answer_2} currently hold?"", answer_2=answer_2)","```json
{
  ""answer_1"": ""London Has Fallen"",
  ""answer_2"": ""Avi Lerner; Trevor Short; Boaz Davidson; John Thompson; Christine Otal; Heidi Jo Markel"",
  ""answer_3"": ""Producer""
}
```",CEO of Marv Group,"Answer A describes a general functional role, while Answer B describes a specific executive position within a company. These are distinct facts, not one being a more specific version of the other.","equivalent: 0
reasoning: Answer A describes a general functional role, while Answer B describes a specific executive position within a company. These are distinct facts, not one being a more specific version of the other.",,
google-gemini-2-5-pro,hotpotqa,5a7ccec9554299452d57ba72,What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series? ,Gabriel Knight: Sins of the Fathers,Half-Life,F.E.A.R.,0,0,"[""Which antagonist figure's mystery is the core of a video game series published by Sierra Entertainment?"", ""What video game published by Sierra Entertainment features the antagonist {answer_1}?""]","{""answer_1"": ""Malia Gedde"", ""answer_2"": ""Gabriel Knight: Sins of the Fathers""}","answer_1: str = qa_model(""Which antagonist figure's mystery is the core of a video game series published by Sierra Entertainment?"")
answer_2: str = qa_model(""What video game published by Sierra Entertainment features the antagonist {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Malia Gedde"",
  ""answer_2"": ""Gabriel Knight: Sins of the Fathers""
}
```","answer:
Half-Life","The answers refer to two different video games, Gabriel Knight: Sins of the Fathers and Half-Life.","equivalent: 0
reasoning: The answers refer to two different video games, Gabriel Knight: Sins of the Fathers and Half-Life.",,
google-gemini-2-5-pro,hotpotqa,5a7d231555429909bec76986,La Barredora was a gang that declared war on the leader of the cartel based where?,Sinaloa,Acapulco,Sinaloa,1,0,"[""Which cartel leader did the gang La Barredora declare war on?"", ""Where was the cartel led by {answer_1} based?""]","{""answer_1"": ""Joaqu\u00edn \""El Chapo\"" Guzm\u00e1n"", ""answer_2"": ""Sinaloa""}","answer_1: str = qa_model(""Which cartel leader did the gang La Barredora declare war on?"")
answer_2: str = qa_model(""Where was the cartel led by {answer_1} based?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Joaquín \""El Chapo\"" Guzmán"",
  ""answer_2"": ""Sinaloa""
}
```",Acapulco,The answers provide contradictory locations for the cartel's base.,"equivalent: 0
reasoning: The answers provide contradictory locations for the cartel's base.",,
google-gemini-2-5-pro,hotpotqa,5a7d48a05542991319bc9385,"Who founded the fast food chain whom Joshua Goez appeared in the ""Ranch Tooth"" commercials for?",Forrest Raffel; Leroy Raffel,Robert O. Peterson,Dave Thomas,0,0,"[""Which fast food chain had 'Ranch Tooth' commercials featuring Joshua Goez?"", ""Who founded {answer_1}?""]","{""answer_1"": ""Arby's"", ""answer_2"": ""Forrest Raffel; Leroy Raffel""}","answer_1: str = qa_model(""Which fast food chain had 'Ranch Tooth' commercials featuring Joshua Goez?"")
answer_2: str = qa_model(""Who founded {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Arby's"",
  ""answer_2"": ""Forrest Raffel; Leroy Raffel""
}
```","answer:
Robert O. Peterson","Answer A correctly identifies the founders of Arby's (Forrest and Leroy Raffel), the chain associated with ""Ranch Tooth"" commercials. Answer B names Robert O. Peterson, who founded Jack in the Box, not Arby's, creating a contradiction.","equivalent: 0
reasoning: Answer A correctly identifies the founders of Arby's (Forrest and Leroy Raffel), the chain associated with ""Ranch Tooth"" commercials. Answer B names Robert O. Peterson, who founded Jack in the Box, not Arby's, creating a contradiction.",,
google-gemini-2-5-pro,hotpotqa,5a7d90195542991319bc93cf,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dresden,Pirna,Dessau,0,0,"[""Which German aircraft and aircraft engine manufacturer designed the Pirna 014?"", ""In which city is {answer_1} based?""]","{""answer_1"": ""Flugzeugwerke Dresden"", ""answer_2"": ""Dresden""}","answer_1: str = qa_model(""Which German aircraft and aircraft engine manufacturer designed the Pirna 014?"")
answer_2: str = qa_model(""In which city is {answer_1} based?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Flugzeugwerke Dresden"",
  ""answer_2"": ""Dresden""
}
```","answer:
Pirna","The answers provide different cities (Dresden vs. Pirna) for the manufacturer's base, which is a direct contradiction.","equivalent: 0
reasoning: The answers provide different cities (Dresden vs. Pirna) for the manufacturer's base, which is a direct contradiction.",,
google-gemini-2-5-pro,hotpotqa,5a7e3e6f5542994959419940,What county is the city that contains Florida State Road 736's easterb terminus the seat of?,Broward County,Fort Lauderdale,Broward County,1,0,"[""What city contains Florida State Road 736's eastern terminus?"", ""What county is {answer_1} the seat of?""]","{""answer_1"": ""Fort Lauderdale"", ""answer_2"": ""Broward County""}","answer_1: str = qa_model(""What city contains Florida State Road 736's eastern terminus?"")
answer_2: str = qa_model(""What county is {answer_1} the seat of?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Fort Lauderdale"",
  ""answer_2"": ""Broward County""
}
```",Fort Lauderdale,"The question asks for the county, and Answer B provides a city, which is not a county.","equivalent: 0
reasoning: The question asks for the county, and Answer B provides a city, which is not a county.",,
google-gemini-2-5-pro,hotpotqa,5a7f8a535542994857a76778,The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?,"22,135","7,207","2,523",0,0,"[""Into which town did the Pineground Bridge carry Depot Road?"", ""What is the population of {answer_1}?""]","{""answer_1"": ""Scarborough"", ""answer_2"": ""22,135""}","answer_1: str = qa_model(""Into which town did the Pineground Bridge carry Depot Road?"")
answer_2: str = qa_model(""What is the population of {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""Scarborough"",
  ""answer_2"": ""22,135""
}
```","7,207",The population numbers provided are significantly different and do not fall within the allowed numeric tolerance.,"equivalent: 0
reasoning: The population numbers provided are significantly different and do not fall within the allowed numeric tolerance.",,
google-gemini-2-5-pro,hotpotqa,5a7fa11e5542995d8a8dded4,"Who founded the college attended by Thomas Balston, member of the Whatman paper-making family?",William of Wykeham,Henry VI,William of Wykeham,1,0,"[""Which college did Thomas Balston attend?"", ""Who founded {answer_1}?""]","{""answer_1"": ""New College, Oxford"", ""answer_2"": ""William of Wykeham""}","answer_1: str = qa_model(""Which college did Thomas Balston attend?"")
answer_2: str = qa_model(""Who founded {answer_1}?"", answer_1=answer_1)","```json
{
  ""answer_1"": ""New College, Oxford"",
  ""answer_2"": ""William of Wykeham""
}
```","answer:
Henry VI","The answers contradict each other regarding the founder of the college. William of Wykeham founded New College, Oxford, which Thomas Balston attended. Henry VI founded King's College, Cambridge.","equivalent: 0
reasoning: The answers contradict each other regarding the founder of the college. William of Wykeham founded New College, Oxford, which Thomas Balston attended. Henry VI founded King's College, Cambridge.",,
