dataset	model	approach	total_evaluated	correct	incorrect	accuracy
crag	llama-3.1-8B-Instruct	open_ended	163	45	118	27.61
crag	llama-3.1-8B-Instruct	assistive	163	58	105	35.58
crag	llama-3.1-8B-Instruct	sequential	163	68	95	41.72
crag	llama-3.1-8B-Instruct	model_generated_plan	163	38	125	23.31
crag	llama-3.3-70B-Instruct	open_ended	163	68	95	41.72
crag	llama-3.3-70B-Instruct	assistive	163	80	83	49.08
crag	llama-3.3-70B-Instruct	sequential	163	85	78	52.15
crag	llama-3.3-70B-Instruct	model_generated_plan	163	81	82	49.69
crag	mistral-7B-Instruct-v0.3	open_ended	163	41	122	25.15
crag	mistral-7B-Instruct-v0.3	assistive	163	54	109	33.13
crag	mistral-7B-Instruct-v0.3	sequential	163	40	123	24.54
crag	mistral-7B-Instruct-v0.3	model_generated_plan	163	34	129	20.86
crag	qwen-2.5-72B-Instruct	open_ended	163	52	111	31.9
crag	qwen-2.5-72B-Instruct	assistive	163	66	97	40.49
crag	qwen-2.5-72B-Instruct	sequential	163	67	96	41.1
crag	qwen-2.5-72B-Instruct	model_generated_plan	163	67	96	41.1
crag	qwen-3-32B	open_ended	163	44	119	26.99
crag	qwen-3-32B	assistive	163	61	102	37.42
crag	qwen-3-32B	sequential	163	58	105	35.58
crag	qwen-3-32B	model_generated_plan	163	46	117	28.22
crag	qwen-3-8B	open_ended	163	32	131	19.63
crag	qwen-3-8B	assistive	163	39	124	23.93
crag	qwen-3-8B	sequential	163	35	128	21.47
crag	qwen-3-8B	model_generated_plan	163	15	148	9.2
hotpotqa	gemini-2.5-flash	open_ended	273	163	110	59.71
hotpotqa	gemini-2.5-flash	assistive	273	153	120	56.04
hotpotqa	gemini-2.5-flash	sequential	274	146	128	53.28
hotpotqa	gemini-2.5-flash	model_generated_plan	274	122	152	44.53
hotpotqa	gemini-2.5-pro	open_ended	273	186	87	68.13
hotpotqa	gemini-2.5-pro	assistive	272	185	87	68.01
hotpotqa	gemini-2.5-pro	sequential	274	175	99	63.87
hotpotqa	gemini-2.5-pro	model_generated_plan	274	158	116	57.66
hotpotqa	gpt-5.1	open_ended	274	202	72	73.72
hotpotqa	gpt-5.1	assistive	273	198	75	72.53
hotpotqa	gpt-5.1	sequential	273	193	80	70.7
hotpotqa	gpt-5.1	model_generated_plan	273	188	85	68.86
hotpotqa	llama-3.1-8B-Instruct	open_ended	273	69	204	25.27
hotpotqa	llama-3.1-8B-Instruct	assistive	274	72	202	26.28
hotpotqa	llama-3.1-8B-Instruct	sequential	273	75	198	27.47
hotpotqa	llama-3.1-8B-Instruct	model_generated_plan	273	38	235	13.92
hotpotqa	llama-3.3-70B-Instruct	open_ended	271	112	159	41.33
hotpotqa	llama-3.3-70B-Instruct	assistive	272	125	147	45.96
hotpotqa	llama-3.3-70B-Instruct	sequential	271	116	155	42.8
hotpotqa	llama-3.3-70B-Instruct	model_generated_plan	272	74	198	27.21
hotpotqa	mistral-7B-Instruct-v0.3	open_ended	274	66	208	24.09
hotpotqa	mistral-7B-Instruct-v0.3	assistive	274	76	198	27.74
hotpotqa	mistral-7B-Instruct-v0.3	sequential	274	67	207	24.45
hotpotqa	mistral-7B-Instruct-v0.3	model_generated_plan	273	50	223	18.32
hotpotqa	qwen-2.5-72B-Instruct	open_ended	272	95	177	34.93
hotpotqa	qwen-2.5-72B-Instruct	assistive	274	99	175	36.13
hotpotqa	qwen-2.5-72B-Instruct	sequential	274	99	175	36.13
hotpotqa	qwen-2.5-72B-Instruct	model_generated_plan	273	66	207	24.18
hotpotqa	qwen-3-32B	open_ended	274	86	188	31.39
hotpotqa	qwen-3-32B	assistive	274	84	190	30.66
hotpotqa	qwen-3-32B	sequential	274	76	198	27.74
hotpotqa	qwen-3-32B	model_generated_plan	274	57	217	20.8
hotpotqa	qwen-3-8B	open_ended	272	59	213	21.69
hotpotqa	qwen-3-8B	assistive	274	62	212	22.63
hotpotqa	qwen-3-8B	sequential	274	45	229	16.42
hotpotqa	qwen-3-8B	model_generated_plan	273	40	233	14.65
mintaka	gemini-2.5-flash	open_ended	298	248	50	83.22
mintaka	gemini-2.5-flash	assistive	298	250	48	83.89
mintaka	gemini-2.5-flash	sequential	297	246	51	82.83
mintaka	gemini-2.5-flash	model_generated_plan	298	232	66	77.85
mintaka	gemini-2.5-pro	open_ended	298	255	43	85.57
mintaka	gemini-2.5-pro	assistive	298	254	44	85.23
mintaka	gemini-2.5-pro	sequential	298	248	50	83.22
mintaka	gemini-2.5-pro	model_generated_plan	298	214	84	71.81
mintaka	gpt-5.1	open_ended	298	257	41	86.24
mintaka	gpt-5.1	assistive	298	259	39	86.91
mintaka	gpt-5.1	sequential	298	245	53	82.21
mintaka	gpt-5.1	model_generated_plan	298	240	58	80.54
mintaka	llama-3.1-8B-Instruct	open_ended	297	99	198	33.33
mintaka	llama-3.1-8B-Instruct	assistive	298	163	135	54.7
mintaka	llama-3.1-8B-Instruct	sequential	298	173	125	58.05
mintaka	llama-3.1-8B-Instruct	model_generated_plan	298	93	205	31.21
mintaka	llama-3.3-70B-Instruct	open_ended	297	183	114	61.62
mintaka	llama-3.3-70B-Instruct	assistive	296	206	90	69.59
mintaka	llama-3.3-70B-Instruct	sequential	296	220	76	74.32
mintaka	llama-3.3-70B-Instruct	model_generated_plan	292	208	84	71.23
mintaka	mistral-7B-Instruct-v0.3	open_ended	298	122	176	40.94
mintaka	mistral-7B-Instruct-v0.3	assistive	298	166	132	55.7
mintaka	mistral-7B-Instruct-v0.3	sequential	298	151	147	50.67
mintaka	mistral-7B-Instruct-v0.3	model_generated_plan	297	115	182	38.72
mintaka	qwen-2.5-72B-Instruct	open_ended	296	159	137	53.72
mintaka	qwen-2.5-72B-Instruct	assistive	297	203	94	68.35
mintaka	qwen-2.5-72B-Instruct	sequential	298	214	84	71.81
mintaka	qwen-2.5-72B-Instruct	model_generated_plan	297	191	106	64.31
mintaka	qwen-3-32B	open_ended	298	115	183	38.59
mintaka	qwen-3-32B	assistive	298	176	122	59.06
mintaka	qwen-3-32B	sequential	298	159	139	53.36
mintaka	qwen-3-32B	model_generated_plan	298	137	161	45.97
mintaka	qwen-3-8B	open_ended	297	73	224	24.58
mintaka	qwen-3-8B	assistive	298	118	180	39.6
mintaka	qwen-3-8B	sequential	298	101	197	33.89
mintaka	qwen-3-8B	model_generated_plan	298	85	213	28.52
frames	gemini-2.5-flash	open_ended	293	180	113	61.4
frames	gemini-2.5-flash	assistive	291	162	129	55.7
frames	gemini-2.5-flash	sequential	293	163	130	55.6
frames	gemini-2.5-flash	model_generated_plan	293	130	163	44.4
frames	gemini-2.5-pro	open_ended	293	210	83	71.7
frames	gemini-2.5-pro	assistive	293	211	82	72
frames	gemini-2.5-pro	sequential	293	190	103	64.8
frames	gemini-2.5-pro	model_generated_plan	293	179	114	61.1
frames	gpt-5.1	open_ended	293	212	81	72.4
frames	gpt-5.1	assistive	290	209	81	72.1
frames	gpt-5.1	sequential	293	193	100	65.9
frames	gpt-5.1	model_generated_plan	293	167	126	57
frames	llama-3.1-8B-Instruct	open_ended	293	26	267	8.9
frames	llama-3.1-8B-Instruct	assistive	293	51	242	17.4
frames	llama-3.1-8B-Instruct	sequential	293	55	238	18.8
frames	llama-3.1-8B-Instruct	model_generated_plan	293	22	271	7.5
frames	llama-3.3-70B-Instruct	open_ended	293	78	215	26.6
frames	llama-3.3-70B-Instruct	assistive	293	115	178	39.2
frames	llama-3.3-70B-Instruct	sequential	293	119	174	40.6
frames	llama-3.3-70B-Instruct	model_generated_plan	293	89	204	30.4
frames	mistral-7B-Instruct-v0.3	open_ended	293	35	258	11.9
frames	mistral-7B-Instruct-v0.3	assistive	292	54	238	18.5
frames	mistral-7B-Instruct-v0.3	sequential	293	40	253	13.7
frames	mistral-7B-Instruct-v0.3	model_generated_plan	293	29	264	9.9
frames	qwen-2.5-72B-Instruct	open_ended	293	51	242	17.4
frames	qwen-2.5-72B-Instruct	assistive	293	86	207	29.4
frames	qwen-2.5-72B-Instruct	sequential	293	85	208	29
frames	qwen-2.5-72B-Instruct	model_generated_plan	293	62	231	21.2
frames	qwen-3-8B	open_ended	293	34	259	11.6
frames	qwen-3-8B	assistive	293	70	223	23.9
frames	qwen-3-8B	sequential	292	73	219	25
frames	qwen-3-8B	model_generated_plan	293	26	267	8.9
frames	qwen-3-32B	open_ended	293	42	251	14.3
frames	qwen-3-32B	assistive	293	68	225	23.2
frames	qwen-3-32B	sequential	293	63	230	21.5
frames	qwen-3-32B	model_generated_plan	293	51	242	17.4
musique	gemini-2.5-flash	open_ended	282	105	177	37.2
musique	gemini-2.5-flash	assistive	282	106	176	37.6
musique	gemini-2.5-flash	sequential	282	101	181	35.8
musique	gemini-2.5-flash	model_generated_plan	282	95	187	33.7
musique	gemini-2.5-pro	open_ended	282	134	148	47.5
musique	gemini-2.5-pro	assistive	282	148	134	52.5
musique	gemini-2.5-pro	sequential	281	128	153	45.6
musique	gemini-2.5-pro	model_generated_plan	282	74	208	26.2
musique	gpt-5.1	open_ended	282	152	130	53.9
musique	gpt-5.1	assistive	280	152	128	54.3
musique	gpt-5.1	sequential	282	130	152	46.1
musique	gpt-5.1	model_generated_plan	282	127	155	45
musique	llama-3.1-8B-Instruct	open_ended	282	26	256	9.2
musique	llama-3.1-8B-Instruct	assistive	222	36	186	16.2
musique	llama-3.1-8B-Instruct	sequential	281	46	235	16.4
musique	llama-3.1-8B-Instruct	model_generated_plan	282	17	265	6
musique	llama-3.3-70B-Instruct	open_ended	282	69	213	24.5
musique	llama-3.3-70B-Instruct	assistive	282	96	186	34
musique	llama-3.3-70B-Instruct	sequential	282	88	194	31.2
musique	llama-3.3-70B-Instruct	model_generated_plan	282	38	244	13.5
musique	mistral-7B-Instruct-v0.3	open_ended	282	36	246	12.8
musique	mistral-7B-Instruct-v0.3	assistive	281	57	224	20.3
musique	mistral-7B-Instruct-v0.3	sequential	282	38	244	13.5
musique	mistral-7B-Instruct-v0.3	model_generated_plan	282	31	251	11
musique	qwen-2.5-72B-Instruct	open_ended	282	65	217	23
musique	qwen-2.5-72B-Instruct	assistive	282	73	209	25.9
musique	qwen-2.5-72B-Instruct	sequential	282	74	208	26.2
musique	qwen-2.5-72B-Instruct	model_generated_plan	282	54	228	19.1
musique	qwen-3-8B	open_ended	282	33	249	11.7
musique	qwen-3-8B	assistive	282	38	244	13.5
musique	qwen-3-8B	sequential	282	43	239	15.2
musique	qwen-3-8B	model_generated_plan	282	23	259	8.2
musique	qwen-3-32B	open_ended	282	45	237	16
musique	qwen-3-32B	assistive	279	62	217	22.2
musique	qwen-3-32B	sequential	281	56	225	19.9
musique	qwen-3-32B	model_generated_plan	282	42	240	14.9
