dataset	id	question	gold_answer	assistant_label	assistant_notes	stable_wrong_models	frontier_open_consensus_count	frontier_open_consensus_answer	model_dir__gemini_2_5_pro	stable_wrong__gemini_2_5_pro	open_correct__gemini_2_5_pro	consistency_equivalent__gemini_2_5_pro	open_answer__gemini_2_5_pro	assistive_answer__gemini_2_5_pro	open_correctness_reasoning__gemini_2_5_pro	consistency_reasoning__gemini_2_5_pro	model_dir__gemini_2_5_flash	stable_wrong__gemini_2_5_flash	open_correct__gemini_2_5_flash	consistency_equivalent__gemini_2_5_flash	open_answer__gemini_2_5_flash	assistive_answer__gemini_2_5_flash	open_correctness_reasoning__gemini_2_5_flash	consistency_reasoning__gemini_2_5_flash	model_dir__gpt_5_1	stable_wrong__gpt_5_1	open_correct__gpt_5_1	consistency_equivalent__gpt_5_1	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	hand_review_label	hand_review_confidence	hand_review_notes
frames	598	A certain singer won the Grammy Award for Song of the Year in 2008 and in the same year, sang at a prominent person's 90th Birthday Party concert in London. How many vowels are in the given first name of the person who the birthday party was for?	4	frontier_consensus_vs_gold	All three frontier models agree on '2' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	2	gemini-2.5-pro	1	0	1	2	2	The prediction '2' does not match the gold answer '4'. The absolute difference (2) is greater than the allowed 5% tolerance for numbers (0.2).	Both answers state the same numerical value.	gemini-2.5-flash	1	0	1	2	2	The prediction '2' does not match the gold answer '4'. The absolute difference (2) is greater than the allowed 5% tolerance for numbers (0.2).	Both answers are identical numerical values.	gpt-5.1	1	0	1	2	2	The prediction '2' does not match the gold answer '4'. The absolute difference (2) is greater than the allowed 5% tolerance for numbers (0.2).	Both answers state the same numerical value.	likely_gold_error	high	The '90th Birthday Party concert in London' strongly suggests Nelson Mandela; first name 'Nelson' has 2 vowels, not 4.
frames	77	According to the 2011 census, what is total population of the cities of the birthplaces of author Clive Barker, Prince William, and Sir Malcolm Stanley Bradbury? Round to the nearest 100,000. 	11,300,000	frontier_consensus_vs_gold	All three frontier models agree on '9,200,000' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gemini_2_5_flash,gpt_5_1	3	9,200,000	gemini-2.5-pro	1	0	1	9,200,000	9200000	The prediction (9,200,000) is not within 5% tolerance of the gold value (11,300,000). The difference is 2,100,000, while the allowed tolerance is 565,000.	Thousands separators are ignored, making 9,200,000 and 9200000 equivalent.	gemini-2.5-flash	1	0	1	9,200,000	9200000	The prediction 9,200,000 is not within 5% of the gold value 11,300,000. The allowed tolerance is 565,000, but the difference is 2,100,000.	Thousands separators are ignored for numerical comparison. Both values represent the same number.	gpt-5.1	1	0	1	9,200,000	9200000	The prediction 9,200,000 is not within 5% of the gold value 11,300,000. The allowed tolerance is 565,000, but the difference is 2,100,000.	Thousands separators are ignored, making 9,200,000 and 9200000 equivalent.	likely_gold_error	medium-high	Sum of 2011-census populations for (London + Liverpool + Sheffield) is closer to ~9.2M than 11.3M; gold likely miscomputed or used different boundaries.
frames	86	What medal did the woman who tied for 19th in the 2011 Pan American Games women's individual bowling event win as part of a women's bowling doubles team in the 2017 World Games?	Bronze medalist	frontier_consensus_vs_gold	All three frontier models agree on 'Gold' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Gold	gemini-2.5-pro	1	0	1	Gold	Gold	"The prediction ""Gold"" contradicts the gold answer ""Bronze medalist""."	Both answers are identical.	gemini-2.5-flash	0	0	0	Gold	silver	"The prediction ""Gold"" contradicts the gold answer ""Bronze medalist""."	"""Gold"" and ""silver"" are different medals and thus different facts."	gpt-5.1	1	0	1	gold	Gold	"The prediction ""gold"" contradicts the gold answer ""Bronze medalist""."	"Case normalization makes ""gold"" and ""Gold"" equivalent."	needs_verification	low	Medal color for the athlete at the 2017 World Games requires checking the event results; cannot verify offline.
frames	88	If you were to combine two words, the first of which has a species called Polytrichum piliferum, and the second which has a breed type called Fleckvieh, you'd get the name of what countries capital city?	Russia	frontier_consensus_vs_gold	All three frontier models agree on 'Moscow' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Moscow	gemini-2.5-pro	1	0	1	Moscow	Moscow	"The gold answer specifies a country (""Russia""), while the prediction specifies a capital city (""Moscow""). These are distinct entities, even though Moscow is the capital of Russia. The prediction does not convey the same vital fact as the gold."	Both answers are identical.	gemini-2.5-flash	0	0	0	Moscow	Harare	"The gold answer ""Russia"" refers to a country, while the prediction ""Moscow"" refers to a city. These are distinct entities and not equivalent, even though Moscow is the capital of Russia. The prediction does not convey the same vital fact as the gold."	'Moscow' and 'Harare' are different capital cities.	gpt-5.1	1	0	1	Moscow	Moscow	"The gold answer ""Russia"" refers to a country, while the prediction ""Moscow"" refers to a city. These are distinct entities and not equivalent, even though Moscow is the capital of Russia. The prediction does not convey the same vital fact as the gold."	Both answers are identical.	model_misread_question	medium-high	The combined words yield a capital-city name (Moscow). The question asks 'what country's capital city' that is, so gold 'Russia' may be correct while models answer the city.
hotpotqa	5a7d231555429909bec76986	La Barredora was a gang that declared war on the leader of the cartel based where?	Sinaloa	frontier_consensus_vs_gold	All three frontier models agree on 'Acapulco' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	Acapulco	google-gemini-2-5-pro	0	0	0	Acapulco	Sinaloa	The gold answer states the cartel was based in 'Sinaloa', while the prediction states 'Acapulco'. These are different locations, leading to a contradiction.	The answers provide contradictory locations for the cartel's base.	google-gemini-2-5-flash	1	0	1	Acapulco	Mexico	The gold answer states the cartel was based in 'Sinaloa', while the prediction states 'Acapulco'. These are different locations, leading to a contradiction.	Answer B (Acapulco) is a city within the country mentioned in Answer A (Mexico). Answer B is a more specific but consistent location, which is considered equivalent.	gpt-5-1	0	0	0	Acapulco	Sinaloa, Mexico	The prediction 'Acapulco' contradicts the gold answer 'Sinaloa' regarding the location of the cartel's base.	The answers provide different locations (Sinaloa vs. Acapulco), which is a direct contradiction.	needs_verification	low	Requires checking the referenced cartel/leader location; cannot verify offline whether 'Sinaloa' or 'Acapulco' is intended.
hotpotqa	5a874fd15542996432c57260	What was the film debut of the actress who starred in Pandemonium?	"""Divorce American Style"""	frontier_consensus_vs_gold	All three frontier models agree on 'Carnal Knowledge' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Carnal Knowledge	google-gemini-2-5-pro	1	0	1	Carnal Knowledge	Carnal Knowledge	The prediction 'Carnal Knowledge' contradicts the gold answer 'Divorce American Style' regarding the film debut.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Carnal Knowledge	Pocketful of Miracles	The gold answer states the film debut was 'Divorce American Style', while the prediction states it was 'Carnal Knowledge'. These are two different films, leading to a contradiction.	"The film debut of Carol Kane (the actress who starred in Pandemonium) was ""Carnal Knowledge"", which contradicts ""Pocketful of Miracles""."	gpt-5-1	1	0	1	Carnal Knowledge	Carnal Knowledge	The gold answer states the film debut was 'Divorce American Style', while the prediction states 'Carnal Knowledge'. These are two different films, leading to a contradiction.	Both answers are identical.	needs_verification	low	Film debut of the actress in Pandemonium requires confirming the actress and debut filmography; cannot verify offline.
hotpotqa	5a8f938a55429918e830d275	Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?	17%	frontier_consensus_vs_gold	All three frontier models agree on '0.15%' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gemini_2_5_flash	3	0.15%	google-gemini-2-5-pro	1	0	1	0.15%	0.15%	The gold answer is 17% and the prediction is 0.15%. The absolute difference is 16.85 percentage points, which is far outside the allowed 5.5 percentage-point window for naturally drifting values. These values are not numerically equivalent.	Both answers are identical.	google-gemini-2-5-flash	1	0	1	0.15%	0.15%	The gold answer is 17% and the prediction is 0.15%. These values are significantly different and do not fall within the allowed numeric tolerance for naturally drifting values (1-5.5 percentage-point window) or the general numeric tolerance (|a − b| ≤ max(0.5, 1% of the reference)). The absolute difference is 16.85, which is far greater than 0.5 or 1% of 17 (0.17).	The answers are identical.	gpt-5-1	0	0	0	0.15%	0.15	The gold answer is 17% and the prediction is 0.15%. The difference is 16.85 percentage points, which is far outside the allowed tolerance for numeric expressions (max(0.5, 1% of reference) or a 1-5.5 percentage-point window for naturally drifting values). 0.15% is not equivalent to 17%.	Answer A (0.15) represents 15%, while Answer B (0.15%) represents 0.15%. These are different numerical values.	likely_gold_error(numeric_scale)	medium-high	Gold 17% vs consensus 0.15% suggests a large numeric scale error (percent-of-world-pop).
hotpotqa	5ac1bfd85542994ab5c67dfb	How many German scientists, engineers, and technicians, were recruited in post-Nazi Germany as a result of the clandestine operation where Arthur Rudolph became one of the main developers of the U.S. ?space program	more than 1,600	frontier_consensus_vs_gold	All three frontier models agree on '1,600' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_flash	3	1,600	google-gemini-2-5-pro	0	0	0	1,600	More than 1,600	The gold answer specifies 'more than 1,600', indicating a value strictly greater than 1,600. The prediction states '1,600', which is not 'more than 1,600'. This constitutes a contradiction in the numerical value.	"""More than 1,600"" explicitly excludes the number 1,600, while ""1,600"" states the exact number. These are distinct numerical assertions and not covered by the numeric tolerance rule for small differences."	google-gemini-2-5-flash	1	0	1	1,600	1,600	The gold answer specifies 'more than 1,600', indicating a value strictly greater than 1,600. The prediction states '1,600', which is not 'more than 1,600'. This constitutes a contradiction in the numerical value.	The answers are identical.	gpt-5-1	0	0	0	1600	more than 1,600	The gold answer specifies 'more than 1,600', indicating a value strictly greater than 1,600. The prediction of '1600' contradicts this by not being 'more than' the stated number.	"Answer A states ""more than 1,600"" while Answer B states ""1600"", which are contradictory as ""more than 1,600"" excludes the value 1,600."	rounding_or_strictness	medium	Gold says 'more than 1,600' while consensus is '1,600'. This looks like strictness/rounding rather than a substantive factual disagreement.
hotpotqa	5ae753b75542997b22f6a6db	Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?	Bihar	frontier_consensus_vs_gold	All three frontier models agree on 'Bhagalpur' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Bhagalpur	google-gemini-2-5-pro	1	0	1	Bhagalpur	Bhagalpur	The question asks for a 'city'. The gold answer 'Bihar' is a state, not a city. The prediction 'Bhagalpur' is a city. While Bhagalpur is located within Bihar, the prediction and gold refer to different geographical entities (a city vs. a state), and thus do not communicate the same essential fact, especially given the specific request for a 'city' in the question.	Both answers are identical.	google-gemini-2-5-flash	0	1	1	Bhagalpur	Bhagalpur	The question asks for a 'city', and the gold answer provides 'Bihar', which is a state. The prediction 'Bhagalpur' is a city located within the state of Bihar. The prediction does not contradict the gold answer; instead, it provides a more specific location within the gold's broader region, and also correctly identifies a 'city' as requested by the question. This falls under the allowance for extra detail that does not contradict the gold fact.	The answers are identical.	gpt-5-1	1	0	1	Bhagalpur	Bhagalpur	The question asks for a 'city'. The gold answer provides a state ('Bihar'), while the prediction provides a city ('Bhagalpur'). Although Bhagalpur is located within Bihar, the gold and prediction refer to different types of geographical entities (state vs. city) and are therefore not the same essential fact.	Both answers are identical.	likely_gold_error(type_mismatch)	high	Question asks for a city; gold answers a state/region ('Bihar') while consensus gives a city (Bhagalpur).
mintaka	6613db77	How many Supreme Court Justices were nominated by the president, the most in history?	14	frontier_consensus_vs_gold	All three frontier models agree on '11' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	11	google-gemini-2-5-pro	1	0	1	11	11	The gold answer is 14, and the prediction is 11. The absolute difference is 3, which is outside the allowed numerical tolerance of max(0.5, 1% of 14 = 0.14) = 0.5.	Both answers are identical and state the same number.	google-gemini-2-5-flash	0	0	0	11	9	The gold answer is 14, and the prediction is 11. The absolute difference is 3, which is outside the allowed numerical tolerance of max(0.5, 1% of 14 = 0.14) = 0.5.	The two answers provide different numbers (9 vs 11) which is a direct contradiction.	gpt-5-1	1	0	1	11	11	The gold answer is 14, and the prediction is 11. The difference (3) exceeds the allowed numerical tolerance of max(0.5, 1% of 14 = 0.14), which is 0.5. Therefore, the prediction is incorrect.	Both answers are identical and state the same number.	definition_mismatch(nominated_vs_confirmed)	medium	Counts differ depending on whether you count nominations (including unsuccessful/declined) vs confirmed appointments. Question needs a consistent definition.
mintaka	c18486eb	What is the name of the U.S. state with the biggest volcano?	Washington	frontier_consensus_vs_gold	All three frontier models agree on 'Hawaii' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gpt_5_1	3	Hawaii	google-gemini-2-5-pro	1	0	1	Hawaii	Hawaii	The prediction 'Hawaii' contradicts the gold answer 'Washington'. These are two distinct U.S. states.	Both answers are identical.	google-gemini-2-5-flash	0	0	0	Hawaii	Washington	The prediction 'Hawaii' contradicts the gold answer 'Washington'. These are two distinct U.S. states.	The answers provide two different U.S. states, Washington and Hawaii, which is a direct contradiction.	gpt-5-1	1	0	1	Hawaii	Hawaii	The prediction 'Hawaii' directly contradicts the gold answer 'Washington'. These are two distinct U.S. states.	Both answers are identical.	likely_gold_error(scope)	medium-high	Without a 'contiguous US' qualifier, 'biggest volcano' strongly points to Hawaii (shield volcanoes). Gold 'Washington' likely reflects a different scope/definition.
musique	2hop__135653_669373	Who is the employer of the person Mach's principle was named after?	Charles University	frontier_consensus_vs_gold	All three frontier models agree on 'University of Vienna' (normalized), which contradicts the gold answer; likely gold ambiguity/outdatedness or a shared model misconception.	gemini_2_5_pro,gemini_2_5_flash	3	University of Vienna	gemini-2.5-pro	1	0	1	University of Vienna	University of Graz; Charles University; University of Vienna	The predicted employer 'University of Vienna' is a different institution from the gold employer 'Charles University', thus contradicting the gold fact.	Answer A matches one of the semicolon-separated alternatives in Answer B.	gemini-2.5-flash	1	0	1	University of Vienna	University of Graz; University of Prague; University of Vienna	The predicted employer 'University of Vienna' is a different institution from the gold employer 'Charles University', thus contradicting the gold fact.	Answer A matches one of the semicolon-separated alternatives in Answer B.	gpt-5.1	0	0	0	University of Vienna	Charles University	"The predicted answer ""University of Vienna"" contradicts the gold answer ""Charles University"" as they are different institutions."	The two answers refer to different universities; they are not aliases and represent distinct facts.	ambiguous_time(employment)	medium	Ernst Mach held positions at both Charles University (Prague) and University of Vienna; 'employer' is time-dependent without specifying the period.
