dataset	model_slug	id	time_sensitive_hint	open_assistive_exact_match	question	gold_answer	open_answer	assistive_answer	open_correctness_reasoning	consistency_equivalent	consistency_reasoning	consistency_raw	open_raw	assistive_raw
hotpotqa	google-gemini-2-5-flash	5ab55478554299488d4d993d	0	1	The President of Egypt that changed the Hamayouni Decree was born in what year?	1928	1918	1918	The gold answer states the birth year as 1928, while the prediction states 1918. Calendar dates and years must match exactly, so this is a contradiction.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	1918	```json\n{\n  "answer_1": "Gamal Abdel Nasser",\n  "answer_2": "1918"\n}\n```
mintaka	google-gemini-2-5-flash	1be89328	0	0	Who was US president during the Great Depression?	Herbert Hoover	Franklin D. Roosevelt	Herbert Hoover; Franklin D. Roosevelt	The gold answer specifies 'Herbert Hoover' as the US president during the Great Depression, while the prediction states 'Franklin D. Roosevelt'. These are two different individuals, leading to a direct contradiction.	1	Answer B is a subset of Answer A. This is allowed by the subset allowance rule because the question does not ask for an exhaustive list.	equivalent: 1\nreasoning: Answer B is a subset of Answer A. This is allowed by the subset allowance rule because the question does not ask for an exhaustive list.	answer:\nFranklin D. Roosevelt	intermediate_answers:\n{\n  "answer_1": "1929-1939",\n  "answer_2": "Herbert Hoover; Franklin D. Roosevelt"\n}
bamboogle	google-gemini-2-5-flash	bamboogle_0039_7e165501	0	1	When did Nirvana's second most selling studio album come out?	September 13, 1993	1993-09-21	1993-09-21	The gold answer specifies 'September 13, 1993' while the prediction states '1993-09-21'. Calendar dates must match exactly, and the day (13 vs 21) does not match.	1	Both answers provide the exact same calendar date.	equivalent: 1\nreasoning: Both answers provide the exact same calendar date.	answer:\n1993-09-21	```json\n{\n  "answer_1": "In Utero",\n  "answer_2": "1993-09-21"\n}\n```
crag	google-gemini-2-5-flash	7d6ebd01-2364-461c-8086-68c83ff90966	1	0	how long has the current president of the us been in power?	the current president of the us, joe biden, has been in power since 2020.	1 year, 8 months, 14 days	1 year, 8 months	The gold answer provides a start year ('since 2020'), while the prediction provides a duration ('1 year, 8 months, 14 days'). These are different types of information and do not communicate the same essential fact. Additionally, the duration provided in the prediction is not consistent with the start year given in the gold answer (2020) when calculating the duration to the current date, nor is it consistent with the actual inauguration year (2021) for the current date.	1	The difference of 14 days (2.24%) falls within the 1-5.5 percentage-point tolerance for values that naturally drift over time.	equivalent: 1\nreasoning: The difference of 14 days (2.24%) falls within the 1-5.5 percentage-point tolerance for values that naturally drift over time.	1 year, 8 months, 14 days	```json\n{\n  "answer_1": "Joe Biden",\n  "answer_2": "1 year, 8 months"\n}\n```
hotpotqa	google-gemini-2-5-flash	5a8baf235542996e8ac889c2	0	1	Jon Bokenkamp wrote the screen play for the film starring which two actors?	Angelina Jolie and Ethan Hawke	Halle Berry; Abigail Breslin	Halle Berry; Abigail Breslin	The prediction lists 'Halle Berry; Abigail Breslin' as the actors, which contradicts the gold answer of 'Angelina Jolie and Ethan Hawke'. The actors are completely different.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Halle Berry; Abigail Breslin	```json\n{\n  "answer_1": "The Call",\n  "answer_2": "Halle Berry; Abigail Breslin"\n}\n```
mintaka	google-gemini-2-5-flash	540c6b11	0	1	What is the tallest building in the country whose capital city is Kuala Lumpur?	Petronas Tower	Merdeka 118	Merdeka 118	The gold answer 'Petronas Tower' was formerly the tallest building in Malaysia. However, 'Merdeka 118' (the prediction) surpassed it upon its completion in 2022, becoming the current tallest building in Malaysia. Therefore, the prediction contradicts the gold fact by naming a different, and currently correct, tallest building.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\nMerdeka 118	intermediate_answers:\n{\n  "answer_1": "Malaysia",\n  "answer_2": "Merdeka 118"\n}
bamboogle	google-gemini-2-5-flash	bamboogle_0059_abedd531	0	1	In what year was the tallest fixed steel structure completed?	1988	2012	2012	The prediction '2012' contradicts the gold answer '1988'. Calendar dates/years must match exactly.	1	Both answers state the exact same year.	equivalent: 1\nreasoning: Both answers state the exact same year.	answer:\n2012	```json\n{\n  "answer_1": "Tokyo Skytree",\n  "answer_2": "2012"\n}\n```
crag	google-gemini-2-5-flash	ba92e6b9-fcd3-4ff7-899a-fe59dbb2c8db	0	1	what weight class is the ufc number one men's pound for pound fighter in?	islam makhachev, the number one men's pound for pound fighter in the ufc, fights at lightweight.	Featherweight	Featherweight	The gold answer states the fighter is in 'lightweight' class, while the prediction states 'Featherweight'. These are different and contradictory facts.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nFeatherweight	```json\n{\n  "answer_1": "Alexander Volkanovski",\n  "answer_2": "Featherweight"\n}\n```
hotpotqa	google-gemini-2-5-flash	5ae195595542997b2ef7d206	0	1	From which school of the Mount Vernon City School District was teacher fired, causing the school district to receive national attention?	Mount Vernon Middle School	Mount Vernon High School	Mount Vernon High School	The prediction states 'Mount Vernon High School' while the gold answer is 'Mount Vernon Middle School'. These are two distinct schools, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Mount Vernon High School	```json\n{\n  "answer_1": "Jeffrey Brown",\n  "answer_2": "Mount Vernon High School"\n}\n```
mintaka	google-gemini-2-5-flash	a04200ad	0	1	Who is the main protagonist of the second Metal Gear game?	Raiden	Solid Snake	Solid Snake	The prediction 'Solid Snake' contradicts the gold answer 'Raiden'. These are different characters.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\nSolid Snake	intermediate_answers:\n{\n  "answer_1": "Metal Gear 2: Solid Snake",\n  "answer_2": "Solid Snake"\n}
bamboogle	google-gemini-2-5-flash	bamboogle_0072_70ea2630	0	0	In what year did the oldest cat ever recorded with the Cat of the Year award?	1999	The oldest cat ever recorded did not win a "Cat of the Year" award.	N/A	The gold answer provides a specific year (1999) for the event, implying it occurred. The prediction explicitly states that the event did not happen, which is a direct contradiction of the gold fact.	1	Answer A "N/A" implies that the event did not occur, which is explicitly stated in Answer B. Both convey that there is no year because the premise of the question is false.	equivalent: 1\nreasoning: Answer A "N/A" implies that the event did not occur, which is explicitly stated in Answer B. Both convey that there is no year because the premise of the question is false.	answer:\nThe oldest cat ever recorded did not win a "Cat of the Year" award.	```json\n{\n  "answer_1": "Creme Puff",\n  "answer_2": "N/A"\n}\n```
crag	google-gemini-2-5-flash	318361f8-af94-4b0b-8017-c0f04ec1755c	0	1	what company in the dow jones has the largest market capitalization?	microsoft	Apple	Apple	The prediction 'Apple' contradicts the gold answer 'microsoft' as they are different companies.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nApple	```json\n{\n  "answer_1": "2.2 trillion USD",\n  "answer_2": "Apple"\n}\n```
hotpotqa	google-gemini-2-5-flash	5ade8f5e55429975fa854f11	0	1	What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?	10 Rillington Place	Pierrepoint: The Last Hangman	Pierrepoint: The Last Hangman	The prediction provides a different movie title ('Pierrepoint: The Last Hangman') than the gold answer ('10 Rillington Place'), which is a direct contradiction.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Pierrepoint: The Last Hangman	```json\n{\n  "answer_1": "Albert Pierrepoint",\n  "answer_2": "Pierrepoint: The Last Hangman"\n}\n```
mintaka	google-gemini-2-5-flash	c999b363	0	1	What is the capital of the country with the highest population in the world?	Tokyo	Beijing	Beijing	The gold answer states 'Tokyo' while the prediction states 'Beijing'. These are two distinct cities and therefore represent different facts. The prediction does not match the gold answer.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nBeijing	intermediate_answers:\n{\n  "answer_1": "China",\n  "answer_2": "Beijing"\n}
bamboogle	google-gemini-2-5-flash	bamboogle_0055_a38b6895	0	1	Who directed the highest grossing film?	James Cameroon	James Cameron	James Cameron	The prediction 'James Cameron' differs from the gold answer 'James Cameroon' by a spelling mistake in the last name. This is not covered by normalization rules for aliases or common variations.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nJames Cameron	```json\n{\n  "answer_1": "Avatar",\n  "answer_2": "James Cameron"\n}\n```
crag	google-gemini-2-5-flash	adabdcb6-3d4d-4dac-93f7-d54bdb5dccf2	0	1	who was the coach of the team that won the nba championship last season?	michael malone, who coaches the denver nuggets, was the coach of the team that won the nba championship last season.	Steve Kerr	Steve Kerr	The gold answer identifies Michael Malone as the coach, while the prediction states Steve Kerr. These are two different individuals, making the prediction factually incorrect and a contradiction to the gold answer.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nSteve Kerr	```json\n{\n  "answer_1": "Golden State Warriors",\n  "answer_2": "Steve Kerr"\n}\n```
hotpotqa	google-gemini-2-5-flash	5adccafb5542992c1e3a2401	0	1	Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?	Isabelle Mergault	Claude Brasseur	Claude Brasseur	The prediction 'Claude Brasseur' contradicts the gold answer 'Isabelle Mergault' as they are different individuals.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Claude Brasseur	```json\n{\n  "answer_1": "Tell No One",\n  "answer_2": "César Awards",\n  "answer_3": "Claude Brasseur"\n}\n```
mintaka	google-gemini-2-5-flash	e6f29b34	0	1	Where was the last queen of Egypt born?	Greece	Alexandria	Alexandria	The gold answer states 'Greece' as the birthplace, while the prediction states 'Alexandria'. These are distinct geographical locations, and Alexandria is not in Greece, thus the prediction contradicts the gold fact.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nAlexandria	intermediate_answers:\n{\n  "answer_1": "Cleopatra VII Philopator",\n  "answer_2": "Alexandria"\n}
bamboogle	google-gemini-2-5-flash	bamboogle_0066_6b32e7f3	0	1	The most populous national capital city was established in what year?	1045 BC	1457	1457	The gold answer specifies '1045 BC' while the prediction is '1457'. Calendar dates or years must match exactly according to Rule 2, and these values are significantly different.	1	Both answers state the exact same year.	equivalent: 1\nreasoning: Both answers state the exact same year.	answer:\n1457	```json\n{\n  "answer_1": "Tokyo",\n  "answer_2": "1457"\n}\n```
crag	google-gemini-2-5-flash	27f2284d-0d87-46c6-a0a1-e46135a3fc67	0	1	when did the most expensive action movie come out?	the most expensive action movie ever produced, star wars: the force awakens, came out in 2015.	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction gives 2011-05-20. The years do not match, and calendar dates/years must match exactly.	1	Both answers provide the exact same calendar date.	equivalent: 1\nreasoning: Both answers provide the exact same calendar date.	answer:\n2011-05-20	```json\n{\n  "answer_1": "Pirates of the Caribbean: On Stranger Tides",\n  "answer_2": "2011-05-20"\n}\n```
hotpotqa	google-gemini-2-5-flash	5ab265de5542993be8fa9901	0	1	Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?	Bayern Munich	Borussia Dortmund	Borussia Dortmund	The gold answer specifies 'Bayern Munich' as the club, while the prediction states 'Borussia Dortmund'. These are two different football clubs, leading to a contradiction on the specific club mentioned.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Borussia Dortmund	```json\n{\n  "answer_1": "Mats Hummels",\n  "answer_2": "Borussia Dortmund"\n}\n```
mintaka	google-gemini-2-5-flash	bcc3b346	0	1	What is the population of the country with the Great Pyramid of Giza?	102.3 million	109,262,178	109,262,178	The gold answer is 102.3 million (102,300,000) and the prediction is 109,262,178. The absolute difference is 6,962,178. The percentage difference relative to the gold value is approximately 6.8% (6,962,178 / 102,300,000 * 100), which exceeds the 5.5% tolerance window for naturally drifting values like population.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\n109,262,178	intermediate_answers:\n{\n  "answer_1": "Egypt",\n  "answer_2": "109,262,178"\n}
crag	google-gemini-2-5-flash	e9751dcf-72ec-434f-9ca8-30a0a72da8fc	1	1	how old is the current president of the us?	the current president of the us, joe biden, is 81 years old.	79	79	The gold answer states the age is 81, while the prediction states 79. The difference of 2 is outside the allowed numeric tolerance of max(0.5, 1% of 81 = 0.81).	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\n79	```json\n{\n  "answer_1": "Joe Biden",\n  "answer_2": "79"\n}\n```
hotpotqa	google-gemini-2-5-flash	5a7ba3fb5542995eb53be973	0	1	The actor who played Bob Muldoon in "Ain't Them Bodies Saints" was born in what year?	1975	1949	1949	The gold answer states the birth year is 1975, while the prediction states 1949. These years do not match, and for calendar dates/years, an exact match is required (Rule 2).	1	Both answers state the same year.	equivalent: 1\nreasoning: Both answers state the same year.	1949	```json\n{\n  "answer_1": "Keith Carradine",\n  "answer_2": "1949"\n}\n```
mintaka	google-gemini-2-5-flash	6f62ab02	1	1	How old is the current manager of the New York Mets?	40	66	66	The prediction '66' is numerically different from the gold answer '40'. The difference (26) is outside the allowed 1-5.5 percentage-point window for naturally drifting values like age (1 - |40 - 66| / max(40, 66) = 1 - 26/66 = 0.606, which is not within 0.945-0.99).	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\n66	intermediate_answers:\n{\n  "answer_1": "Buck Showalter",\n  "answer_2": "66"\n}
crag	google-gemini-2-5-flash	b87aa578-d977-40f3-b96d-8ebba8aa3910	0	1	who was the player of the year in the premier league last season?	erling haaland, who plays for manchester city, was the player of the year in the premier league last season.	Kevin De Bruyne	Kevin De Bruyne	The gold answer states 'Erling Haaland' was the player of the year, while the prediction states 'Kevin De Bruyne'. These are different names, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nKevin De Bruyne	```json\n{\n  "answer_1": "2021-2022",\n  "answer_2": "Kevin De Bruyne"\n}\n```
hotpotqa	google-gemini-2-5-flash	5ac28a21554299677310256e	0	0	The character portrayed in "Giuliani Time" is a real-life informal adviser to the White House in which area?	cybersecurity	Law	Legal matters	The gold answer 'cybersecurity' and the prediction 'Law' refer to different areas of expertise. There is a direct contradiction.	1	"Legal matters" and "Law" refer to the same field of expertise and are considered equivalent in this context.	equivalent: 1\nreasoning: "Legal matters" and "Law" refer to the same field of expertise and are considered equivalent in this context.	Law	```json\n{\n  "answer_1": "Rudy Giuliani",\n  "answer_2": "Legal matters"\n}\n```
mintaka	google-gemini-2-5-flash	2b7aada8	0	1	Who was the US president when Lehman Brothers went bankrupt?	Barack Obama	George W. Bush	George W. Bush	The prediction 'George W. Bush' is a different individual than the gold answer 'Barack Obama'. These are distinct facts regarding who was president at the time.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\nGeorge W. Bush	intermediate_answers:\n{\n  "answer_1": "2008-09-15",\n  "answer_2": "George W. Bush"\n}
crag	google-gemini-2-5-flash	fde0f884-56cb-47c6-a15a-056eb02cfa4b	0	1	when did drake release their most popular album?	drake's most popular album, take care, released in 2011.	2016-04-29	2016-04-29	The gold answer states the album was released in 2011, while the prediction states 2016-04-29. These dates contradict each other.	1	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	answer:\n2016-04-29	```json\n{\n  "answer_1": "Views",\n  "answer_2": "2016-04-29"\n}\n```
hotpotqa	google-gemini-2-5-flash	5addc8765542997dc7907022	0	1	The plaintiff in the civil suit Paul v. Clinton was born in which year ?	1948	1966	1966	The prediction '1966' contradicts the gold answer '1948'. Calendar dates/years must match exactly according to Rule 2.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	1966	```json\n{\n  "answer_1": "Paula Jones",\n  "answer_2": "1966"\n}\n```
mintaka	google-gemini-2-5-flash	bc1f9c3f	0	1	Where was the lead guitarist of Guns N' Roses born?	Stoke-on-Trent, Staffordshire, England	Hampstead, London, England	Hampstead, London, England	The prediction states 'Hampstead, London, England' as the birthplace, which contradicts the gold answer 'Stoke-on-Trent, Staffordshire, England'. The locations are different.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nHampstead, London, England	intermediate_answers:\n{\n  "answer_1": "Slash",\n  "answer_2": "Hampstead, London, England"\n}
crag	google-gemini-2-5-flash	04fd2c98-6531-41a0-8f9f-4af6b7f012ef	1	1	who was the mvp of the mlb world series last year?	corey saeger, who plays for the texas rangers, was the mvp of the mlb world series last year.	Jorge Soler	Jorge Soler	The gold answer states 'Corey Seager' as the MVP, while the prediction states 'Jorge Soler'. These are different individuals, leading to a contradiction on the core fact of the question.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nJorge Soler	```json\n{\n  "answer_1": "2021",\n  "answer_2": "Jorge Soler"\n}\n```
hotpotqa	google-gemini-2-5-flash	5ab279c9554299340b5254d9	0	1	Paul A. Freund is known for his writings on what supreme law of the United States of America?	United States Constitution	Constitutional law	Constitutional law	The question asks for the 'supreme law' itself, which is the 'United States Constitution'. The prediction 'Constitutional law' refers to the body of law derived from or interpreting the Constitution, not the supreme law document itself. This is a distinction, making the prediction incorrect.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Constitutional law	```json\n{\n  "answer_1": "United States Constitution",\n  "answer_2": "Constitutional law"\n}\n```
mintaka	google-gemini-2-5-flash	48e38631	0	1	How many actors played Sonny in Big Daddy?	2	1	1	The gold answer is 2, and the prediction is 1. The absolute difference is 1, which exceeds the allowed numerical tolerance of max(0.5, 1% of 2) = 0.5.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\n1	intermediate_answers:\n{\n  "answer_1": "Adam Sandler",\n  "answer_2": "1"\n}
crag	google-gemini-2-5-flash	d52db8c5-663a-469c-a470-e6d524e2b3dd	0	1	who was the coach of the team that won the stanley cup last season?	bruce cassidy, who coaches the vegas golden knights, was the coach of the team that won the stanley cup last season.	Jared Bednar	Jared Bednar	The gold answer identifies 'Bruce Cassidy' as the coach, while the prediction states 'Jared Bednar'. These are different names, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nJared Bednar	```json\n{\n  "answer_1": "Colorado Avalanche",\n  "answer_2": "Jared Bednar"\n}\n```
hotpotqa	google-gemini-2-5-flash	5a7272eb5542997f827839d7	0	1	How old is the female main protagonist of Catching Fire?	16-year-old	17	17	The gold answer states the protagonist is 16 years old, while the prediction states 17. This is a direct contradiction as the difference (1 year) exceeds the allowed numeric tolerance of 0.5 for exact values.	1	Both answers state the same age.	equivalent: 1\nreasoning: Both answers state the same age.	17	```json\n{\n  "answer_1": "Katniss Everdeen",\n  "answer_2": "17"\n}\n```
mintaka	google-gemini-2-5-flash	16e73f4d	1	1	How old is the current head coach of the New England Patriots?	69	70	70	The gold answer is 69 and the prediction is 70. The difference is 1. The allowed tolerance is max(0.5, 1% of 69) = max(0.5, 0.69) = 0.69. Since 1 > 0.69, the prediction is outside the acceptable numeric tolerance.	1	The answers provide the same number.	equivalent: 1\nreasoning: The answers provide the same number.	answer:\n70	intermediate_answers:\n{\n  "answer_1": "Bill Belichick",\n  "answer_2": "70"\n}
crag	google-gemini-2-5-flash	dd3d3f80-7f74-4a99-a5d2-65208f2ab00b	0	0	which company in the s&p 500 index has more than 20 board of directors meetings per year?	warner bros. discovery board of directors has 25 meetings per year.	No specific S&P 500 company is publicly known to hold more than 20 full board of directors meetings per year.	None	The gold answer identifies 'Warner Bros. Discovery' as a company with 25 board meetings per year, which is more than 20. The prediction explicitly states that 'No specific S&P 500 company is publicly known to hold more than 20 full board of directors meetings per year,' directly contradicting the gold fact.	1	Answer B provides extra descriptive text that confirms the "None" stated in Answer A, without contradiction.	equivalent: 1\nreasoning: Answer B provides extra descriptive text that confirms the "None" stated in Answer A, without contradiction.	No specific S&P 500 company is publicly known to hold more than 20 full board of directors meetings per year.	```json\n{\n  "answer_1": "Apple; Microsoft; Amazon; Alphabet; Tesla",\n  "answer_2": "None"\n}\n```
hotpotqa	google-gemini-2-5-flash	5a7a61d355429941d65f25fd	0	1	Who directed the movie that Jack Covin played Dr. Ardmore in?	Tom Holland	Rick Rosenthal	Rick Rosenthal	The prediction 'Rick Rosenthal' contradicts the gold answer 'Tom Holland' regarding the director of the movie.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nRick Rosenthal	```json\n{\n  "answer_1": "Halloween II",\n  "answer_2": "Rick Rosenthal"\n}\n```
mintaka	google-gemini-2-5-flash	e79774c0	0	1	When was the director of Child's Play born?	25-Jan-63	1943-07-11	1943-07-11	The predicted birth date (July 11, 1943) is different from the gold birth date (January 25, 1963). Calendar dates must match exactly.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	1943-07-11	intermediate_answers:\n{\n  "answer_1": "Tom Holland",\n  "answer_2": "1943-07-11"\n}
crag	google-gemini-2-5-flash	4835d4a2-4f31-423b-9f82-4c879c7798ed	1	1	who was the goalkeeper of the team that won the champions league final last year?	ederson, who plays for manchester city, was the goalkeeper of the team that won the champions league final last year.	Thibaut Courtois	Thibaut Courtois	The gold answer identifies Ederson as the goalkeeper of the winning team (Manchester City) in the Champions League final last year. The prediction names Thibaut Courtois, who is a different goalkeeper and did not play for the winning team last year, thus contradicting the gold fact.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nThibaut Courtois	```json\n{\n  "answer_1": "Real Madrid",\n  "answer_2": "Thibaut Courtois"\n}\n```
hotpotqa	google-gemini-2-5-flash	5abd7ca05542993062266cab	0	1	Where is the company that purchased Aixam based in?	Roseau, Minnesota, USA	Medina, Minnesota	Medina, Minnesota	The prediction states 'Medina, Minnesota' while the gold answer specifies 'Roseau, Minnesota, USA'. The cities (Medina vs. Roseau) are different, leading to a contradiction on the specific location.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Medina, Minnesota	```json\n{\n  "answer_1": "Polaris Industries",\n  "answer_2": "Medina, Minnesota"\n}\n```
mintaka	google-gemini-2-5-flash	f6640eb4	0	1	What was the final major European battle of the war that primarily featured the man called Adolf Hitler?	Battle of the Bulge	Battle of Berlin	Battle of Berlin	The gold answer 'Battle of the Bulge' was a major battle but not the final one in Europe. The prediction 'Battle of Berlin' was indeed the final major European battle of World War II, during which Adolf Hitler was present in Berlin and committed suicide. Therefore, the prediction contradicts the gold answer on the specific fact of being the 'final' battle.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nBattle of Berlin	intermediate_answers:\n{\n  "answer_1": "World War II",\n  "answer_2": "Battle of Berlin"\n}
