set	dataset	label	count
gemini_2_5_flash	crag	unclear_needs_manual_check	1
gemini_2_5_flash	crag	possible_gold_typo_or_alias	1
gemini_2_5_flash	crag	likely_gold_error(record_vs_recent_winner)	1
gemini_2_5_flash	crag	numeric_boundary/age_definition	1
gemini_2_5_flash	crag	possible_gold_error_or_ambiguity	1
gemini_2_5_flash	crag	outlier_vs_frontier_consensus	1
gemini_2_5_flash	hotpotqa	unclear_needs_manual_check	12
gemini_2_5_flash	hotpotqa	outlier_vs_frontier_consensus	8
gemini_2_5_flash	hotpotqa	possible_gold_error_or_ambiguity	5
gemini_2_5_flash	hotpotqa	unclear/needs_verification	4
gemini_2_5_flash	hotpotqa	likely_gold_error	2
gemini_2_5_flash	hotpotqa	possible_gold_typo_or_alias	1
gemini_2_5_flash	hotpotqa	ambiguous_time/context	1
gemini_2_5_flash	hotpotqa	ambiguous_location(HQ_vs_facility)	1
gemini_2_5_flash	hotpotqa	time_dependent_or_definition(city_vs_municipality)	1
gemini_2_5_flash	hotpotqa	ambiguous_reference(film)	1
gemini_2_5_flash	hotpotqa	likely_gold_error(numeric_scale)	1
gemini_2_5_flash	hotpotqa	alias_or_evaluation_strictness	1
gemini_2_5_flash	hotpotqa	ambiguous_entity_mapping	1
gemini_2_5_flash	hotpotqa	evaluation_strictness_or_rounding	1
gemini_2_5_flash	mintaka	likely_gold_error	8
gemini_2_5_flash	mintaka	possible_gold_error_or_ambiguity	3
gemini_2_5_flash	mintaka	time_dependent	3
gemini_2_5_flash	mintaka	outlier_vs_frontier_consensus	3
gemini_2_5_flash	mintaka	likely_gold_outdated	1
gemini_2_5_flash	mintaka	ambiguous_title(“second Metal Gear”)	1
gemini_2_5_flash	mintaka	unclear_needs_manual_check	1
gemini_2_5_flash	mintaka	numeric_counting_convention	1
gemini_2_5_flash	mintaka	likely_gold_error(BC_vs_AD)	1
gemini_2_5_flash	mintaka	likely_gold_error(scope_mismatch)	1
gemini_2_5_flash	mintaka	likely_gold_error/outdated	1
gemini_2_5_flash	mintaka	ambiguous_scope(Europe_vs_EU)	1
gemini_2_5_flash	mintaka	ambiguous_event_definition	1
