dataset	id	hand_review_label	hand_review_notes	hand_review_source
crag	0512b2a6-b900-4454-8613-512e65b1913e	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot. | gpt_5_1: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.	per_model_manual
crag	0531f5e7-d6ac-4c45-be32-5e530f83835b	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot. | gpt_5_1: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot.	per_model_manual
crag	12d2b048-e8de-470a-b4f2-81b0cf03ec5e	definition_mismatch	Record/criterion unclear: 'most Golden Globe awards in a single year' depends on which categories and whether 'record holder' vs 'recent big winner' is intended.	cons31
crag	27f2284d-0d87-46c6-a0a1-e46135a3fc67	ambiguous_definition	'Most expensive action movie' varies by list (budget accounting, genre). Models converge on a May 2011 release date (likely a specific blockbuster), while gold names a different film/year.	intersection44
crag	280d60d1-f2be-4895-ae73-29461c8f1b35	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('currently'); gold likely tied to a specific snapshot. | gpt_5_1: time_dependent — Time-relative phrasing ('currently'); gold likely tied to a specific snapshot.	per_model_manual
crag	2a233422-8f6c-4f97-8509-ccc71afb3794	numeric_boundary/age_definition	DiCaprio won Best Actor at the Feb 2016 ceremony; he was 41 then (turns 42 later in 2016). Gold hard-codes '42 in 2016', which is plausible only under a different age convention.	intersection44
crag	318361f8-af94-4b0b-8017-c0f04ec1755c	time_dependent	Largest market cap among Dow components varies over time; gold says Microsoft while all models say Apple.	intersection44
crag	3e6f239d-0354-4867-99ef-9542db6a83c8	time_dependent	'Last year' depends on the evaluation year; model answers point to a different season/player than gold.	intersection44
crag	41dea43b-d187-4844-b33a-a46e3879dd96	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '5' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
crag	470ed1c7-8a71-4c0c-9be8-bb1fe82ce59f	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '902 ft' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '902 ft' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
crag	4713fbb8-0591-47fc-baa6-23b3d2595a6d	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.	per_model_manual
crag	4835d4a2-4f31-423b-9f82-4c879c7798ed	time_dependent	'Last year' Champions League winner varies; models give different plausible goalkeepers for different years (Courtois/Mendy), while gold anchors another year (Ederson).	intersection44
crag	4ebbb760-c5ae-4307-9764-567a357f4cc1	ambiguous_definition(bond_girl)	Gold cites a character/year (Vesper Lynd, 1953 novel) rather than an actress. Models answer Ursula Andress (first on-screen Bond girl), implying a mismatch in what 'first' means.	intersection44
crag	5a55dd6b-371b-4daa-a2a2-7df503885d21	time_dependent	Conference champions and tournament exits vary by year. 'Last year' makes this unstable; gold and models reflect different seasons.	intersection44
crag	60084fd7-1889-4194-aab9-38ad898dfcf3	time_dependent	gpt_5_1: time_dependent — Time-relative phrasing ('this year'); gold likely tied to a specific snapshot.	per_model_manual
crag	6ed9dc10-0df5-4e16-b0df-e11967edb740	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('current'); gold likely tied to a specific snapshot.	per_model_manual
crag	7218f2f9-fc44-4ead-bf4d-00acc20aa5d6	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '$79.47 billion' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on '$79.47 billion', while this model answers '79.47 billion USD'. Likely a model-specific stable error (or alias).	per_model_manual
crag	79c07a6f-77a4-4f41-ad34-90804e609c2d	possible_gold_typo_or_alias	gemini_2_5_pro: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue. | gpt_5_1: possible_gold_typo_or_alias — Open answer '359 m' is very close to gold '366 m' (edit-distance 2); likely typo/alias/normalization issue.	per_model_manual
crag	7d6ebd01-2364-461c-8086-68c83ff90966	time_dependent	Tenure length depends on the evaluation date; gold 'since 2020' is itself suspect (Biden took office Jan 2021), and models return a duration string tied to a specific date.	intersection44
crag	83cfd2c8-d469-409d-bd32-24696ca5e21a	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot. | gemini_2_5_flash: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.	per_model_manual
crag	8d9fadb7-3466-403d-85a5-a191ec22f69a	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Paul Newman' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Paul Newman' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
crag	8f44d279-42b0-490f-ab04-24dd1a7a47f5	possible_gold_typo_or_alias	gemini_2_5_flash: possible_gold_typo_or_alias — Open answer '45' is very close to gold '33' (edit-distance 2); likely typo/alias/normalization issue. | gpt_5_1: possible_gold_typo_or_alias — Open answer '29' is very close to gold '33' (edit-distance 2); likely typo/alias/normalization issue.	per_model_manual
crag	90d5a2d9-2973-4e6b-affe-76af6c7d943e	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot. | gemini_2_5_flash: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot.	per_model_manual
crag	93f61f25-1bde-4e21-a826-47c9651847e4	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.	per_model_manual
crag	a019b11a-6b26-4f70-9d3f-20c46005bec6	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot. | gpt_5_1: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot.	per_model_manual
crag	adabdcb6-3d4d-4dac-93f7-d54bdb5dccf2	time_dependent	'Last season' is underspecified and shifts year to year; models return Steve Kerr (Warriors season), while gold returns Michael Malone (Nuggets season).	intersection44
crag	b87aa578-d977-40f3-b96d-8ebba8aa3910	time_dependent	Premier League season awards vary each year; gold and models correspond to different seasons or award definitions.	intersection44
crag	ba92e6b9-fcd3-4ff7-899a-fe59dbb2c8db	time_dependent	UFC pound-for-pound #1 changes across updates (e.g., Makhachev vs Volkanovski), which also changes the weight class. Models answer Featherweight while gold anchors Lightweight.	intersection44
crag	bcc88678-d327-4792-b6f5-bb7efc33e2c6	possible_gold_typo_or_alias	gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '6 m' is very close to gold '5 m' (edit-distance 1); likely typo/alias/normalization issue.	per_model_manual
crag	bd5325a3-6ba0-4088-a1a2-4a80ce096335	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.	per_model_manual
crag	c47ece5d-49ba-4ee2-ba5e-cfee323dbec0	definition_mismatch(comic_book_vs_strip)	Gold cites Mandrake (comic strip), while question asks 'comic book hero'. Consensus Tom Tyler likely aligns with an early comic-book superhero serial; dataset should clarify scope.	cons31
crag	d5124253-4271-40b5-986b-dd3021ab828e	time_dependent	Wimbledon winner depends on year; gold corresponds to one year and models to another.	intersection44
crag	d52db8c5-663a-469c-a470-e6d524e2b3dd	time_dependent	Stanley Cup winner/coach changes each season; gold (Cassidy/Vegas) and models (Bednar/Colorado) correspond to different years.	intersection44
crag	d93b3615-3ef8-446f-a635-95b3b7ece245	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot. | gemini_2_5_flash: time_dependent — Time-relative phrasing ('last year'); gold likely tied to a specific snapshot.	per_model_manual
crag	df4e57f0-519e-4ce2-81c2-144985cf1a7b	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot. | gpt_5_1: time_dependent — Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot.	per_model_manual
crag	e6fe70a3-61b9-4b6f-b953-9ec181806b7d	underspecified_multi_answer	'Best picture Oscar in 1993' is ambiguous (ceremony year vs film year), and even within a film there may be multiple actresses; gold vs consensus may both be defensible.	cons31
crag	e9751dcf-72ec-434f-9ca8-30a0a72da8fc	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('current'); gold likely tied to a specific snapshot. | gemini_2_5_flash: time_dependent — Time-relative phrasing ('current'); gold likely tied to a specific snapshot.	per_model_manual
crag	fde0f884-56cb-47c6-a15a-056eb02cfa4b	ambiguous_definition(popularity)	'Most popular album' is subjective (streams vs sales vs critical). Gold picks Take Care (2011) while models pick Views (2016). Both can be defended under different metrics.	intersection44
frames	110	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	116	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	128	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	142	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	202	likely_gold_error	First Peace Corps director was Sargent Shriver; gold 'Robert' is incorrect (answer should be 'Sargent').	cons31
frames	238	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	244	likely_gold_error_or_bad_question	‘46th season’ mapping is unclear; if 46th corresponds to 1995, Schumacher won but it was not his first title. Gold (Mansell/Williams) and model (Schumacher/Benetton) suggest a season-counting mismatch.	extra_frames_musique
frames	250	definition_mismatch(annexation_vs_crown_rule)	1849 matches annexation of Punjab (British control), 1858 matches start of direct Crown rule. Wording 'British Crown' makes this ambiguous; question should pin which event.	cons31
frames	297	gold_overspecified	Question asks for the song; gold includes 'by <artist>' while consensus provides only the song title. Gold should not require the artist if not asked.	cons31
frames	304	ambiguous_definition(first_African_American_presidential_candidate)	‘First African American ran for president’ is definition-dependent (e.g., Douglass 1872, Taylor 1904, Chisholm 1972, etc.), yielding different UK PM years. Gold year 1792 appears inconsistent with common candidates.	extra_frames_musique
frames	315	definition_mismatch(taxonomy_vs_binomial)	Question asks for ‘classification system’ in Systema Naturae; ‘taxonomy’ is plausible, but gold expects ‘binomial nomenclature’ (naming). Wording is ambiguous between classification vs naming.	extra_frames_musique
frames	356	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	368	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	371	likely_gold_error_or_ambiguity	French vs Haitian Revolution duration convention affects the ‘years longer’ term (often 3 years if French ends 1799 and Haitian ends 1804). ‘Respective leaders’ is also underspecified (Louis XVI vs revolutionary leaders).	extra_frames_musique
frames	44	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	530	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	540	time_dependent	As-of dated sports wildcard counts are time-dependent and require fresh tournament data.	extra_frames_musique
frames	598	likely_gold_error	The '90th Birthday Party concert in London' strongly suggests Nelson Mandela; first name 'Nelson' has 2 vowels, not 4.	cons31
frames	7	time_dependent	Contains explicit time-relative phrasing (‘as of’, ‘current’, ‘last year’, etc.).	time_heuristic
frames	77	likely_gold_error	Sum of 2011-census populations for (London + Liverpool + Sheffield) is closer to ~9.2M than 11.3M; gold likely miscomputed or used different boundaries.	cons31
frames	817	alias_or_evaluation_strictness	‘Sea Cliff School’ vs ‘Sea Cliff Elementary School’ likely refers to the same institution; could be treated as a benign alias/short form.	extra_frames_musique
hotpotqa	5a7272eb5542997f827839d7	likely_gold_error	Katniss Everdeen is typically 17 in Catching Fire. Gold says 16, which may conflate with The Hunger Games (book 1).	intersection44
hotpotqa	5a72a00d5542991f9a20c53c	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Wilson Greatbatch' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5a7d48a05542991319bc9385	alias_or_evaluation_strictness	gemini_2_5_flash: unclear_needs_manual_check — No strong offline signal; could be a genuine stable model error or a dataset/gold issue. | gpt_5_1: alias_or_evaluation_strictness — Consistency judge notes alias/equivalence between open and assistive answers; open correctness may be overly strict about surface-form differences.	per_model_manual
hotpotqa	5a7fa11e5542995d8a8dded4	alias_or_evaluation_strictness	gemini_2_5_flash: alias_or_evaluation_strictness — Consistency judge notes alias/equivalence between open and assistive answers; open correctness may be overly strict about surface-form differences.	per_model_manual
hotpotqa	5a846f395542990548d0b2b8	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Anson Mount' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5a877cdd5542993e715abf72	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Talk That Talk' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5a8a17e55542992d82986eab	ambiguous_reference(film)	Multiple films may include this song; models converge on John Hughes (likely Ferris Bueller's Day Off), while gold gives Shane Meadows.	intersection44
hotpotqa	5a8a698255429930ff3c0dcf	possible_gold_error_or_ambiguity	gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1981' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5a8f938a55429918e830d275	likely_gold_error(numeric_scale)	Gold 17% vs consensus 0.15% suggests a large numeric scale error (percent-of-world-pop).	cons31
hotpotqa	5ab1c5cb554299722f9b4c61	possible_gold_error_or_ambiguity	gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Antony Higginbotham' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5ab265de5542993be8fa9901	ambiguous_time/context	Mats Hummels has played for both Borussia Dortmund and Bayern Munich. The question does not pin a time period, so either club can be argued depending on when.	intersection44
hotpotqa	5ab3020e55429976abd1bc1a	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Russia' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Russia' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5ab55478554299488d4d993d	possible_gold_typo_or_alias	gemini_2_5_flash: possible_gold_typo_or_alias — Open answer '1918' is very close to gold '1928' (edit-distance 1); likely typo/alias/normalization issue.	per_model_manual
hotpotqa	5abd7ca05542993062266cab	ambiguous_location(HQ_vs_facility)	Gold Roseau, MN vs models Medina, MN suggests a 'headquarters vs operations' mismatch (Medina is a common HQ location for large MN firms).	intersection44
hotpotqa	5abee5e25542994516f45473	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'The Chimes' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5ac1bfd85542994ab5c67dfb	rounding_or_strictness	Gold says 'more than 1,600' while consensus is '1,600'. This looks like strictness/rounding rather than a substantive factual disagreement.	cons31
hotpotqa	5adc74cd5542994650320d0c	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Haho Prefecture' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Haho Prefecture' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5addc8765542997dc7907022	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1966' vs gold; could be gold error/ambiguity or shared model misconception. | gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1966' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5addfe6c5542997dc790710e	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('current'); gold likely tied to a specific snapshot.	per_model_manual
hotpotqa	5adeb01355429939a52fe958	likely_gold_error	Elisabeth of Bavaria (Sisi) married Franz Joseph I (born 1830-08-18). Gold year 1228 is off by centuries.	intersection44
hotpotqa	5adfedb755429942ec259b95	ambiguous_entity_mapping	Likely the city is Wichita, KS (on the Arkansas River), but the question does not name the city; gold says Neosho River while models say Arkansas River.	intersection44
hotpotqa	5ae195595542997b2ef7d206	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Mount Vernon High School' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
hotpotqa	5ae2e27155429928c423952a	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '3,767 km' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on '3,767 km', while this model answers '295 mi'. Likely a model-specific stable error (or alias).	per_model_manual
hotpotqa	5ae65d055542996d980e7b14	time_dependent_or_definition(city_vs_municipality)	City population varies by census year and by administrative boundary; three models give three nearby values, suggesting boundary/year ambiguity rather than a single fixed 'correct' number.	intersection44
hotpotqa	5ae753b75542997b22f6a6db	likely_gold_error(type_mismatch)	Question asks for a city; gold answers a state/region ('Bihar') while consensus gives a city (Bhagalpur).	cons31
mintaka	13cd720a	ambiguous_scope(Europe_vs_EU)	If interpreted as Europe (continent), largest country is Russia → capital Moscow (models). Gold Paris may reflect largest EU country (France) or another scope.	intersection44
mintaka	16e73f4d	time_dependent	gemini_2_5_flash: time_dependent — Time-relative phrasing ('current'); gold likely tied to a specific snapshot.	per_model_manual
mintaka	1be89328	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Franklin D. Roosevelt' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Franklin D. Roosevelt' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
mintaka	249c69f3	likely_gold_error	21st US president is Chester A. Arthur; his wife was Ellen Lewis Herndon Arthur (models). Gold gives Eliza Johnson (Andrew Johnson’s wife).	intersection44
mintaka	2652ec2b	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'British Game' vs gold; could be gold error/ambiguity or shared model misconception. | gemini_2_5_flash: outlier_vs_frontier_consensus — Other frontier models agree (2/3) on 'British Game', while this model answers 'Best British Game'. Likely a model-specific stable error (or alias).	per_model_manual
mintaka	2b7aada8	likely_gold_error	Lehman Brothers filed for bankruptcy in Sept 2008 during the George W. Bush administration; gold says Barack Obama.	intersection44
mintaka	48e38631	possible_gold_error_or_ambiguity	gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '1' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
mintaka	4b066327	ambiguous_event_definition	19 aligns with 1960 (Beatles formation era) given Lennon’s 1940 birth. Gold 16 may instead correspond to the Quarrymen/earlier pre-Beatles formation.	intersection44
mintaka	513f3181	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Luxor Obelisk' vs gold; could be gold error/ambiguity or shared model misconception. | gpt_5_1: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on 'Luxor Obelisk' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
mintaka	540c6b11	likely_gold_outdated	Merdeka 118 is now taller than the Petronas Towers; gold likely reflects an older snapshot when Petronas was tallest.	intersection44
mintaka	6613db77	definition_mismatch(nominated_vs_confirmed)	Counts differ depending on whether you count nominations (including unsuccessful/declined) vs confirmed appointments. Question needs a consistent definition.	cons31
mintaka	6f62ab02	time_dependent	Mets manager changes over time; models answer an older manager (66) while gold gives 40 (different manager/snapshot).	intersection44
mintaka	78a31f7a	likely_gold_error/outdated	Team with most NCAA Division I baseball championships is USC; its current head coach is Andy Stankiewicz (models). Gold 'Jason Gill' appears mismatched.	intersection44
mintaka	7e554842	numeric_counting_convention	La Guardia served 1934–1945; models answer 12 years while gold says 11, likely due to inclusive/exclusive counting.	intersection44
mintaka	852d9a1a	possible_gold_typo_or_alias	"gemini_2_5_pro: possible_gold_typo_or_alias — Open answer '6' 0""' is very close to gold '5'10""' (edit-distance 2); likely typo/alias/normalization issue."	per_model_manual
mintaka	863655c5	likely_gold_error(scope_mismatch)	Spanish Steps are in Italy; models give Italy’s population (~60M). Gold 4.2M matches a city-scale value (Rome) rather than the country.	intersection44
mintaka	88c5cc4f	time_dependent	Barcelona’s manager and their age changes over time. Models answer 42 (consistent with Xavi’s age at some snapshot), while gold gives 58 (different coach or different snapshot).	intersection44
mintaka	9ac70118	possible_gold_error_or_ambiguity	gemini_2_5_pro: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '60' vs gold; could be gold error/ambiguity or shared model misconception. | gemini_2_5_flash: possible_gold_error_or_ambiguity — Frontier open-ended answers agree (2/3) on '60' vs gold; could be gold error/ambiguity or shared model misconception.	per_model_manual
mintaka	9d4dccb3	likely_gold_error	"The song ""I’m Different"" is commonly associated with 2 Chainz, who attended Alabama State University; models align on Alabama State while gold says Virginia State."	intersection44
mintaka	a04200ad	ambiguous_title(“second Metal Gear”)	If interpreted as 'Metal Gear 2: Solid Snake', protagonist is Solid Snake (models). Gold 'Raiden' corresponds to Metal Gear Solid 2 (different naming).	intersection44
mintaka	aa423d1a	likely_gold_error(BC_vs_AD)	The value '930' likely refers to 930 AD (e.g., Althing), while gold says 930 BC. This looks like a BC/AD labeling error.	intersection44
mintaka	aad2514e	time_dependent	gemini_2_5_pro: time_dependent — Time-relative phrasing ('current'); gold likely tied to a specific snapshot. | gpt_5_1: time_dependent — Time-relative phrasing ('current'); gold likely tied to a specific snapshot.	per_model_manual
mintaka	afc20de1	possible_gold_typo_or_alias	gpt_5_1: possible_gold_typo_or_alias — Open answer '47 years' is very close to gold '46 years' (edit-distance 1); likely typo/alias/normalization issue.	per_model_manual
mintaka	bc1f9c3f	likely_gold_error	Slash (Guns N' Roses lead guitarist) is widely cited as born in Hampstead, London. Gold cites Stoke-on-Trent.	intersection44
mintaka	c18486eb	likely_gold_error(scope)	Without a 'contiguous US' qualifier, 'biggest volcano' strongly points to Hawaii (shield volcanoes). Gold 'Washington' likely reflects a different scope/definition.	cons31
mintaka	c999b363	likely_gold_error	Gold 'Tokyo' is not the capital of the current most-populous country (China/India). All models answer Beijing.	intersection44
mintaka	e6f29b34	likely_gold_error	Cleopatra VII is widely cited as born in Alexandria (Egypt). Gold 'Greece' appears to conflate ancestry/origin with birthplace.	intersection44
mintaka	e79774c0	likely_gold_error	The original Child's Play (1988) director is Tom Holland (born 1943-07-11), matching all models. Gold date (1963) appears incorrect.	intersection44
mintaka	f6640eb4	likely_gold_error	The final major European battle in WWII is commonly cited as the Battle of Berlin (models), not the Battle of the Bulge (gold).	intersection44
musique	2hop__126306_396277	underspecified_multi_answer	Illustrator (William Steig) has multiple notable works (e.g., Doctor De Soto, Shrek!). Gold is too strict for ‘another notable work’.	extra_frames_musique
