dataset	id	time_sensitive_hint	question	gold_answer	open_answer__google_gemini_2_5_pro	assistive_answer__google_gemini_2_5_pro	open_correctness_reasoning__google_gemini_2_5_pro	consistency_reasoning__google_gemini_2_5_pro	consistency_raw__google_gemini_2_5_pro	open_answer__google_gemini_2_5_flash	assistive_answer__google_gemini_2_5_flash	open_correctness_reasoning__google_gemini_2_5_flash	consistency_reasoning__google_gemini_2_5_flash	consistency_raw__google_gemini_2_5_flash	open_answer__gpt_5_1	assistive_answer__gpt_5_1	open_correctness_reasoning__gpt_5_1	consistency_reasoning__gpt_5_1	consistency_raw__gpt_5_1	models_open_agree	consensus_open_answer	assistant_label	assistant_confidence	assistant_notes	assistant_suggested_action
crag	27f2284d-0d87-46c6-a0a1-e46135a3fc67	0	when did the most expensive action movie come out?	the most expensive action movie ever produced, star wars: the force awakens, came out in 2015.	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction gives 2011-05-20. The years do not match, and calendar dates/years must match exactly.	Both answers provide the exact same calendar date.	equivalent: 1\nreasoning: Both answers provide the exact same calendar date.	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction gives 2011-05-20. The years do not match, and calendar dates/years must match exactly.	Both answers provide the exact same calendar date.	equivalent: 1\nreasoning: Both answers provide the exact same calendar date.	2011-05-20	2011-05-20	The gold answer states the movie came out in 2015, while the prediction states 2011. Calendar dates and years must match exactly according to rule 2.	Calendar dates match exactly.	equivalent: 1\nreasoning: Calendar dates match exactly.	1	2011-05-20	ambiguous_definition	medium-high	'Most expensive action movie' varies by list (budget accounting, genre). Models converge on a May 2011 release date (likely a specific blockbuster), while gold names a different film/year.	Define the reference list/criterion (e.g., inflation-adjusted budget, genre).
hotpotqa	5ab345db55429969a97a8122	0	Which state does the drug stores, of which the CEO is Warren Bryant, are located?	Hawaii	California	California	The prediction 'California' directly contradicts the gold answer 'Hawaii' regarding the state where the drug stores are located.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	California	California	The prediction 'California' directly contradicts the gold answer 'Hawaii' regarding the state where the drug stores are located.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	California	California	The prediction 'California' directly contradicts the gold answer 'Hawaii' regarding the state where the drug stores are located.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	California	unclear/needs_verification	low	Entity linkage ('drug stores' with CEO Warren Bryant) is unclear from the question alone; models answer California vs gold Hawaii.	Audit the entity (which chain?) and correct the gold/state mapping.
mintaka	e6f29b34	0	Where was the last queen of Egypt born?	Greece	Alexandria	Alexandria	The gold answer states the last queen of Egypt was born in 'Greece', while the prediction states 'Alexandria'. These are different locations, leading to a contradiction.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Alexandria	Alexandria	The gold answer states 'Greece' as the birthplace, while the prediction states 'Alexandria'. These are distinct geographical locations, and Alexandria is not in Greece, thus the prediction contradicts the gold fact.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Alexandria, Egypt	Alexandria, Egypt	The gold answer states the birthplace was 'Greece', while the prediction states 'Alexandria, Egypt'. These are different locations, leading to a direct contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	0		likely_gold_error	high	Cleopatra VII is widely cited as born in Alexandria (Egypt). Gold 'Greece' appears to conflate ancestry/origin with birthplace.	Update gold to Alexandria, Egypt or revise question to ask about ancestry.
crag	3e6f239d-0354-4867-99ef-9542db6a83c8	1	what team does the player who threw the most interceptions last year play for?	the player who threw the most interceptions last year, sam howell, plays for the washington commanders.	Jacksonville Jaguars; Los Angeles Rams	Jacksonville Jaguars; Los Angeles Rams	The gold answer states the player plays for the 'Washington Commanders', while the prediction lists 'Jacksonville Jaguars' and 'Los Angeles Rams'. These teams do not match the gold answer.	Both answers are identical lists of teams.	equivalent: 1\nreasoning: Both answers are identical lists of teams.	Jacksonville Jaguars	Jacksonville Jaguars	The gold answer states the player plays for the 'Washington Commanders', while the prediction states 'Jacksonville Jaguars'. These are different teams, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Jacksonville Jaguars	Jacksonville Jaguars	The gold answer states the player plays for the 'Washington Commanders', while the prediction states 'Jacksonville Jaguars'. These are different teams, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	0		time_dependent	high	'Last year' depends on the evaluation year; model answers point to a different season/player than gold.	Time-filter or specify the exact season/year.
hotpotqa	5ae65d055542996d980e7b14	0	What was population of the city where the Dutch retired footballer Foeke Booy born?	108,249	124,499	124,484	The question asks for a population, which is a naturally drifting value. The gold answer is 108,249 and the prediction is 124,499. The percentage difference is approximately 13.05% (|108,249 - 124,499| / max(108,249, 124,499) * 100), which falls outside the allowed 1-5.5 percentage-point window for equivalence.	Numeric values are within the 1% tolerance (15 is less than 1% of 124,484).	equivalent: 1\nreasoning: Numeric values are within the 1% tolerance (15 is less than 1% of 124,484).	96,573	93,961	The gold population is 108,249 and the prediction is 96,573. The percentage difference is approximately 10.79% (|108,249 - 96,573| / 108,249 * 100), which falls outside the allowed 5.5% tolerance for naturally drifting values like population counts.	The two population figures are different, but the difference (approx 2.7%) falls within the allowed tolerance for values that drift over time, such as census counts.	equivalent: 1\nreasoning: The two population figures are different, but the difference (approx 2.7%) falls within the allowed tolerance for values that drift over time, such as census counts.	123107	128383	The question asks for a population, which is a naturally drifting value. The gold answer is 108,249 and the prediction is 123,107. The percentage difference is approximately 12.07% (calculated as |108,249 - 123,107| / max(108,249, 123,107) * 100). This falls outside the allowed 1-5.5 percentage-point window for equivalence, according to Rule 2.	The difference between the two population figures (5276) is within the 5.5% tolerance for values that naturally drift over time (4.11% of 128383).	equivalent: 1\nreasoning: The difference between the two population figures (5276) is within the 5.5% tolerance for values that naturally drift over time (4.11% of 128383).	0		time_dependent_or_definition(city_vs_municipality)	medium	City population varies by census year and by administrative boundary; three models give three nearby values, suggesting boundary/year ambiguity rather than a single fixed 'correct' number.	Specify census year and population definition, or accept a tolerance/interval.
mintaka	c999b363	0	What is the capital of the country with the highest population in the world?	Tokyo	Beijing	Beijing	The gold answer states 'Tokyo' while the prediction states 'Beijing'. These are different cities and thus contradict each other.	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Beijing	Beijing	The gold answer states 'Tokyo' while the prediction states 'Beijing'. These are two distinct cities and therefore represent different facts. The prediction does not match the gold answer.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	Beijing	Beijing	The gold answer states 'Tokyo' while the prediction states 'Beijing'. These are two different cities and therefore the prediction does not communicate the same essential fact as the gold.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Beijing	likely_gold_error	high	Gold 'Tokyo' is not the capital of the current most-populous country (China/India). All models answer Beijing.	Fix gold; if the dataset intended 'highest population in 2010', etc., specify the year.
crag	ba92e6b9-fcd3-4ff7-899a-fe59dbb2c8db	0	what weight class is the ufc number one men's pound for pound fighter in?	islam makhachev, the number one men's pound for pound fighter in the ufc, fights at lightweight.	Featherweight	Featherweight	The gold answer states the fighter is in 'lightweight', while the prediction states 'Featherweight'. These are different weight classes, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Featherweight	Featherweight	The gold answer states the fighter is in 'lightweight' class, while the prediction states 'Featherweight'. These are different and contradictory facts.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Featherweight	Featherweight	The gold answer states the fighter is in 'lightweight' class, while the prediction states 'Featherweight'. These are different and contradictory facts.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Featherweight	time_dependent	high	UFC pound-for-pound #1 changes across updates (e.g., Makhachev vs Volkanovski), which also changes the weight class. Models answer Featherweight while gold anchors Lightweight.	Time-filter or include the date/ranking snapshot.
hotpotqa	5ab265de5542993be8fa9901	0	Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?	Bayern Munich	Borussia Dortmund	Borussia Dortmund	The gold answer states 'Bayern Munich' as the team, while the prediction states 'Borussia Dortmund'. These are two distinct football clubs, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Borussia Dortmund	Borussia Dortmund	The gold answer specifies 'Bayern Munich' as the club, while the prediction states 'Borussia Dortmund'. These are two different football clubs, leading to a contradiction on the specific club mentioned.	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	Borussia Dortmund	Borussia Dortmund	The gold answer states 'Bayern Munich' as the team, while the prediction states 'Borussia Dortmund'. These are two distinct football clubs, leading to a contradiction.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	Borussia Dortmund	ambiguous_time/context	medium-high	Mats Hummels has played for both Borussia Dortmund and Bayern Munich. The question does not pin a time period, so either club can be argued depending on when.	Add a time qualifier (season/year) or ask for 'current club at time X'.
mintaka	e79774c0	0	When was the director of Child's Play born?	25-Jan-63	1943-07-11	1943-07-11	The predicted birth date (July 11, 1943) contradicts the gold birth date (January 25, 1963). Calendar dates must match exactly.	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	1943-07-11	1943-07-11	The predicted birth date (July 11, 1943) is different from the gold birth date (January 25, 1963). Calendar dates must match exactly.	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	1943-07-11	1943-07-11	The gold answer provides the birth date as January 25, 1963, while the prediction states July 11, 1943. Calendar dates must match exactly, and these dates are different.	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	1	1943-07-11	likely_gold_error	high	The original Child's Play (1988) director is Tom Holland (born 1943-07-11), matching all models. Gold date (1963) appears incorrect.	Fix gold to Tom Holland’s birthdate or clarify which Child’s Play entry/director.
crag	5a55dd6b-371b-4daa-a2a2-7df503885d21	1	how far did last year's west coast conference champion go in the postseason?	gonzaga, last year's west coast conference champion, made it to the elite 8 in the ncaa tournament.	Sweet Sixteen	Sweet Sixteen	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, making the prediction a contradiction of the gold fact.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Sweet Sixteen	Sweet Sixteen	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, and 'Sweet Sixteen' is not equivalent to 'Elite 8'.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	Sweet Sixteen	They reached the Sweet Sixteen in the NCAA Tournament	The gold answer states the team made it to the 'Elite 8', while the prediction states 'Sweet Sixteen'. These are different stages in a tournament, making the prediction factually incorrect.	"Answer A provides extra descriptive text (""in the NCAA Tournament"") that does not contradict or change the core fact (""Sweet Sixteen"") present in Answer B."	"equivalent: 1\nreasoning: Answer A provides extra descriptive text (""in the NCAA Tournament"") that does not contradict or change the core fact (""Sweet Sixteen"") present in Answer B."	1	Sweet Sixteen	time_dependent	high	Conference champions and tournament exits vary by year. 'Last year' makes this unstable; gold and models reflect different seasons.	Time-filter or specify year/season explicitly.
hotpotqa	5a8a17e55542992d82986eab	0	"Who was the director of the film at who end a versions of the son ""Please, Please, Please, Let Me Get What I Want"" could be heard?"	Shane Meadows	John Hughes	John Hughes	The prediction 'John Hughes' contradicts the gold answer 'Shane Meadows' regarding the director of the film.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	John Hughes	John Hughes	The prediction 'John Hughes' contradicts the gold answer 'Shane Meadows' as they are different individuals.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	John Hughes	John Hughes	The prediction 'John Hughes' contradicts the gold answer 'Shane Meadows' as they are different individuals. There is no equivalence between the two names.	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	1	John Hughes	ambiguous_reference(film)	medium	Multiple films may include this song; models converge on John Hughes (likely Ferris Bueller's Day Off), while gold gives Shane Meadows.	Include the film title in the question or verify which film the dataset intended.
mintaka	863655c5	0	"What is the population of the country where the ""Spanish Steps"" are located?"	4.2 million	59,037,474	58983122	The gold answer is 4.2 million (4,200,000) and the prediction is 59,037,474. These values are significantly different and fall outside the allowed numeric tolerance for naturally drifting values (1-5.5 percentage-point window). The absolute difference is 54,837,474, which is much larger than 1% of the gold value (42,000).	Numeric values for population are within the 5.5 percentage-point tolerance for values that drift over time. (0.09% difference)	equivalent: 1\nreasoning: Numeric values for population are within the 5.5 percentage-point tolerance for values that drift over time. (0.09% difference)	59,110,000	59110000	The gold answer '4.2 million' (4,200,000) and the prediction '59,110,000' are vastly different numerical values. The difference is 54,910,000, which is far outside the allowed tolerance for naturally drifting values (1-5.5 percentage points). The prediction is approximately 14 times larger than the gold.	Numeric formatting normalized; thousands separators are ignored.	equivalent: 1\nreasoning: Numeric formatting normalized; thousands separators are ignored.	60000000	approximately 59,000,000	The gold answer is 4.2 million (4,200,000) and the prediction is 60,000,000. These values are significantly different and fall outside the allowed numeric tolerance for population figures (1-5.5 percentage-point window). The difference is approximately 93% relative to the larger value, or 1330% relative to the smaller value.	Numeric values are within the 1-5.5 percentage-point tolerance for values that naturally drift over time (population).	equivalent: 1\nreasoning: Numeric values are within the 1-5.5 percentage-point tolerance for values that naturally drift over time (population).	0		likely_gold_error(scope_mismatch)	high	Spanish Steps are in Italy; models give Italy’s population (~60M). Gold 4.2M matches a city-scale value (Rome) rather than the country.	Fix gold or change question to ask city population instead of country.
crag	7d6ebd01-2364-461c-8086-68c83ff90966	1	how long has the current president of the us been in power?	the current president of the us, joe biden, has been in power since 2020.	1 year, 8 months, 14 days	1 year, 257 days	API error: Expecting value: line 1 column 1 (char 0)	Both answers represent the same duration (1 year, 257 days is equivalent to 1 year, 8 months, 14 days when calculated from a specific start date like January 20, 2021, to October 4, 2022).	equivalent: 1\nreasoning: Both answers represent the same duration (1 year, 257 days is equivalent to 1 year, 8 months, 14 days when calculated from a specific start date like January 20, 2021, to October 4, 2022).	1 year, 8 months, 14 days	1 year, 8 months	The gold answer provides a start year ('since 2020'), while the prediction provides a duration ('1 year, 8 months, 14 days'). These are different types of information and do not communicate the same essential fact. Additionally, the duration provided in the prediction is not consistent with the start year given in the gold answer (2020) when calculating the duration to the current date, nor is it consistent with the actual inauguration year (2021) for the current date.	The difference of 14 days (2.24%) falls within the 1-5.5 percentage-point tolerance for values that naturally drift over time.	equivalent: 1\nreasoning: The difference of 14 days (2.24%) falls within the 1-5.5 percentage-point tolerance for values that naturally drift over time.	1 year 8 months 14 days	1 year 257 days	The gold answer states that the president has been in power 'since 2020'. The prediction gives a duration of '1 year 8 months 14 days'. This duration, if calculated from the actual inauguration date of Joe Biden (January 20, 2021), would correspond to a date around October 4, 2022. This implies a start year of 2021, which contradicts the start year of 2020 stated in the gold answer. Therefore, the prediction contradicts the gold on the specific detail of the start year.	"The ""1 year"" component is identical. Converting ""8 months 14 days"" to days using an average month length (365.25/12 = 30.4375 days/month) yields 8 * 30.4375 + 14 = 243.5 + 14 = 257.5 days. Comparing this to ""257 days"" from Answer A, the difference is 0.5 days. This difference falls within the allowed numeric tolerance of max(0.5, 1% of 257) = max(0.5, 2.57) = 2.57 days."	"equivalent: 1\nreasoning: The ""1 year"" component is identical. Converting ""8 months 14 days"" to days using an average month length (365.25/12 = 30.4375 days/month) yields 8 * 30.4375 + 14 = 243.5 + 14 = 257.5 days. Comparing this to ""257 days"" from Answer A, the difference is 0.5 days. This difference falls within the allowed numeric tolerance of max(0.5, 1% of 257) = max(0.5, 2.57) = 2.57 days."	0		time_dependent	high	Tenure length depends on the evaluation date; gold 'since 2020' is itself suspect (Biden took office Jan 2021), and models return a duration string tied to a specific date.	Time-filter or rewrite as 'Since what year did X take office?' with explicit reference date.
hotpotqa	5adeb01355429939a52fe958	0	Elisabeth of Bavaria's husband was born on what date?	25 April 1228	1830-08-18	1830-08-18	The predicted date (1830-08-18) contradicts the gold date (25 April 1228). Dates must match exactly.	Both answers provide the identical date.	equivalent: 1\nreasoning: Both answers provide the identical date.	1830-08-18	1830-08-18	The predicted date (18 August 1830) contradicts the gold date (25 April 1228). The year, month, and day are all different.	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	1830-08-18	1830-08-18	The predicted date (18 August 1830) contradicts the gold date (25 April 1228). Dates must match exactly.	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	1	1830-08-18	likely_gold_error	high	Elisabeth of Bavaria (Sisi) married Franz Joseph I (born 1830-08-18). Gold year 1228 is off by centuries.	Correct gold to 1830-08-18.
