dataset	model_slug	id	time_sensitive_hint	open_assistive_exact_match	question	gold_answer	open_answer	assistive_answer	open_correctness_reasoning	consistency_equivalent	consistency_reasoning	consistency_raw	open_raw	assistive_raw	manual_label	manual_notes
hotpotqa	google-gemini-2-5-pro	5adeb01355429939a52fe958	0	1	Elisabeth of Bavaria's husband was born on what date?	25 April 1228	1830-08-18	1830-08-18	The predicted date (1830-08-18) contradicts the gold date (25 April 1228). Dates must match exactly.	1	Both answers provide the identical date.	equivalent: 1\nreasoning: Both answers provide the identical date.	answer:\n1830-08-18	"```json\n{\n  ""answer_1"": ""Franz Joseph I"",\n  ""answer_2"": ""1830-08-18""\n}\n```"	likely_gold_error	Elisabeth of Bavaria (Sisi) married Franz Joseph I (born 1830-08-18). Gold year 1228 is off by centuries.
mintaka	google-gemini-2-5-pro	c999b363	0	1	What is the capital of the country with the highest population in the world?	Tokyo	Beijing	Beijing	The gold answer states 'Tokyo' while the prediction states 'Beijing'. These are different cities and thus contradict each other.	1	The two answers are identical.	equivalent: 1\nreasoning: The two answers are identical.	answer:\nBeijing	"intermediate_answers:\n{\n  ""answer_1"": ""China"",\n  ""answer_2"": ""Beijing""\n}"	likely_gold_error	Gold 'Tokyo' is not the capital of the current most-populous country (China/India). All models answer Beijing.
bamboogle	google-gemini-2-5-pro	bamboogle_0064_647f7ea9	0	1	In what year was the tallest lighthouse completed?	1902	1990	1990	The gold answer is '1902' and the prediction is '1990'. Calendar dates/years must match exactly according to rule 2, and these do not match.	1	Both answers state the exact same year.	equivalent: 1\nreasoning: Both answers state the exact same year.	1990	"```json\n{\n  ""answer_1"": ""Jeddah Light"",\n  ""answer_2"": ""1990""\n}\n```"	likely_gold_error/outdated	All three models answer 1990; likely refers to the Jeddah Light (tallest lighthouse), completed in 1990. Gold year 1902 appears inconsistent with 'tallest'.
crag	google-gemini-2-5-pro	365b3655-6fc5-4731-a422-afeb3d4b3750	0	0	what company in the nasdaq brings in the most revenue?	walmart	Amazon	Amazon.com, Inc.	The prediction 'Amazon' contradicts the gold answer 'walmart' regarding the company with the most revenue in the NASDAQ.	1	"Amazon is a common alias for ""Amazon.com, Inc.""."	"equivalent: 1\nreasoning: ""Amazon"" is a common alias for ""Amazon.com, Inc.""."	Amazon	"```json\n{\n  ""answer_1"": ""Apple Inc.; Microsoft Corporation; Amazon.com, Inc.; Alphabet Inc.; Meta Platforms, Inc.; Tesla, Inc.; Nvidia Corporation"",\n  ""answer_2"": ""Amazon.com, Inc.""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
hotpotqa	google-gemini-2-5-pro	5a8f938a55429918e830d275	0	1	Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?	17%	0.15%	0.15%	The gold answer is 17% and the prediction is 0.15%. The absolute difference is 16.85 percentage points, which is far outside the allowed 5.5 percentage-point window for naturally drifting values. These values are not numerically equivalent.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	0.15%	"```json\n{\n  ""answer_1"": ""Uyghur"",\n  ""answer_2"": ""12,000,000"",\n  ""answer_3"": ""7,900,000,000"",\n  ""answer_4"": ""0.15%""\n}\n```"	likely_gold_error(numeric_scale)	Gold 17% vs frontier 0.15% suggests a major numeric scale error.
mintaka	google-gemini-2-5-pro	2b7aada8	0	1	Who was the US president when Lehman Brothers went bankrupt?	Barack Obama	George W. Bush	George W. Bush	The prediction 'George W. Bush' directly contradicts the gold answer 'Barack Obama' regarding the US president at the time of the Lehman Brothers bankruptcy.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nGeorge W. Bush	"intermediate_answers:\n{\n  ""answer_1"": ""2008-09-15"",\n  ""answer_2"": ""George W. Bush""\n}"	likely_gold_error	Lehman Brothers filed for bankruptcy in Sept 2008 during the George W. Bush administration; gold says Barack Obama.
bamboogle	google-gemini-2-5-pro	bamboogle_0081_cfd7f8b7	0	1	What is the official color of the third oldest surviving university?	Cambridge Blue	Yellow	Yellow	The prediction 'Yellow' directly contradicts the gold answer 'Cambridge Blue' regarding the official color.	1	Answer A provides the key fact (Yellow) along with extra, non-contradictory detail (University of Salamanca). The core fact requested by the question is present in both.	equivalent: 1\nreasoning: Answer A provides the key fact (Yellow) along with extra, non-contradictory detail (University of Salamanca). The core fact requested by the question is present in both.	Yellow	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""University of Salamanca"",\n    ""answer_2"": ""Yellow""\n  }\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
crag	google-gemini-2-5-pro	79c07a6f-77a4-4f41-ad34-90804e609c2d	0	1	what is the elevation of the capital of nebraska?	366 m	1,176 ft	1,176 ft	The gold answer is 366 m. Converting this to feet gives approximately 1199.15 ft (366 * 3.28084). The prediction is 1176 ft. The absolute difference is |1199.15 - 1176| = 23.15 ft. The allowed tolerance is max(0.5, 1% of 1199.15) = 11.99 ft. Since 23.15 > 11.99, the values are not within the acceptable numeric tolerance.	1	Answer A contains extra, non-contradictory information (the name of the capital) but both answers provide the same key fact (elevation) requested by the question.	equivalent: 1\nreasoning: Answer A contains extra, non-contradictory information (the name of the capital) but both answers provide the same key fact (elevation) requested by the question.	answer:\n1,176 ft	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Lincoln"",\n    ""answer_2"": ""1,176 ft""\n  }\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
hotpotqa	google-gemini-2-5-pro	5ac3e8c65542997ea680c993	0	1	Are the New Orleans Outfall Canals the same length as the Augusta Canal?	yes	No	No	The gold answer states 'yes' (they are the same length), while the prediction states 'No', which is a direct contradiction.	1	"Both answers are ""No"", indicating agreement."	"equivalent: 1\nreasoning: Both answers are ""No"", indicating agreement."	answer:\nNo	"```json\n{\n  ""answer_1"": ""8 mi"",\n  ""answer_2"": ""13 mi"",\n  ""answer_3"": ""No""\n}\n```"	unclear/needs_verification	Gold says the canal lengths match; all models say no. Without checking the referenced canal definitions/lengths, this could be either a gold issue or a model mistake.
mintaka	google-gemini-2-5-pro	f6640eb4	0	1	What was the final major European battle of the war that primarily featured the man called Adolf Hitler?	Battle of the Bulge	Battle of Berlin	Battle of Berlin	The prediction 'Battle of Berlin' contradicts the gold answer 'Battle of the Bulge'. These are two distinct historical events.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nBattle of Berlin	"intermediate_answers:\n{\n  ""answer_1"": ""World War II"",\n  ""answer_2"": ""Battle of Berlin""\n}"	likely_gold_error	The final major European battle in WWII is commonly cited as the Battle of Berlin (models), not the Battle of the Bulge (gold).
bamboogle	google-gemini-2-5-pro	bamboogle_0067_c104c160	0	1	The third largest river (by discharge) in the world is in what countries?	India and Bangladesh	China	China	The gold answer specifies 'India and Bangladesh' as the countries, while the prediction states 'China'. These are different countries, leading to a contradiction.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	China	"```json\n{\n  ""answer_1"": ""Yangtze River"",\n  ""answer_2"": ""China""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
crag	google-gemini-2-5-pro	df4e57f0-519e-4ce2-81c2-144985cf1a7b	1	1	when was meta's most recent vr headset released?	meta's most recent vr headset, the meta quest 3, was released on october 10, 2023.	2020-10-13	2020-10-13	The gold answer states the release date as October 10, 2023, while the prediction states 2020-10-13. The year (2023 vs 2020) and day (10 vs 13) are different, which constitutes a contradiction for calendar dates, as per rule 2.	1	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	2020-10-13	"```json\n{\n  ""answer_1"": ""Meta Quest 2"",\n  ""answer_2"": ""2020-10-13""\n}\n```"	time_dependent	Time-relative phrasing ('most recent'); gold likely tied to a specific snapshot.
hotpotqa	google-gemini-2-5-pro	5ae3dde35542992f92d823a4	0	1	 Benjamin Halfpenny was a footballer for a club that plays its home matches where?	Select Security Stadium	Aggborough Stadium	Aggborough Stadium	The prediction 'Aggborough Stadium' contradicts the gold answer 'Select Security Stadium'. These are two distinct stadium names.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nAggborough Stadium	"```json\n{\n  ""answer_1"": ""Kidderminster Harriers F.C."",\n  ""answer_2"": ""Aggborough Stadium""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	7c9fbf32	0	1	What is the tallest building in the capital of Texas?	The Independent	Sixth and Guadalupe	Sixth and Guadalupe	The prediction 'Sixth and Guadalupe' names a different building than the gold answer 'The Independent'. These are two distinct buildings in Austin, Texas, and the prediction contradicts the gold fact about which building is the tallest.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nSixth and Guadalupe	"```json\n{\n  ""answer_1"": ""Austin"",\n  ""answer_2"": ""Sixth and Guadalupe""\n}\n```"	outlier_vs_frontier_consensus	Other frontier models agree (2/3) on 'The Independent', while this model answers 'Sixth and Guadalupe'. Likely a model-specific stable error (or alias).
bamboogle	google-gemini-2-5-pro	bamboogle_0086_998cb1bd	0	1	Who was the father of the father of empiricism?	Sir Nicholas Bacon	John Locke	John Locke	The gold answer identifies Sir Nicholas Bacon as the father of Francis Bacon (the 'father of empiricism'). The prediction, John Locke, is a different individual and is incorrect in this context. John Locke is also a prominent empiricist, but not the father of Francis Bacon, nor is his father named John Locke.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nJohn Locke	"```json\n{\n  ""answer_1"": ""John Locke"",\n  ""answer_2"": ""John Locke""\n}\n```"	possible_gold_error_or_ambiguity	Frontier open-ended answers agree (2/3) on 'John Locke' vs gold; could be gold error/ambiguity or shared model misconception.
crag	google-gemini-2-5-pro	2a233422-8f6c-4f97-8509-ccc71afb3794	0	1	how old was leonardo dicaprio when he won best actor award?	leonardo was 42 years old in 2016 when he won best actor.	41	41	The gold answer states Leonardo DiCaprio was 42 years old, while the prediction states 41. The difference of 1 is outside the allowed numeric tolerance of max(0.5, 1% of 42 = 0.42), which is 0.5.	1	Answer A contains the key fact (age 41) requested by the question, along with extra detail (date of award) which does not contradict the age. Answer B provides only the key fact.	equivalent: 1\nreasoning: Answer A contains the key fact (age 41) requested by the question, along with extra detail (date of award) which does not contradict the age. Answer B provides only the key fact.	41	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""2016-02-28"",\n    ""answer_2"": ""41""\n  }\n}\n```"	numeric_boundary/age_definition	DiCaprio won Best Actor at the Feb 2016 ceremony; he was 41 then (turns 42 later in 2016). Gold hard-codes '42 in 2016', which is plausible only under a different age convention.
hotpotqa	google-gemini-2-5-pro	5addfe6c5542997dc790710e	1	1	"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?"	March 28, 1941	1953	1953	The gold answer specifies the birth year as 1941, while the prediction states 1953. These years are different and for calendar dates/years, an exact match is required (Rule 2).	1	Both answers state the same year.	equivalent: 1\nreasoning: Both answers state the same year.	1953	"```json\n{\n  ""answer_1"": ""Danny Elfman"",\n  ""answer_2"": ""1953""\n}\n```"	time_dependent	Time-relative phrasing ('current'); gold likely tied to a specific snapshot.
mintaka	google-gemini-2-5-pro	e79774c0	0	1	When was the director of Child's Play born?	25-Jan-63	1943-07-11	1943-07-11	The predicted birth date (July 11, 1943) contradicts the gold birth date (January 25, 1963). Calendar dates must match exactly.	1	Both answers provide the exact same date.	equivalent: 1\nreasoning: Both answers provide the exact same date.	answer:\n1943-07-11	"```json\n{\n  ""answer_1"": ""Tom Holland"",\n  ""answer_2"": ""1943-07-11""\n}\n```"	likely_gold_error	The original Child's Play (1988) director is Tom Holland (born 1943-07-11), matching all models. Gold date (1963) appears incorrect.
bamboogle	google-gemini-2-5-pro	bamboogle_0045_38628071	0	1	What was the death toll of the most intense Atlantic hurricane?	52	62	62	The gold answer is 52 and the prediction is 62. The absolute difference is 10. The allowed tolerance is max(0.5, 1% of 52) = max(0.5, 0.52) = 0.52. Since 10 is not less than or equal to 0.52, the prediction is outside the acceptable numeric tolerance.	1	Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	equivalent: 1\nreasoning: Answer A contains extra information (the hurricane name) but provides the same key fact (death toll of 62) as Answer B, which directly answers the question.	62	"```json\n{\n  ""intermediate_answers"": {\n    ""answer_1"": ""Hurricane Wilma"",\n    ""answer_2"": ""62""\n  }\n}\n```"	possible_gold_typo_or_alias	Open answer '62' is very close to gold '52' (edit-distance 1); likely typo/alias/normalization issue.
crag	google-gemini-2-5-pro	7d6ebd01-2364-461c-8086-68c83ff90966	1	0	how long has the current president of the us been in power?	the current president of the us, joe biden, has been in power since 2020.	1 year, 8 months, 14 days	1 year, 257 days	API error: Expecting value: line 1 column 1 (char 0)	1	Both answers represent the same duration (1 year, 257 days is equivalent to 1 year, 8 months, 14 days when calculated from a specific start date like January 20, 2021, to October 4, 2022).	equivalent: 1\nreasoning: Both answers represent the same duration (1 year, 257 days is equivalent to 1 year, 8 months, 14 days when calculated from a specific start date like January 20, 2021, to October 4, 2022).	1 year, 8 months, 14 days	"```json\n{\n  ""answer_1"": ""Joe Biden"",\n  ""answer_2"": ""1 year, 257 days""\n}\n```"	time_dependent	Tenure length depends on the evaluation date; gold 'since 2020' is itself suspect (Biden took office Jan 2021), and models return a duration string tied to a specific date.
hotpotqa	google-gemini-2-5-pro	5ac3bf5e5542995ef918c20f	0	0	The Rossendale Free Press serves the town how far north of Manchester?	19 mi	27 km	17 mi	The gold answer is 19 miles. Converting 19 miles to kilometers gives approximately 30.58 km. The prediction is 27 km. The absolute difference is |30.58 - 27| = 3.58 km. The allowed tolerance is max(0.5, 1% of 30.58) = max(0.5, 0.3058) = 0.5 km. Since 3.58 km is greater than 0.5 km, the prediction is not within the acceptable numeric tolerance.	1	17 miles is approximately 27.36 km, which is within the allowed numeric tolerance of 27 km (|27.36 - 27| = 0.36, which is less than max(0.5, 1% of 27 = 0.27) = 0.5).	equivalent: 1\nreasoning: 17 miles is approximately 27.36 km, which is within the allowed numeric tolerance of 27 km (|27.36 - 27| = 0.36, which is less than max(0.5, 1% of 27 = 0.27) = 0.5).	answer:\n27 km	"```json\n{\n  ""answer_1"": ""Rossendale"",\n  ""answer_2"": ""17 mi""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	540c6b11	0	1	What is the tallest building in the country whose capital city is Kuala Lumpur?	Petronas Tower	Merdeka 118	Merdeka 118	The gold answer 'Petronas Tower' was formerly the tallest building in Malaysia. However, 'Merdeka 118' (the prediction) surpassed it upon its completion in 2022, becoming the current tallest building in Malaysia. Therefore, the prediction contradicts the gold fact by identifying a different, and currently correct, tallest building.	1	The answers are identical.	equivalent: 1\nreasoning: The answers are identical.	answer:\nMerdeka 118	"intermediate_answers:\n{\n  ""answer_1"": ""Malaysia"",\n  ""answer_2"": ""Merdeka 118""\n}"	likely_gold_outdated	Merdeka 118 is now taller than the Petronas Towers; gold likely reflects an older snapshot when Petronas was tallest.
bamboogle	google-gemini-2-5-pro	bamboogle_0116_082827a9	0	1	What is the nickname of the easternmost U.S. state?	Pine Tree State	The Last Frontier	The Last Frontier	The gold answer states the nickname is 'Pine Tree State' (for Maine, the easternmost state). The prediction states 'The Last Frontier', which is the nickname for Alaska. These are different and contradictory facts.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nThe Last Frontier	"```json\n{\n  ""answer_1"": ""Alaska"",\n  ""answer_2"": ""The Last Frontier""\n}\n```"	outlier_vs_frontier_consensus	Other frontier models agree (2/3) on 'The Pine Tree State', while this model answers 'The Last Frontier'. Likely a model-specific stable error (or alias).
crag	google-gemini-2-5-pro	b2541d0d-d31c-4ecb-8b79-2c1acbc056ac	0	0	what companies that have reached $1 trillion market cap were founded after 2000?	meta	Meta; Tesla	Meta Platforms; Tesla	API error: Expecting value: line 1 column 1 (char 0)	1	"Meta Platforms is an alias for ""Meta""; the lists contain the same unique items."	"equivalent: 1\nreasoning: ""Meta Platforms"" is an alias for ""Meta""; the lists contain the same unique items."	Meta; Tesla	"```json\n{\n  ""answer_1"": ""Apple; Microsoft; Amazon; Alphabet; Saudi Aramco; Meta Platforms; Tesla"",\n  ""answer_2"": ""Meta Platforms; Tesla""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
hotpotqa	google-gemini-2-5-pro	5ac3983a554299657fa290f5	0	1	At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?	6,960	16,506	16,506	The gold answer is 6,960 and the prediction is 16,506. These numbers are significantly different. For naturally drifting values like census counts, we compute 1 - |a - b| / max(|a|, |b|). Here, 1 - |6960 - 16506| / max(6960, 16506) = 1 - 9546 / 16506 = 1 - 0.578 = 0.422. This is far outside the allowed 1-5.5 percentage-point window for equivalence.	1	Both answers are identical numeric values.	equivalent: 1\nreasoning: Both answers are identical numeric values.	16,506	"```json\n{\n  ""answer_1"": ""Ballina"",\n  ""answer_2"": ""16,506""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
mintaka	google-gemini-2-5-pro	bc1f9c3f	0	0	Where was the lead guitarist of Guns N' Roses born?	Stoke-on-Trent, Staffordshire, England	London	Hampstead, London	The prediction 'London' contradicts the gold answer 'Stoke-on-Trent, Staffordshire, England' regarding the birthplace.	1	"Answer A provides a more specific location (Hampstead) which is within the broader location given in Answer B (London). This is allowed by the ""extra detail"" rule."	"equivalent: 1\nreasoning: Answer A provides a more specific location (Hampstead) which is within the broader location given in Answer B (London). This is allowed by the ""extra detail"" rule."	London	"```json\n{\n  ""answer_1"": ""Slash"",\n  ""answer_2"": ""Hampstead, London""\n}\n```"	likely_gold_error	Slash (Guns N' Roses lead guitarist) is widely cited as born in Hampstead, London. Gold cites Stoke-on-Trent.
bamboogle	google-gemini-2-5-pro	bamboogle_0095_fa23ed5f	0	0	What was the father of the last surviving Canadian father of Confederation?	Charles Tupper Sr.	Charles Tupper	Reverend Charles Tupper	The gold answer specifies 'Sr.' to distinguish the father from the son (who was the 'last surviving Canadian father of Confederation'). Omitting 'Sr.' makes the prediction ambiguous and potentially refers to the son, thus not communicating the same essential fact as the gold which clearly identifies the father.	1	"Answer A provides an additional title (""Reverend"") which is an extra detail but does not contradict or change the core identity of the person named in Answer B."	"equivalent: 1\nreasoning: Answer A provides an additional title (""Reverend"") which is an extra detail but does not contradict or change the core identity of the person named in Answer B."	Charles Tupper	"```json\n{\n  ""answer_1"": ""Sir Charles Tupper"",\n  ""answer_2"": ""Reverend Charles Tupper""\n}\n```"	unclear_needs_manual_check	No strong offline signal; could be a genuine stable model error or a dataset/gold issue.
crag	google-gemini-2-5-pro	e6fe70a3-61b9-4b6f-b953-9ec181806b7d	1	1	can you tell me the name of the actress who starred in the film that won the best picture oscar in 1993?	anna thomson	Frances Fisher	Frances Fisher	The gold answer states 'anna thomson' and the prediction states 'Frances Fisher'. These are two distinct names, and therefore the prediction does not communicate the same essential fact as the gold answer. They contradict each other on the identity of the actress.	1	Both answers are identical.	equivalent: 1\nreasoning: Both answers are identical.	answer:\nFrances Fisher	"```json\n{\n  ""answer_1"": ""Unforgiven"",\n  ""answer_2"": ""Frances Fisher""\n}\n```"	ambiguous_year_reference	'Best picture oscar in 1993' is ambiguous (ceremony year vs film year). Models answer Frances Fisher (fits one interpretation); gold gives Anna Thomson.
hotpotqa	google-gemini-2-5-pro	5a7272eb5542997f827839d7	0	1	How old is the female main protagonist of Catching Fire?	16-year-old	17	17	The gold answer states the protagonist is 16 years old, while the prediction states 17. This is a numerical contradiction outside the allowed tolerance (|17 - 16| = 1, which is greater than max(0.5, 1% of 16) = 0.5).	1	Both answers state the same age.	equivalent: 1\nreasoning: Both answers state the same age.	17	"```json\n{\n  ""answer_1"": ""Katniss Everdeen"",\n  ""answer_2"": ""17""\n}\n```"	likely_gold_error	Katniss Everdeen is typically 17 in Catching Fire. Gold says 16, which may conflate with The Hunger Games (book 1).
mintaka	google-gemini-2-5-pro	f1a5e729	0	1	How many kids does the lead actress of Emma have?	2	0	0	The gold answer states 2 kids, while the prediction states 0 kids. The numerical difference (2) exceeds the allowed tolerance of max(0.5, 1% of 2) = 0.5.	1	Both answers state the same numerical value.	equivalent: 1\nreasoning: Both answers state the same numerical value.	0	"```json\n{\n  ""answer_1"": ""Anya Taylor-Joy"",\n  ""answer_2"": ""0""\n}\n```"	outlier_vs_frontier_consensus	Other frontier models agree (2/3) on '2', while this model answers '0'. Likely a model-specific stable error (or alias).
