model	dataset	one_minus_recall_before	one_minus_recall_after	open_wrong_before	open_wrong_after	n_records_before	n_records_after	source_before	source_after	excluded_ids_count
Gemini-2.5-Pro	mintaka	0.6666666666666666	0.23529411764705882	42.0	17.0	298.0	269.0	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/google-gemini-2-5-pro/mintaka_pairwise_assistive.json	29
Gemini-2.5-Pro	musique	0.32666666666666666	0.24603174603174602	150.0	126.0	300.0	272.0	eval_newstyle:results/correctness/musique/gemini-2.5-pro/open_ended_correctness.json|results/consistency/musique/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gemini-2.5-pro/open_ended_correctness.json|results/consistency/musique/gemini-2.5-pro/consistency_open_ended_vs_assistive.json	28
Gemini-2.5-Flash	bamboogle	0.3684210526315789	0.1111111111111111	19.0	9.0	123.0	111.0	baseline_records:results/baselines/bamboogle/google-gemini-2-5-flash/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/google-gemini-2-5-flash/bamboogle_pairwise_assistive.json	12
Gemini-2.5-Flash	crag	0.43103448275862066	0.09090909090909091	58.0	22.0	162.0	122.0	baseline_records:results/baselines/crag/google-gemini-2-5-flash/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/google-gemini-2-5-flash/crag_pairwise_assistive.json	40
Gemini-2.5-Flash	frames	0.29310344827586204	0.24742268041237114	116.0	97.0	297.0	276.0	eval_newstyle:results/correctness/frames/gemini-2.5-flash/open_ended_correctness.json|results/consistency/frames/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/gemini-2.5-flash/open_ended_correctness.json|results/consistency/frames/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	21
Gemini-2.5-Flash	hotpotqa	0.35135135135135137	0.24719101123595505	111.0	89.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-flash/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/google-gemini-2-5-flash/hotpotqa_pairwise_assistive.json	25
Gemini-2.5-Flash	mintaka	0.5	0.12	48.0	25.0	298.0	269.0	baseline_records:results/baselines/mintaka/google-gemini-2-5-flash/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/google-gemini-2-5-flash/mintaka_pairwise_assistive.json	29
Gemini-2.5-Flash	musique	0.287292817679558	0.21935483870967742	181.0	155.0	300.0	272.0	eval_newstyle:results/correctness/musique/gemini-2.5-flash/open_ended_correctness.json|results/consistency/musique/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/gemini-2.5-flash/open_ended_correctness.json|results/consistency/musique/gemini-2.5-flash/consistency_open_ended_vs_assistive.json	28
Llama-3.3-70B	bamboogle	0.07692307692307693	0.07272727272727272	65.0	55.0	123.0	111.0	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-3-70b-instruct/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-3-70b-instruct/bamboogle_pairwise_assistive.json	12
Llama-3.3-70B	crag	0.3146067415730337	0.16071428571428573	89.0	56.0	162.0	122.0	baseline_records:results/baselines/crag/meta-llama-llama-3-3-70b-instruct/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/meta-llama-llama-3-3-70b-instruct/crag_pairwise_assistive.json	40
Llama-3.3-70B	frames	0.11009174311926606	0.10606060606060606	218.0	198.0	297.0	276.0	eval_newstyle:results/correctness/frames/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	21
Llama-3.3-70B	hotpotqa	0.14375	0.13138686131386862	160.0	137.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-3-70b-instruct/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-3-70b-instruct/hotpotqa_pairwise_assistive.json	25
Llama-3.3-70B	mintaka	0.25892857142857145	0.14772727272727273	112.0	88.0	298.0	269.0	baseline_records:results/baselines/mintaka/meta-llama-llama-3-3-70b-instruct/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/meta-llama-llama-3-3-70b-instruct/mintaka_pairwise_assistive.json	29
Llama-3.3-70B	musique	0.1415929203539823	0.1188118811881188	226.0	202.0	300.0	272.0	eval_newstyle:results/correctness/musique/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/llama-3.3-70B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.3-70B-Instruct/consistency_open_ended_vs_assistive.json	28
Qwen2.5-72B	bamboogle	0.14814814814814814	0.15714285714285714	81.0	70.0	123.0	111.0	baseline_records:results/baselines/bamboogle/qwen-qwen2-5-72b-instruct/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/qwen-qwen2-5-72b-instruct/bamboogle_pairwise_assistive.json	12
Qwen2.5-72B	crag	0.1651376146788991	0.1506849315068493	109.0	73.0	162.0	122.0	baseline_records:results/baselines/crag/qwen-qwen2-5-72b-instruct/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/qwen-qwen2-5-72b-instruct/crag_pairwise_assistive.json	40
Qwen2.5-72B	frames	0.1440329218106996	0.13513513513513514	243.0	222.0	294.0	273.0	eval_newstyle:results/correctness/frames/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/frames/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/frames/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	21
Qwen2.5-72B	hotpotqa	0.14285714285714285	0.13636363636363635	175.0	154.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/qwen-qwen2-5-72b-instruct/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/qwen-qwen2-5-72b-instruct/hotpotqa_pairwise_assistive.json	25
Qwen2.5-72B	mintaka	0.21014492753623187	0.14912280701754385	138.0	114.0	298.0	269.0	baseline_records:results/baselines/mintaka/qwen-qwen2-5-72b-instruct/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/qwen-qwen2-5-72b-instruct/mintaka_pairwise_assistive.json	29
Qwen2.5-72B	musique	0.1759656652360515	0.1497584541062802	233.0	207.0	300.0	272.0	eval_newstyle:results/correctness/musique/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/musique/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/qwen-2.5-72B-Instruct/open_ended_correctness.json|results/consistency/musique/qwen-2.5-72B-Instruct/consistency_open_ended_vs_assistive.json	28
Qwen3-32B	bamboogle	0.11	0.10227272727272728	100.0	88.0	123.0	111.0	baseline_records:results/baselines/bamboogle/qwen-qwen3-32b/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/qwen-qwen3-32b/bamboogle_pairwise_assistive.json	12
Qwen3-32B	crag	0.11206896551724138	0.125	116.0	80.0	162.0	122.0	baseline_records:results/baselines/crag/qwen-qwen3-32b/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/qwen-qwen3-32b/crag_pairwise_assistive.json	40
Qwen3-32B	frames									21
Qwen3-32B	hotpotqa	0.15135135135135136	0.14545454545454545	185.0	165.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/qwen-qwen3-32b/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/qwen-qwen3-32b/hotpotqa_pairwise_assistive.json	25
Qwen3-32B	mintaka	0.15555555555555556	0.12903225806451613	180.0	155.0	298.0	269.0	baseline_records:results/baselines/mintaka/qwen-qwen3-32b/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/qwen-qwen3-32b/mintaka_pairwise_assistive.json	29
Qwen3-32B	musique									28
Llama-3.1-8B	bamboogle	0.12903225806451613	0.13253012048192772	93.0	83.0	123.0	111.0	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-1-8b-instruct/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/meta-llama-llama-3-1-8b-instruct/bamboogle_pairwise_assistive.json	12
Llama-3.1-8B	crag	0.15517241379310345	0.13924050632911392	116.0	79.0	162.0	122.0	baseline_records:results/baselines/crag/meta-llama-llama-3-1-8b-instruct/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/meta-llama-llama-3-1-8b-instruct/crag_pairwise_assistive.json	40
Llama-3.1-8B	frames	0.08487084870848709	0.088	271.0	250.0	297.0	276.0	eval_newstyle:results/correctness/frames/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/frames/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	21
Llama-3.1-8B	hotpotqa	0.20100502512562815	0.19318181818181818	199.0	176.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-1-8b-instruct/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/meta-llama-llama-3-1-8b-instruct/hotpotqa_pairwise_assistive.json	25
Llama-3.1-8B	mintaka	0.2	0.16666666666666666	190.0	162.0	298.0	269.0	baseline_records:results/baselines/mintaka/meta-llama-llama-3-1-8b-instruct/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/meta-llama-llama-3-1-8b-instruct/mintaka_pairwise_assistive.json	29
Llama-3.1-8B	musique	0.06511627906976744	0.06770833333333333	215.0	192.0	235.0	209.0	eval_newstyle:results/correctness/musique/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/llama-3.1-8B-Instruct/open_ended_correctness.json|results/consistency/musique/llama-3.1-8B-Instruct/consistency_open_ended_vs_assistive.json	28
Qwen3-8B	bamboogle	0.0761904761904762	0.07446808510638298	105.0	94.0	123.0	111.0	baseline_records:results/baselines/bamboogle/qwen-qwen3-8b/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/qwen-qwen3-8b/bamboogle_pairwise_assistive.json	12
Qwen3-8B	crag	0.10077519379844961	0.09473684210526316	129.0	95.0	162.0	122.0	baseline_records:results/baselines/crag/qwen-qwen3-8b/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/qwen-qwen3-8b/crag_pairwise_assistive.json	40
Qwen3-8B	frames	0.08494208494208494	0.07083333333333333	259.0	240.0	294.0	273.0	eval_newstyle:results/correctness/frames/qwen-3-8B/open_ended_correctness.json|results/consistency/frames/qwen-3-8B/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/qwen-3-8B/open_ended_correctness.json|results/consistency/frames/qwen-3-8B/consistency_open_ended_vs_assistive.json	21
Qwen3-8B	hotpotqa	0.14832535885167464	0.13368983957219252	209.0	187.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/qwen-qwen3-8b/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/qwen-qwen3-8b/hotpotqa_pairwise_assistive.json	25
Qwen3-8B	mintaka	0.16964285714285715	0.1414141414141414	224.0	198.0	298.0	269.0	baseline_records:results/baselines/mintaka/qwen-qwen3-8b/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/qwen-qwen3-8b/mintaka_pairwise_assistive.json	29
Qwen3-8B	musique	0.10038610038610038	0.09787234042553192	259.0	235.0	292.0	264.0	eval_newstyle:results/correctness/musique/qwen-3-8B/open_ended_correctness.json|results/consistency/musique/qwen-3-8B/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/qwen-3-8B/open_ended_correctness.json|results/consistency/musique/qwen-3-8B/consistency_open_ended_vs_assistive.json	28
Mistral-7B	bamboogle	0.47058823529411764	0.47297297297297297	85.0	74.0	123.0	111.0	baseline_records:results/baselines/bamboogle/mistralai-mistral-7b-instruct-v0-3/bamboogle_pairwise_assistive.json	baseline_records:results/baselines/bamboogle/mistralai-mistral-7b-instruct-v0-3/bamboogle_pairwise_assistive.json	12
Mistral-7B	crag	0.14035087719298245	0.14102564102564102	114.0	78.0	162.0	122.0	baseline_records:results/baselines/crag/mistralai-mistral-7b-instruct-v0-3/crag_pairwise_assistive.json	baseline_records:results/baselines/crag/mistralai-mistral-7b-instruct-v0-3/crag_pairwise_assistive.json	40
Mistral-7B	frames	0.12195121951219512	0.11403508771929824	246.0	228.0	282.0	263.0	eval_newstyle:results/correctness/frames/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/frames/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/frames/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/frames/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	21
Mistral-7B	hotpotqa	0.373134328358209	0.3806818181818182	201.0	176.0	274.0	249.0	baseline_records:results/baselines/hotpotqa/mistralai-mistral-7b-instruct-v0-3/hotpotqa_pairwise_assistive.json	baseline_records:results/baselines/hotpotqa/mistralai-mistral-7b-instruct-v0-3/hotpotqa_pairwise_assistive.json	25
Mistral-7B	mintaka	0.49242424242424243	0.4636363636363636	132.0	110.0	298.0	269.0	baseline_records:results/baselines/mintaka/mistralai-mistral-7b-instruct-v0-3/mintaka_pairwise_assistive.json	baseline_records:results/baselines/mintaka/mistralai-mistral-7b-instruct-v0-3/mintaka_pairwise_assistive.json	29
Mistral-7B	musique	0.08627450980392157	0.08225108225108226	255.0	231.0	292.0	265.0	eval_newstyle:results/correctness/musique/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/musique/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	eval_newstyle:results/correctness/musique/mistral-7B-Instruct-v0.3/open_ended_correctness.json|results/consistency/musique/mistral-7B-Instruct-v0.3/consistency_open_ended_vs_assistive.json	28
