model,dataset,id,question,sequential_answer,open_answer,gold_answer,sequential_correct,open_correct,sequential_intermediate_questions,sequential_intermediate_answers,sequential_dsl,sequential_raw_response,sequential_qa_chain,open_raw_response,equivalence_reasoning,equivalence_raw_response,label_cause,label_notes
gpt-5-1,hotpotqa,5a7272eb5542997f827839d7,How old is the female main protagonist of Catching Fire?,16 years old,17,16-year-old,1,0,"[""Who is the female main protagonist of 'Catching Fire'?"", ""How old is {answer_1}?""]","{""answer_1"": ""Katniss Everdeen"", ""answer_2"": ""16 years old""}","answer_1: str = qa_model(""Who is the female main protagonist of 'Catching Fire'?"")
answer_2: str = qa_model(""How old is {answer_1}?"", answer_1=answer_1)","answer:
16 years old","[{""question"": ""Who is the female main protagonist of 'Catching Fire'?"", ""answer"": ""Katniss Everdeen"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""How old is Katniss Everdeen?"", ""answer"": ""16 years old"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]",17,"Numeric values 16 and 17 are not equivalent based on the tolerance rule |a − b| ≤ max(0.5, 1% of the reference).","equivalent: 0
reasoning: Numeric values 16 and 17 are not equivalent based on the tolerance rule |a − b| ≤ max(0.5, 1% of the reference).",,
gpt-5-1,hotpotqa,5a72a00d5542991f9a20c53c,Who developed the prototype pacemaker used by the 34th President of the USA?,William L. Weirich,Wilson Greatbatch,R Adams Cowley,0,0,"[""Who was the 34th President of the USA?"", ""Who developed the prototype pacemaker used by {answer_1}?""]","{""answer_1"": ""Dwight D. Eisenhower"", ""answer_2"": ""William L. Weirich""}","answer_1: str = qa_model(""Who was the 34th President of the USA?"")
answer_2: str = qa_model(""Who developed the prototype pacemaker used by {answer_1}?"", answer_1=answer_1)",William L. Weirich,"[{""question"": ""Who was the 34th President of the USA?"", ""answer"": ""Dwight D. Eisenhower"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Who developed the prototype pacemaker used by Dwight D. Eisenhower?"", ""answer"": ""William L. Weirich"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Wilson Greatbatch","The answers provide different names for the developer of the prototype pacemaker, which is a direct contradiction. Wilson Greatbatch is widely credited with inventing the implantable pacemaker.","equivalent: 0
reasoning: The answers provide different names for the developer of the prototype pacemaker, which is a direct contradiction. Wilson Greatbatch is widely credited with inventing the implantable pacemaker.",,
gpt-5-1,hotpotqa,5a74a3bd55429979e28829da,Who invented the type of script used in autographs?,No single person; it evolved over time,Platt Rogers Spencer,the Sumerians,0,0,"[""What type of script is used in autographs?"", ""Who invented {answer_1}?""]","{""answer_1"": ""Cursive script"", ""answer_2"": ""No single person; it evolved over time""}","answer_1: str = qa_model(""What type of script is used in autographs?"")
answer_2: str = qa_model(""Who invented {answer_1}?"", answer_1=answer_1)",No single person; it evolved over time,"[{""question"": ""What type of script is used in autographs?"", ""answer"": ""Cursive script"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Who invented Cursive script?"", ""answer"": ""No single person; it evolved over time"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Platt Rogers Spencer","Answer A states no single person invented it, while Answer B names a specific person, Platt Rogers Spencer, which is a direct contradiction.","equivalent: 0
reasoning: Answer A states no single person invented it, while Answer B names a specific person, Platt Rogers Spencer, which is a direct contradiction.",,
gpt-5-1,hotpotqa,5a7a791f55429941d65f2669,What was the year founded of the football team that Aaron Galindo is currently a part of?,Not applicable,1917,1928,-1,0,"[""What football team is Aaron Galindo currently a part of?"", ""What year was the football team {answer_1} founded?""]","{""answer_1"": ""None (retired)"", ""answer_2"": ""Not applicable""}","answer_1: str = qa_model(""What football team is Aaron Galindo currently a part of?"")
answer_2: str = qa_model(""What year was the football team {answer_1} founded?"", answer_1=answer_1)",Not applicable,"[{""question"": ""What football team is Aaron Galindo currently a part of?"", ""answer"": ""None (retired)"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What year was the football team None (retired) founded?"", ""answer"": ""Not applicable"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
1917","Answer A states the information is not applicable, while Answer B provides a specific year, creating a direct contradiction.","equivalent: 0
reasoning: Answer A states the information is not applicable, while Answer B provides a specific year, creating a direct contradiction.",,
gpt-5-1,hotpotqa,5a7ca54c55429935c91b527f,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?","Chief executive officer of Millennium Films; Executive senior associate athletic director at the University of Louisville; Vice president of Millennium Films and Nu Image; Social Fund Commissioner for Great Britain and Northern Ireland; Founder and president, Eclectic Pictures; President of Millennium Media; Member, South Carolina House of Representatives; Chief Executive Officer, Voltage Pictures; Unknown",Chairman and chief executive officer of Millennium Media,CEO of Lionsgate UK & Europe,0,0,"[""What is the 2016 American action thriller film directed by Babak Najafi?"", ""Who was the executive producer for {answer_1}?"", ""What position does {answer_2} currently hold?""]","{""answer_1"": ""London Has Fallen"", ""answer_2"": ""Avi Lerner; Trevor Short; Boaz Davidson; Christine Crow; Heidi Jo Markel; Jeffrey Greenstein; Vance Owen; Nicolas Chartier; Craig Flores"", ""answer_3"": ""Chief executive officer of Millennium Films; Executive senior associate athletic director at the University of Louisville; Vice president of Millennium Films and Nu Image; Social Fund Commissioner for Great Britain and Northern Ireland; Founder and president, Eclectic Pictures; President of Millennium Media; Member, South Carolina House of Representatives; Chief Executive Officer, Voltage Pictures; Unknown""}","answer_1: str = qa_model(""What is the 2016 American action thriller film directed by Babak Najafi?"")
answer_2: str = qa_model(""Who was the executive producer for {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What position does {answer_2} currently hold?"", answer_2=answer_2)",,"[{""question"": ""What is the 2016 American action thriller film directed by Babak Najafi?"", ""answer"": ""London Has Fallen"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Who was the executive producer for London Has Fallen?"", ""answer"": ""Avi Lerner; Trevor Short; Boaz Davidson; Christine Crow; Heidi Jo Markel; Jeffrey Greenstein; Vance Owen; Nicolas Chartier; Craig Flores"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What position does {answer_2} currently hold?"", ""answer"": ""Chief executive officer of Millennium Films; Executive senior associate athletic director at the University of Louisville; Vice president of Millennium Films and Nu Image; Social Fund Commissioner for Great Britain and Northern Ireland; Founder and president, Eclectic Pictures; President of Millennium Media; Member, South Carolina House of Representatives; Chief Executive Officer, Voltage Pictures; Unknown"", ""variable"": ""answer_3"", ""multi_answer"": true, ""resolved_questions"": [""What position does Avi Lerner currently hold?"", ""What position does Trevor Short currently hold?"", ""What position does Boaz Davidson currently hold?"", ""What position does Christine Crow currently hold?"", ""What position does Heidi Jo Markel currently hold?"", ""What position does Jeffrey Greenstein currently hold?"", ""What position does Vance Owen currently hold?"", ""What position does Nicolas Chartier currently hold?"", ""What position does Craig Flores currently hold?""], ""individual_answers"": [""Chief executive officer of Millennium Films"", ""Executive senior associate athletic director at the University of Louisville"", ""Vice president of Millennium Films and Nu Image"", ""Social Fund Commissioner for Great Britain and Northern Ireland"", ""Founder and president, Eclectic Pictures"", ""President of Millennium Media"", ""Member, South Carolina House of Representatives"", ""Chief Executive Officer, Voltage Pictures"", ""Unknown""]}]","answer:
Chairman and chief executive officer of Millennium Media","Answer A provides a long, disparate list of roles, including ""Unknown"" and several roles unrelated to a film executive, which does not accurately answer the question about the single current role. Answer B provides a specific current role. The answers are not equivalent due to the lack of specificity and inclusion of irrelevant/contradictory information in Answer A.","equivalent: 0
reasoning: Answer A provides a long, disparate list of roles, including ""Unknown"" and several roles unrelated to a film executive, which does not accurately answer the question about the single current role. Answer B provides a specific current role. The answers are not equivalent due to the lack of specificity and inclusion of irrelevant/contradictory information in Answer A.",,
gpt-5-1,hotpotqa,5a8235d25542995ce29dccda,What South Korean sitcom starred a South Korean singer and actress who began her music career at the age of 15?,High Kick Through the Roof,High Kick: Revenge of the Short Legged,The Producers,0,0,"[""Which South Korean singer and actress began her music career at the age of 15?"", ""What South Korean sitcom starred {answer_1}?""]","{""answer_1"": ""IU (Lee Ji-eun)"", ""answer_2"": ""High Kick Through the Roof""}","answer_1: str = qa_model(""Which South Korean singer and actress began her music career at the age of 15?"")
answer_2: str = qa_model(""What South Korean sitcom starred {answer_1}?"", answer_1=answer_1)",High Kick Through the Roof,"[{""question"": ""Which South Korean singer and actress began her music career at the age of 15?"", ""answer"": ""IU (Lee Ji-eun)"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What South Korean sitcom starred IU (Lee Ji-eun)?"", ""answer"": ""High Kick Through the Roof"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
High Kick: Revenge of the Short Legged","The two answers refer to different sitcoms in the ""High Kick"" series, thus contradicting each other.","equivalent: 0
reasoning: The two answers refer to different sitcoms in the ""High Kick"" series, thus contradicting each other.",,
gpt-5-1,hotpotqa,5a83cf395542996488c2e4e0,"What musical genre was the song that, according to Annet Artani, inspired the Britney Spears song ""Everytime""?",Jazz,Hymn,R&B,0,0,"[""According to Annet Artani, what song inspired the Britney Spears song 'Everytime'?"", ""What is the musical genre of the song {answer_1}?""]","{""answer_1"": ""Cry Me a River"", ""answer_2"": ""Jazz""}","answer_1: str = qa_model(""According to Annet Artani, what song inspired the Britney Spears song 'Everytime'?"")
answer_2: str = qa_model(""What is the musical genre of the song {answer_1}?"", answer_1=answer_1)",Jazz,"[{""question"": ""According to Annet Artani, what song inspired the Britney Spears song 'Everytime'?"", ""answer"": ""Cry Me a River"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What is the musical genre of the song Cry Me a River?"", ""answer"": ""Jazz"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Hymn","The answers provide different musical genres (Jazz vs. Hymn), which are contradictory.","equivalent: 0
reasoning: The answers provide different musical genres (Jazz vs. Hymn), which are contradictory.",,
gpt-5-1,mintaka,44553d7e,How old in years was the oldest American president when he first assumed office?,"30 explanation: The chain identifies Joe Biden as the oldest president at first assuming office and states he was 30 years old, so the answer is 30.",78,78,0,1,"[""Who was the oldest American president when he first assumed office?"", ""How old was {answer_1} when he first assumed office?""]","{""answer_1"": ""Joe Biden"", ""answer_2"": ""30 years old""}","answer_1: str = qa_model(""Who was the oldest American president when he first assumed office?"")
answer_2: str = qa_model(""How old was {answer_1} when he first assumed office?"", answer_1=answer_1)","answer:
30","[{""variable"": ""answer_1"", ""question"": ""Who was the oldest American president when he first assumed office?"", ""answer"": ""Joe Biden"", ""raw_completion"": ""Joe Biden"", ""multi_answer"": false}, {""variable"": ""answer_2"", ""question"": ""How old was Joe Biden when he first assumed office?"", ""answer"": ""30 years old"", ""raw_completion"": ""30 years old"", ""multi_answer"": false}]","answer:
78","Answer A states 30, while Answer B states 78. These numerical values are not equivalent. Answer A's explanation incorrectly states Joe Biden's age as 30 when he assumed office; he was 78.","equivalent: 0
reasoning: Answer A states 30, while Answer B states 78. These numerical values are not equivalent. Answer A's explanation incorrectly states Joe Biden's age as 30 when he assumed office; he was 78.",,
gpt-5-1,mintaka,4f67a88e,The youngest governor is from which state?,"Michigan explanation: The chain identifies the youngest governor as Stevens T. Mason, who was governor of Michigan.",Kogi State,Florida,0,0,"[""Who is the youngest governor?"", ""Which state is {answer_1} the governor of?""]","{""answer_1"": ""Stevens T. Mason"", ""answer_2"": ""Michigan""}","answer_1: str = qa_model(""Who is the youngest governor?"")
answer_2: str = qa_model(""Which state is {answer_1} the governor of?"", answer_1=answer_1)","answer:
Michigan","[{""variable"": ""answer_1"", ""question"": ""Who is the youngest governor?"", ""answer"": ""Stevens T. Mason"", ""raw_completion"": ""Stevens T. Mason"", ""multi_answer"": false}, {""variable"": ""answer_2"", ""question"": ""Which state is Stevens T. Mason the governor of?"", ""answer"": ""Michigan"", ""raw_completion"": ""Michigan"", ""multi_answer"": false}]","answer:
Kogi State","The states provided in the answers, Michigan and Kogi State, are different.","equivalent: 0
reasoning: The states provided in the answers, Michigan and Kogi State, are different.",,
gpt-5-1,mintaka,304b59eb,Who was the top scorer of the Copa America tournament this year?,"Lionel Messi; Luis Díaz explanation: The chain shows the most recent Copa América was in 2021 and its top scorers were Lionel Messi and Luis Díaz, so they are the top scorers ""this year.""",Yamila Rodríguez,"Lionel Messi, Luis Diaz",1,0,"[""What year was the most recent Copa America tournament?"", ""Who was the top scorer of the {answer_1} Copa America?""]","{""answer_1"": ""2021"", ""answer_2"": ""Lionel Messi; Luis D\u00edaz""}","answer_1: str = qa_model(""What year was the most recent Copa America tournament?"")
answer_2: str = qa_model(""Who was the top scorer of the {answer_1} Copa America?"", answer_1=answer_1)","answer:
Lionel Messi; Luis Díaz","[{""variable"": ""answer_1"", ""question"": ""What year was the most recent Copa America tournament?"", ""answer"": ""2021"", ""raw_completion"": ""2021"", ""multi_answer"": false}, {""variable"": ""answer_2"", ""question"": ""Who was the top scorer of the 2021 Copa America?"", ""answer"": ""Lionel Messi; Luis D\u00edaz"", ""raw_completion"": ""Lionel Messi; Luis D\u00edaz"", ""multi_answer"": false}]","answer:
Yamila Rodríguez","Answer A correctly identifies the top scorers (Lionel Messi and Luis Díaz) of the most recent men's Copa América (2021). Answer B identifies Yamila Rodríguez, who was the top scorer of the Copa América Femenina (women's tournament) in 2022. These are different tournaments, thus the answers convey different facts.","equivalent: 0
reasoning: Answer A correctly identifies the top scorers (Lionel Messi and Luis Díaz) of the most recent men's Copa América (2021). Answer B identifies Yamila Rodríguez, who was the top scorer of the Copa América Femenina (women's tournament) in 2022. These are different tournaments, thus the answers convey different facts.",,
gpt-5-1,mintaka,a0f63db0,How old was the last emperor of Rome when he died?,"About 47 years old explanation: The last emperor of Rome was Romulus Augustulus, who died at about age 47.",48,46,1,1,"[""Who was the last emperor of Rome?"", ""How old was {answer_1} when he died?""]","{""answer_1"": ""Romulus Augustulus"", ""answer_2"": ""About 47 years old""}","answer_1: str = qa_model(""Who was the last emperor of Rome?"")
answer_2: str = qa_model(""How old was {answer_1} when he died?"", answer_1=answer_1)","answer:
About 47 years old","[{""variable"": ""answer_1"", ""question"": ""Who was the last emperor of Rome?"", ""answer"": ""Romulus Augustulus"", ""raw_completion"": ""Romulus Augustulus"", ""multi_answer"": false}, {""variable"": ""answer_2"", ""question"": ""How old was Romulus Augustulus when he died?"", ""answer"": ""About 47 years old"", ""raw_completion"": ""About 47 years old"", ""multi_answer"": false}]",48,"The numeric values 47 and 48 are not within the allowed tolerance of |a − b| ≤ max(0.5, 1% of the reference).","equivalent: 0
reasoning: The numeric values 47 and 48 are not within the allowed tolerance of |a − b| ≤ max(0.5, 1% of the reference).",,
